F' L' R F2 U' L
F' R L' F2 U' L
F' U L' R F2 U'
F' U R L' F2 U'
F U' L' R U R'
F U' R L' U R'
F L U2 L2 R U L
F L U2 R L2 U L
F' L' R U' L D R2
F' L' R U' D L R2
F' L' R U' D R2 L
F' L' R D U' L R2
F' L' R D U' R2 L
F' L' R F2 U' L D
F' L' R F2 U' L D'
F' L' R F2 U' L D2
F' L' R F2 U' D L
F' L' R F2 U' D' L
F' L' R F2 U' D2 L
F' L' R F2 D U' L
F' L' R F2 D' U' L
F' L' R F2 D2 U' L
F' L' R' F2 R2 U' L
F' L' R2 F2 R' U' L
F' L' D R U' L R
F' L' D R U' R L
F' L' F2 U' L D' B2
F' L' F2 U2 L' U L2
F' L2 R F2 L U' L
F L2 U2 L R U L
F L2 U2 R L U L
D2 L2 B' L U L F
L' U D' L F B' R'
L' U D' L B' R' F
L' U D' L B' F R'
F' R L' U' L D R2
F' R L' U' D L R2
F' R L' U' D R2 L
F' R L' D U' L R2
F' R L' D U' R2 L
F' R L' F2 U' L D
F' R L' F2 U' L D'
F' R L' F2 U' L D2
F' R L' F2 U' D L
F' R L' F2 U' D' L
F' R L' F2 U' D2 L
F' R L' F2 D U' L
F' R L' F2 D' U' L
F' R L' F2 D2 U' L
F' R L2 F2 L U' L
F' R D L' U' L R2
F' R D L' U' R2 L
F' R B L' F2 U' L
F' R B' L' F2 U' L
F' R B2 L' F2 U' L
F' R' L' F2 R2 U' L
F' R' U L' R2 F2 U'
F' R' U L' F2 R2 U'
F' R' U R2 L' F2 U'
F R' U' L' R2 U R2
F R' U' R2 L' U R2
F' R2 L' F2 R' U' L
F' R2 U L' R' F2 U'
F' R2 U L' F2 R' U'
F' R2 U R' L' F2 U'
F R2 U' L' R' U R
F R2 U' R' L' U R
F' U L R F2 L2 U'
F' U L' R U' D R2
F' U L' R D U' R2
F' U L' R F2 U' D
F' U L' R F2 U' D'
F' U L' R F2 U' D2
F' U L' R F2 D U'
F' U L' R F2 D' U'
F' U L' R F2 D2 U'
F' U L' R' F2 R2 U'
F' U L' R2 F2 R' U'
F' U L' D R U' R
F' U L' F2 U2 L' U
F' U L2 R F2 L U'
F' U R L F2 L2 U'
F' U R L' U' D R2
F' U R L' D U' R2
F' U R L' F2 U' D
F' U R L' F2 U' D'
F' U R L' F2 U' D2
F' U R L' F2 D U'
F' U R L' F2 D' U'
F' U R L' F2 D2 U'
F' U R L2 F2 L U'
F' U R D L' U' R2
F' U R F2 U2 R U
F' U R' L' F2 R2 U'
F' U R2 L' F2 R' U'
D' U F L U' F B'
D' U F L U' B' F
F' U D L' R U' R
F' U D R L' U' R
F2 U F L' F2 U' B'
F2 U F' U2 R U B
F' U F2 U2 L' R U
F' U F2 U2 R L' U
L' D' U L F B' R'
L' D' U L B' R' F
L' D' U L B' F R'
F U' L' R U R' D
F U' L' R U R' D'
F U' L' R U R' D2
F U' L' R U D R'
F U' L' R U D' R'
F U' L' R U D2 R'
F U' L' R D U R'
F U' L' R D' U R'
F U' L' R D2 U R'
F U' L' D R U R'
F U' L' D' R U R'
F U' L' D2 R U R'
F U' L' B R U R'
F U' L' B' R U R'
F U' L' B2 R U R'
F U' R L' U R' D
F U' R L' U R' D'
F U' R L' U R' D2
F U' R L' U D R'
F U' R L' U D' R'
F U' R L' U D2 R'
F U' R L' D U R'
F U' R L' D' U R'
F U' R L' D2 U R'
F U' R D L' U R'
U D' F L U' F B'
U D' F L U' B' F
F U' R D' L' U R'
F U' R D2 L' U R'
F U' D L' R U R'
F U' D R L' U R'
F U' D' L' R U R'
F U' D' R L' U R'
F U' D2 L' R U R'
F U' D2 R L' U R'
F U' B L' R U R'
F U' B R L' U R'
F U' B' L' R U R'
F U' B' R L' U R'
F U' B2 L' R U R'
F U' B2 R L' U R'
F U2 L' R U' R' U2
F U2 R L' U' R' U2
L' F L' R B' U L2
U F L U' D' F B2
U F L U' D' B2 F
U F L U' F D' B2
L' F L' B' R U L2
U F L D' U' F B2
U F L D' U' B2 F
U F L D2 R2 U' F
U F L' U B' U2 B
L' F R L' B' U L2
L2 F R B' L' U L'
R' F U' L' R U R'
R' F U' R L' U R'
R2 F U' L' R U R'
R2 F U' R L' U R'
F' D L' R U' L R
F' D L' R U' R L
U2 F U2 L' U L F
R F U' L' R U R'
R F U' R L' U R'
U F U2 L' R' U F'
U F U2 R' L' U F'
F' D R L' U' L R
F' D R L' U' R L
F' D R2 U L' R' U'
F' D R2 U R' L' U'
L2 F B' L' R U L'
F' D U L' R U' R
L2 F B' R L' U L'
F' D U R L' U' R
R' F' L' R F2 U' L
F D U' L' R U R'
F D U' R L' U R'
U F' L R F2 U' F'
R2 F' L' R F2 U' L
L F' L' R F U' L'
R' F' R L' F2 U' L
R F' L' R F2 U' L
R2 F' R L' F2 U' L
U F' R L F2 U' F'
L F' R L' F U' L'
R F' R L' F2 U' L
U F' R F2 L U' F
R' F' U L' R F2 U'
R' F' U R L' F2 U'
R2 F' U L' R F2 U'
R2 F' U R L' F2 U'
R F' U L' R F2 U'
R F' U R L' F2 U'
F D' U' L' R U R'
F D' U' R L' U R'
F D2 U' L' R U R'
F D2 U' R L' U R'
F' B L' R F2 U' L
F' B R L' F2 U' L
F' B U L' R F2 U'
F' B U R L' F2 U'
B' F U' L' R U R'
B' F U' R L' U R'
B2 F U' L' R U R'
B2 F U' R L' U R'
B F U' L' R U R'
B F U' R L' U R'
F B U' L' R U R'
F B U' R L' U R'
B' F' L' R F2 U' L
F' B' L' R F2 U' L
B2 F' L' R F2 U' L
B F' L' R F2 U' L
B' F' R L' F2 U' L
F' B' R L' F2 U' L
B2 F' R L' F2 U' L
B F' R L' F2 U' L
B' F' U L' R F2 U'
B' F' U R L' F2 U'
F' B' U L' R F2 U'
F' B' U R L' F2 U'
B2 F' U L' R F2 U'
B2 F' U R L' F2 U'
B F' U L' R F2 U'
B F' U R L' F2 U'
L2 B' F L' R U L'
L2 B' F R L' U L'
F B' U' L' R U R'
F B' U' R L' U R'
F' B2 L' R F2 U' L
F' B2 R L' F2 U' L
F' B2 U L' R F2 U'
F' B2 U R L' F2 U'
F B2 U' L' R U R'
F B2 U' R L' U R'
