R' B' R' U' F' R
R2 L U F' R B L
R2 L U' F' L' R B'
R2 L U' F' L' B' R
R2 L U' F' R L' B'
L R2 U F' R B L
L R2 U' F' L' R B'
L R2 U' F' L' B' R
L R2 U' F' R L' B'
L2 R2 F U F2 R B
R2 L2 F U F2 R B
R2 U F' R B D L2
L U' R2 F' L' R B'
L U' R2 F' L' B' R
L U' R2 F' R L' B'
B' R' U' F D2 F2 R
B' R' U' F' R D2 F2
B' R' U' F' D2 R F2
B' R' F U L' B2 U2
B' R' F U B2 L' U2
B' R' F U' D2 F2 R
B' R' F D2 U' F2 R
B' R' F' U B2 U2 R
B' R' F' U' R D2 F2
B' R' F' U' D2 R F2
B' R' F' D L2 U' R
B' R' F' D2 U' R F2
F' R' B' R' U' F' R'
B' R2 D L2 R F' U'
B' R2 D R L2 F' U'
B' R2 D R F' L2 U'
R2 U2 B' U' F' R B
U2 R2 B' U' F' R B
B U' F' B2 R' U' R2
B U' B2 R' F' U' R
B U' B2 F' R' U' R2
L2 F U' L' B U2 B2
L2 F U' B L' U2 B'
B' D L2 R F' R2 U'
B' D L2 R' U2 B U
B' D R L2 F' R2 U'
B' D R F' L2 R2 U'
B' D R F' R2 L2 U'
B' D R' L2 U2 B U
R2 F B' R' U' F2 R
R' F' B' R' U' F' R2
B D' R2 U L B' U
R F' B' R' U' R2 F'
B F L' D F2 U2 L2
B F L' D' R2 U2 B2
F B L' D F2 U2 L2
F B L' D' R2 U2 B2
B' F R' U L' B2 U2
B' F R' U B2 L' U2
B' F R' U' D2 F2 R
B' F R' D2 U' F2 R
R' B' L R' U' F' R
R' B' L' R' U' F' R
F' B U' B2 R' U' R2
F2 B U' B2 R' F' U'
R' B' L2 R' U' F' R
R' B' R' L U' F' R
R' B' R' L' U' F' R
R' B' R' L2 U' F' R
D2 B' R' U L B2 U2
B' F D2 R' U' F2 R
D2 B' R' U B2 U2 R'
R' B' R' U' F' R D
R' B' R' U' F' R D'
R' B' R' U' F' R D2
R' B' R' U' F' D R
R' B' R' U' F' D' R
R' B' R' U' F' D2 R
R' B' R' F U' F2 R
R2 B' R' U' R F' R
R2 B' R' U' F' R F'
R2 B' R' F' U' R F'
R B' R' U' R2 F' R
R2 B' U' F' R D B2
B' F' R' U B2 U2 R2
B' F' R' U' R2 D2 F2
F' B' R' U B2 U2 R2
F' B' R' U' R2 D2 F2
F B' R' U L' B2 U2
F B' R' U B2 L' U2
F B' R' U' D2 F2 R
F B' R' D2 U' F2 R
R' B' F' R' U' F' R2
R2 B' F R' U' F2 R
B' F' D L2 R' U' R2
B' F' D R' L2 U' R2
F' B' D L2 R' U' R2
B F' U' B2 R' U' R2
F' B' D R' L2 U' R2
R B' F' R' U' R2 F'
B' F' D2 R' U' R2 F2
B' F' D2 R' U' F2 R2
F' B' D2 R' U' R2 F2
F' B' D2 R' U' F2 R2
F B' D2 R' U' F2 R
B F2 U' B2 R' F' U'
