D R U' R U2 B R'
F2 R U2 L' F' R U'
D' R F' L' U L' R
D' R F' L' U R L'
U' R F2 L2 B' U B2
F R F' U2 R F2 U
U' R F2 U2 F U' B
U2 R F2 U2 F R U'
U R F2 L' U B' R'
U2 R' F2 B L R2 U
U2 R' F2 B R2 L U
U2 R' B L R2 F2 U
U' R' B R2 F2 U B
U2 R' B L F2 R2 U
U2 R' B R2 L F2 U
U2 R' B R2 F2 L U
U2 R' B F2 L R2 U
U2 R' B F2 R2 L U
R' U2 F2 B L R2 U
R' U2 F2 B R2 L U
R U2 F' U2 F' L' U
R' U2 B L R2 F2 U
R' U2 B L F2 R2 U
R' U2 B R2 L F2 U
R' U2 B R2 F2 L U
R' U2 B F2 L R2 U
R' U2 B F2 R2 L U
F2 U2 L' R F' R U'
F2 U2 L' F' R F' U'
F2 U2 R L' F' R U'
R' D2 B2 L2 F R U'
R' F' L' F' B R2 U
R' F' L' B F' R2 U
R F' L F' L2 B' U
R F' L' F' U2 F U'
R' F' B L' F' R2 U
R F2 L2 D2 B' L U
R' F2 R2 U2 F' R U'
R2 F2 R' U2 F' R U'
R F2 U2 F U2 L' U
R F2 U2 F' R F2 U'
R F2 D2 L2 B' L U
R' B R2 F' L' F' U
R' B F' L' F' R2 U
