R B U L' U R'
B' L R D F2 B U2
B' L R D B F2 U2
B' L R D' B U2 B
B' L R B U L2 U
B' L R B U2 D' B2
B' L R B D F2 U2
B' L R B D' U2 B2
B' L D R F2 B U2
B' L D R B F2 U2
B' L D' R B U2 B
L R B U L2 U R'
R L B U L2 U R'
L R B U2 R' D' B2
L R B U2 D' R' B2
L2 R B U2 D' R' B
R L B U2 R' D' B2
R L B U2 D' R' B2
L R B D F2 U2 R'
L R B D' U2 R' B2
L2 R B D' U2 R' B
R L B D F2 U2 R'
R L B D' U2 R' B2
L' R' U D2 L2 F' R
R' L' U D2 L2 F' R
L' R' U D2 F' L2 R
L' R' U D2 F' R L2
R' L' U D2 F' L2 R
R' L' U D2 F' R L2
R' L' U' R2 B U2 R'
L' R' U' R2 B U2 R'
R2 L' U' R' B U2 R'
R' L' D2 U L2 F' R
R' L' D2 U F' L2 R
R' L' D2 U F' R L2
L' R' D2 U L2 F' R
L' R' D2 U F' L2 R
L' R' D2 U F' R L2
U2 L' U' R B' L U2
U L' U' R B U2 R'
U2 L' U' B' L R U2
U2 L' U' B' R L U2
L' R2 U' R' B U2 R'
F2 L' B R' D F' B2
F2 L' B R' D B2 F'
F2 L' B R' F' D B2
R L2 B U2 D' R' B
R L2 B D' U2 R' B
R U L' U' B U2 R'
B' R L D F2 B U2
B' R L D B F2 U2
B' R L D' B U2 B
B' R L B U L2 U
B' R L B U2 D' B2
B' R L B D F2 U2
B' R L B D' U2 B2
B R U L' U R2 F'
F2 R U B U2 L' R'
F2 R U B U2 R' L'
B2 R B L U L2 U
B2 R B L U2 D' B2
B2 R B L D F2 U2
B2 R B L D' U2 B2
B R B U L' U R2
R' D2 L' U L' F' R
R F' B U2 D R' B
R F' B D U2 R' B
R F2 B U' R U' R2
R F2 B U2 R' D B2
R B L U L2 U R'
R B L U2 R' D' B2
R B L U2 D' R' B2
R B L D F2 U2 R'
R B L D' U2 R' B2
R B L2 U L U R'
R B U L' U R' D
R B U L' U R' D'
R B U L' U R' D2
R B U L' U D R'
R B U L' U D' R'
R B U L' U D2 R'
R B U L' D U R'
R B U L' D' U R'
R B U L' D2 U R'
R B U D L' U R'
R B U D' L' U R'
R B U D2 L' U R'
F2 B L' R' D F' B2
F2 B L' R' D B2 F'
F2 B L' R' F' D B2
R B U' F2 R U' R2
R B U2 R' U' L' U
F2 B R U' L' R2 F'
F2 B R U' R2 L' F'
R B D U L' U R'
F2 B R' L' D F' B2
F2 B R' L' D B2 F'
F2 B R' L' F' D B2
F2 B R' D L' F' B2
F2 B R' D L' B2 F'
F2 B R' D B2 L' F'
R B D' U L' U R'
R B D2 U L' U R'
R B F' U2 D R' B
R B F' D U2 R' B
R B F2 U' R U' R2
R B F2 U2 R' D B2
F' B D R' F' L' B
F' B D R' F' B L'
F' B D R' B F' L'
R B' L B2 U L2 U
R B' L B2 U2 D' B2
R B' L B2 D F2 U2
R B' L B2 D' U2 B2
B F' D R' F' L' B
B F' D R' F' B L'
B F' D R' B F' L'
B F2 L' R' D F' B2
B F2 L' R' D B2 F'
B F2 L' R' F' D B2
B F2 R U' L' R2 F'
B F2 R U' R2 L' F'
B F2 R' L' D F' B2
B F2 R' L' D B2 F'
B F2 R' L' F' D B2
B F2 R' D L' F' B2
B F2 R' D L' B2 F'
B F2 R' D B2 L' F'
