B2 L U' R' B'
B2 L R U' R2 B'
B2 L R U' B' R2
B2 L R2 U' R B'
B2 L R2 U' B' R
B2 L U' R B' R2
B2 L U' R' D B'
B2 L U' R' D' B'
B2 L U' R' D2 B'
B2 L U' R' B' D
B2 L U' R' B' D'
B2 L U' R' B' D2
B2 L U' R2 B' R
B2 L U' D R' B'
B2 L U' D' R' B'
B2 L U' D2 R' B'
B2 L D U' R' B'
B2 L D' U' R' B'
B2 L D2 U' R' B'
B2 L F U' R' B'
B2 L F' U' R' B'
B2 L F2 U' R' B'
B2 R L U' R2 B'
B2 R L U' B' R2
L U' B2 L U' B
B2 R2 L U' R B'
B2 R2 L U' B' R
B2 D2 L U' R' B
B2 F L U' R' B'
B2 F' L U' R' B'
U' B2 L U' R' B'
U2 B2 L U' R' B'
F' B2 L U' R' B'
U B2 L U' R' B'
B2 F2 L U' R' B'
F2 B2 L U' R' B'
F B2 L U' R' B'
B2 L R U' R B' R
B2 L R U' R2 D B'
B2 L R U' R2 D' B'
B2 L R U' R2 D2 B'
B2 L R U' R2 B' D
B2 L R U' R2 B' D'
B2 L R U' R2 B' D2
B2 L R U' B R2 B2
B2 L R U' B' R2 D
B2 L R U' B' R2 D'
B2 L R U' B' R2 D2
B2 L R D' F2 U' B'
B2 L R F U' R2 B'
B2 L R F U' B' R2
B2 L R F' U' R2 B'
B2 L R F' U' B' R2
B2 L R F2 U' R2 B'
B2 L R F2 U' B' R2
B2 L R2 U' R D B'
B2 L R2 U' R D' B'
B2 L R2 U' R D2 B'
B2 L R2 U' R B' D
B2 L R2 U' R B' D'
B2 L R2 U' R B' D2
B2 L R2 U' R' B' R2
B2 L R2 U' D R B'
B2 L R2 U' D B' R
B2 L R2 U' D' R B'
B2 L R2 U' D' B' R
B2 L R2 U' D2 R B'
B2 L R2 U' D2 B' R
B2 L R2 U' B R B2
B2 L R2 U' B' R D
B2 L R2 U' B' R D'
B2 L R2 U' B' R D2
B2 L R2 U' B' D R
B2 L R2 U' B' D' R
B2 L R2 U' B' D2 R
B2 L R2 D U' R B'
B2 L R2 D U' B' R
B2 L R2 D' U' R B'
B2 L R2 D' U' B' R
