R B U L U R2
B2 L R B U' R' U'
B2 L D' R F' B U2
B2 L D' R B F' U2
L' R B U L U R2
L R B U L U R2
L2 R B U L U R2
R L B U L U R2
R L' B U L U R2
R L2 B U L U R2
R U R U B R F'
R2 U R D2 L2 F' B
R2 U R D2 L2 B F'
R2 U R D2 F' L2 B
R2 U R D2 F' B L2
R2 U R D2 B L2 F'
R2 U R D2 B F' L2
R2 U R F' D2 L2 B
R2 U R F' D2 B L2
R2 U R F' B D2 L2
R2 U R B D2 L2 F'
R2 U R B D2 F' L2
R2 U R B F' D2 L2
R2 U R' U2 R2 F' B
R2 U R' U2 R2 B F'
R2 U R' F' U2 R2 F'
R2 U R' F' B U2 R2
R2 U R' B U2 R2 B
R2 U R' B F' U2 R2
B2 R L B U' R' U'
F2 R U' L' R2 F' B'
F2 R U' L' R2 B' F'
F2 R U' R2 L' F' B'
F2 R U' R2 L' B' F'
R2 U B R F' B L
R2 U B R B L F'
R2 U B R B F' L
B2 R D L B U2 B2
R2 U B2 L R F' B
R2 U B2 L R B F'
R2 U B2 R L F' B
R2 U B2 R L B F'
R2 U B2 R F' L B
R U' L' U' R2 F' B'
R U' L' U' R2 B' F'
D2 R B U L U R2
D' R B U L U R2
B' R B U' R2 U' R
B' R B U2 D R' B2
B' R B D U2 R' B2
B' R B D' F2 U2 R'
D R B U L U R2
B R B D L U2 B'
B' R' U R2 B U2 R'
B' R' U' D2 L2 F' R
B' R' U' D2 F' L2 R
B' R' U' D2 F' R L2
B' R' D2 U' L2 F' R
B' R' D2 U' F' L2 R
B' R' D2 U' F' R L2
F' R' F' B L' D' B2
F2 R' B L' D' F' B2
F2 R' B L' D' B2 F'
F2 R' B L' F' D' B2
F' R' B F' L' D' B2
R U2 R2 F' U' L' U
F2 R2 U L' R F' B
F2 R2 U L' R B F'
F2 R2 U R L' F' B
F2 R2 U R L' B F'
F2 R2 U R B L' F'
F2 R2 U' L' R F' B'
F2 R2 U' L' R B' F'
F2 R2 U' L' B' R F'
F2 R2 U' R L' F' B'
F2 R2 U' R L' B' F'
R D B U L B U
R D2 L2 B U L U
R D2 B L2 U L' U
B2 D L R B U2 B2
B2 D R L B U2 B2
R F B U L U R2
B2 D' L R F' B U2
B2 D' L R B F' U2
B2 D' R L F' B U2
B2 D' R L B F' U2
B2 D' R F' L B U2
R F' B U L U R2
R F2 B U L U R2
R B L U2 R2 D B2
R B L' U L2 U R2
R B L' U2 R2 D' B2
R B L2 U L' U R2
R B U L U R2 D
R B U L U R2 D'
R B U L U R2 D2
R B U L D B2 U
R B U L B U R2
R B U L B' U R2
R B U L B2 U R2
R B U D L B2 U
R B U2 R2 U' L U
R B D U L B2 U
R B D2 L2 U L' U
R B F U L U R2
R B F' U L U R2
R B F2 U L U R2
R2 B2 R D L F' B'
R2 B2 R D L B' F'
R2 B2 R D F' L B'
R2 B2 R F' D L B'
