R2 L B' U B2 L U
L R2 B' U B2 L U
F' R U' F2 L' F B'
F' R U' F2 L' B' F
F R F2 U' L' F B'
F R F2 U' L' B' F
R U' F2 L' F B' R'
R U' F2 L' B' R' F
R U' F2 L' B' F R'
D' R2 F2 B L R' U
D' R2 F2 B R' L U
D' R2 B L R' F2 U
D' R2 B L F2 R' U
D' R2 B R' L F2 U
D' R2 B R' F2 L U
D' R2 B F2 L R' U
D' R2 B F2 R' L U
F' U' L D2 L2 F B'
F' U' L D2 L2 B' F
F' U' L' D2 F B' L2
F' U' L' D2 B' F L2
F' U' L' F D2 B' L2
F' U' L' F B' D2 L2
F' U' L' B' D2 F L2
F' U' L' B' F D2 L2
U2 F R F2 U' L' F
L' F' R U' F2 L' B'
R F2 U L' F R B
R F2 U' L' F B' R'
R F2 U' L' B' R' F
R F2 U' L' B' F R'
B2 D2 F' R U' L2 F'
B2 D2 F' R U' F' L2
