F' L' U F B2 R'
F' L' U B2 R' F
F' L' U B2 F R'
U2 L' F B2 D' L2
U L' F' U F2 B2
U L' F' U B2 F2
U2 L' B2 F D' L2
U D L2 F' R U
D U L2 F' R U
U D F' L2 R U
D U F' L2 R U
U D F' R L2 U
D U F' R L2 U
L' F B2 R' D' L2
L' F B2 D' L2 R'
L' F B2 D' R' L2
U F' L' U F B2
U F' L' U B2 F
L' F' U F2 B2 R'
L' F' U B2 R' F2
L' F' U B2 F2 R'
L' B2 R' D' F L'
U2 B2 L' F D' L2
L' B2 F R' D' L2
L' B2 F D' L2 R'
L' B2 F D' R' L2
U L D L2 F' U F2
U L D F' L2 U F
B2 L F D' L2 F R
U L F' L2 U F B2
U L F' L2 U B2 F
U L F' U' B' U2 B'
U L F' D L2 U F
L' R B2 R' F D' L2
F' L' R U F B2 R'
F' L' R U B2 R' F
F' L' R U B2 F R'
F' L' R' U F B2 R'
F' L' R' U B2 R' F
F' L' R' U B2 F R'
F' L' R2 U F B2 R'
F' L' R2 U B2 R' F
F' L' R2 U B2 F R'
U' L' R2 B U' F B
U' L' R2 B U' B F
F' L' U R F B2 R'
F' L' U R B2 R' F
F' L' U R B2 F R'
F' L' U R' F B2 R'
F' L' U R' B2 R' F
F' L' U R' B2 F R'
F' L' U R2 F B2 R'
F' L' U R2 B2 R' F
F' L' U R2 B2 F R'
F' L' U F R B2 R'
F' L' U F R' B2 R'
F' L' U F R2 B2 R'
F' L' U F B2 R' D
F' L' U F B2 R' D'
F' L' U F B2 R' D2
F' L' U F B2 D R'
F' L' U F B2 D' R'
F' L' U F B2 D2 R'
F' L' U F' B2 R' F2
F' L' U B2 R F R2
F' L' U B2 R' D F
F' L' U B2 R' D' F
F' L' U B2 R' D2 F
F' L' U B2 R' F D
F' L' U B2 R' F D'
F' L' U B2 R' F D2
F' L' U B2 D R' F
F' L' U B2 D F R'
F' L' U B2 D' R' F
F' L' U B2 D' F R'
F' L' U B2 D2 R' F
F' L' U B2 D2 F R'
F' L' U B2 F R' D
F' L' U B2 F R' D'
F' L' U B2 F R' D2
F' L' U B2 F D R'
F' L' U B2 F D' R'
F' L' U B2 F D2 R'
F' L' U B2 F' R' F2
U L' U F B2 D' L2
U L' U B2 F D' L2
U' L' U' F B2 D' L2
U2 L' U' F' U F2 B2
U2 L' U' F' U B2 F2
U' L' U' B2 F D' L2
U' L' U2 F' U F2 B2
U' L' U2 F' U B2 F2
U2 L' D F D' L2 B2
U2 L' D F D' B2 L2
U L' D F' L2 U F2
U' L' D' R2 B U' F
R2 L' B U' F B R'
R2 L' B U' B R' F
R2 L' B U' B F R'
U2 L' D2 F D' L2 B'
U2 L' F L B2 D' L2
U2 L' F L' B2 D' L2
U2 L' F L2 B2 D' L2
R' L' B2 D' R' F L'
L' R' B2 D' R' F L'
R' L' B2 D' F L' R'
R' L' B2 D' F R' L'
L' R' B2 D' F L' R'
L' R' B2 D' F R' L'
R L' B2 R' F D' L2
U2 L' F U' F2 U B2
U2 L' F D' L2 D B2
U2 L' F B D' L2 B
U2 L' F B D' B L2
U2 L' F B' D' B' L2
U2 L' F B2 L D' L2
U2 L' F B2 L' D' L2
U2 L' F B2 L2 D' L2
U2 L' F B2 U' F2 U
U2 L' F B2 D' L2 D
U2 L' F B2 D' L2 D'
U2 L' F B2 D' L2 D2
U L' F B2 D' L2 R2
U L' F B2 D' R2 L2
U L' F' L U F2 B2
U L' F' L U B2 F2
U L' F' L' U F2 B2
U L' F' L' U B2 F2
U L' F' L2 U F2 B2
U L' F' L2 U B2 F2
U L' F' R U F2 B2
U L' F' R U B2 F2
U L' F' R' U F2 B2
U L' F' R' U B2 F2
U L' F' R2 U F2 B2
U L' F' R2 U B2 F2
U L' F' U F2 B2 D
U L' F' U F2 B2 D'
U L' F' U F2 B2 D2
U L' F' U B2 F2 D
U L' F' U B2 F2 D'
U L' F' U B2 F2 D2
U L' F' D L2 R2 U
U L' F' D R2 L2 U
F L' F2 U F' B2 R'
F L' F2 U B2 F' R'
F' L' B U F B R'
F' L' B U B R' F
F' L' B U B F R'
U2 L' B F D' L2 B
U2 L' B F D' B L2
U2 L' B' F D' B' L2
F L' B2 R' D' F L2
U2 L' B2 U' F' U F2
U2 L' B2 D F D' L2
U2 L' B2 D' F D' L2
U2 L' B2 D2 F D' L2
U2 L' B2 F L D' L2
U2 L' B2 F L' D' L2
U2 L' B2 F L2 D' L2
U2 L' B2 F U' F2 U
U2 L' B2 F D' L2 D
U2 L' B2 F D' L2 D'
U2 L' B2 F D' L2 D2
F L' B2 D' R' F L2
F L' B2 D' F L2 R'
F L' B2 D' F L2 R'
F L' B2 D' F R' L2
U L' B2 F D' L2 R2
U L' B2 F D' R2 L2
L' R2 B U' F B R'
L' R2 B U' B R' F
L' R2 B U' B F R'
D L2 F' R U D2 R2
D L2 F' R U' L2 U2
D L2 F' R D' B2 U
D L2 F' R D2 U R2
U L2 F' L U F B2
U L2 F' L U B2 F
D L2 F' D' R B2 U
D L2 F' D' B2 R U
D L2 F' D2 R U R
U2 L2 B2 L F D' L2
F' R L' U F B2 R'
F' R L' U B2 R' F
F' R L' U B2 F R'
L' U F B2 R' D' L2
L' U F B2 D' L2 R'
L' U F B2 D' R' L2
L' U F' U F2 B2 R'
L' U F' U B2 R' F2
L' U F' U B2 F2 R'
R U F' U L' F B2
R U F' U L' B2 F
R U F' U B2 L' F
U R U F' L' F B2
U R U F' L' B2 F
U R U F' B2 L' F
U R U B2 F' L' F
L' U B2 R' D' F L'
L' U B2 F R' D' L2
L' U B2 F D' L2 R'
L' U B2 F D' R' L2
R2 U' L' B U' F B
R2 U' L' B U' B F
F' R' L' U F B2 R'
F' R' L' U B2 R' F
F' R' L' U B2 F R'
L' U' F B2 R' D' L2
L' U' F B2 D' L2 R'
L' U' F B2 D' R' L2
L' U' F' U F2 B2 R'
L' U' F' U B2 R' F2
L' U' F' U B2 F2 R'
R2 U' B L' U' F B
R2 U' B L' U' B F
L' U' B2 R' D' F L'
L' U' B2 F R' D' L2
L' U' B2 F D' L2 R'
L' U' B2 F D' R' L2
R' U2 L' B2 D' F L'
D2 R' F2 D B R' U2
F' R2 L' U F B2 R'
F' R2 L' U B2 R' F
F' R2 L' U B2 F R'
U' R2 L' B U' F B
U' R2 L' B U' B F
L' U2 F B2 R' D' L2
L' U2 F B2 D' L2 R'
L' U2 F B2 D' R' L2
L' U2 F' U F2 B2 R'
L' U2 F' U B2 R' F2
L' U2 F' U B2 F2 R'
R' U2 B2 L' D' F L'
L' U2 B2 R' D' F L'
R2 U2 B2 L' D F L'
L' U2 B2 F R' D' L2
L' U2 B2 F D' L2 R'
L' U2 B2 F D' R' L2
D2 R2 F2 U' B L U'
U' R2 B L' U' F B
U' R2 B L' U' B F
D' R2 B U2 R' U R
F' U L' U F L B2
D U L F' L R U
D U L F' R L U
L' D F D' B2 L2 R'
L' D F D' B2 R' L2
U D L F' L R U
U D L F' R L U
L' D F' L2 U F2 R
B U L' F' U F2 B
B U L' F' U B F2
F U L' F2 U F' B2
F U L' F2 U B2 F'
U2 D L2 F' R U R'
D U L2 F' R U D
D U L2 F' R U D'
D U L2 F' R U D2
D U L2 F' R D U
D U L2 F' R D' U
D U L2 F' R D2 U
D U L2 F' D R U
D U L2 F' D' R U
D U L2 F' D2 R U
U D L2 F' R U D
U D L2 F' R U D'
U D L2 F' R U D2
U D L2 F' R D U
U D L2 F' R D' U
U D L2 F' R D2 U
U D L2 F' D R U
U D L2 F' D' R U
U D L2 F' D2 R U
B' U D F' R U B'
U' D F' L2 R B' U
U' D F' L2 B' R U
U' D F' R L2 B' U
U2 D F' L2 R U R'
U2 D F' R L2 U R'
D U F' L2 R U D
D U F' L2 R U D'
D U F' L2 R U D2
D U F' L2 R D U
D U F' L2 R D' U
D U F' L2 R D2 U
D U F' L2 D R U
D U F' L2 D' R U
D U F' L2 D2 R U
D U F' R L2 U D
D U F' R L2 U D'
D U F' R L2 U D2
D U F' R L2 D U
D U F' R L2 D' U
D U F' R L2 D2 U
D U F' R U D' B2
D U F' R D' U B2
U D F' L2 R U D
U D F' L2 R U D'
U D F' L2 R U D2
U D F' L2 R D U
U D F' L2 R D' U
U D F' L2 R D2 U
U D F' L2 D R U
U D F' L2 D' R U
U D F' L2 D2 R U
U D F' R L2 U D
U D F' R L2 U D'
U D F' R L2 U D2
U D F' R L2 D U
U D F' R L2 D' U
U D F' R L2 D2 U
U D F' R U D' B2
U D F' R D' U B2
D U F' D' R U B2
F2 U F L' U F B2
F2 U F L' U B2 F
U D F' D' R U B2
B U F' L' U F B
B U F' L' U B F
F U F2 L' U F B2
F U F2 L' U B2 F
D' U' R2 B U2 R' U
U' D' R2 B U2 R' U
U' D' R2 B' L B2 U'
D' U' R2 B' L B2 U'
D U' F' L2 R B' U
D U' F' L2 B' R U
D U' F' R L2 B' U
