L F U R U L'
F' L R U' L2 U' B'
F' L R D F U2 F
F' L R D' F B2 U2
F' L R D' B2 F U2
F' L R F U' L2 U'
F' L R F U2 D F2
F' L R F D U2 F2
F' L R F D' B2 U2
F L U R U L2 B'
F' L D R F U2 F
F' L D F U2 F L'
F2 L D F R U2 F'
R' L F U R U L'
R2 L F U R U L'
L R F U R U L'
R L F U R U L'
F' L D' R F B2 U2
F' L D' R B2 F U2
F' L D' B2 R F U2
F2 L F R U' L' U'
D L F U R F' U
F' L' U L2 R F U2
F' L' U R L2 F U2
L R' F U R U L'
F' L' D F2 U' B' L'
L R2 F U R U L'
L2 U L' F B' U2 L'
L2 U L' B' F U2 L'
L' U L2 F U2 L' F
F' R L U' L2 U' B'
F' R L D F U2 F
F' R L D' F B2 U2
F' R L D' B2 F U2
F' R L F U' L2 U'
F' R L F U2 D F2
F' R L F D U2 F2
F' R L F D' B2 U2
L' U D2 R2 B' L F
L' U D2 B' L R2 F
L' U D2 B' L F R2
L' U D2 B' R2 L F
L D F U R F' U
L' D2 U R2 B' L F
L' D2 U B' L R2 F
L' D2 U B' L F R2
L' D2 U B' R2 L F
L F R' U R2 U L'
L F R' U2 L' D' F2
L F R' U2 D' L' F2
L F R' D B2 U2 L'
L F R' D' U2 L' F2
L F R2 U R' U L'
L F U R U L' D
L F U R U L' D'
L F U R U L' D2
L F U R U D L'
L F U R U D' L'
L F U R U D2 L'
L F U R D U L'
L F U R D' U L'
L F U R D2 U L'
L F U D R U L'
L F U D' R U L'
L F U D2 R U L'
F2 D L F R U2 F'
L F U2 L' U' R U
L F D U R U L'
L F D' U R U L'
L F D2 U R U L'
L F B U R U L'
L F B' U R U L'
L F B2 U R U L'
L F' R F2 U R U
F2 D' L F R B' U2
F2 D' L F B' R U2
F2 D' L B' F R U2
L F2 D' F' U2 L' F
B2 F L' R' D' F2 B'
B2 F L' R' D' B' F2
B2 F L' R' B' D' F2
B' F L' B' R' D' F2
B2 F R' L' D' F2 B'
B2 F R' L' D' B' F2
B2 F R' L' B' D' F2
B2 F R' D' L' F2 B'
B2 F R' D' L' B' F2
L B F U R U L'
F B' L' B' R' D' F2
L B' F U R U L'
F B2 L' R' D' F2 B'
F B2 L' R' D' B' F2
F B2 L' R' B' D' F2
F B2 R' L' D' F2 B'
F B2 R' L' D' B' F2
F B2 R' L' B' D' F2
F B2 R' D' L' F2 B'
F B2 R' D' L' B' F2
L B2 F U R U L'
