B' L' U' F B' R'
B' L' U' B' R' F
B' L' U' B' F R'
B' L U F B' U2 R
B' L U B' F U2 R
B' L' R' F' U' F2 B'
B' L' R' F' U' B' F2
B' L' U' R F B' R'
B' L' U' R B' R' F
B' L' U' R B' F R'
B' L' U' R' F B' R'
B' L' U' R' B' R' F
B' L' U' R' B' F R'
B' L' U' R2 F B' R'
B' L' U' R2 B' R' F
B' L' U' R2 B' F R'
B' L' U' D F B' R'
B' L' U' D B' R' F
B' L' U' D B' F R'
B' L' U' D' F B' R'
B' L' U' D' B' R' F
B' L' U' D' B' F R'
B' L' U' D2 F B' R'
B' L' U' D2 B' R' F
B' L' U' D2 B' F R'
B' L' U' F R B' R'
B' L' U' F R' B' R'
B' L' U' F R2 B' R'
B' L' U' F D B' R'
B' L' U' F D' B' R'
B' L' U' F D2 B' R'
B' L' U' F B' R' D
B' L' U' F B' R' D'
B' L' U' F B' R' D2
B' L' U' F B' D R'
B' L' U' F B' D' R'
B' L' U' F B' D2 R'
B' L' U' F' B' R' F2
B' L' U' B' R F R2
B' L' U' B' R' D F
B' L' U' B' R' D' F
B' L' U' B' R' D2 F
B' L' U' B' R' F D
B' L' U' B' R' F D'
B' L' U' B' R' F D2
B' L' U' B' D R' F
B' L' U' B' D F R'
B' L' U' B' D' R' F
B' L' U' B' D' F R'
B' L' U' B' D2 R' F
B' L' U' B' D2 F R'
B' L' U' B' F R' D
B' L' U' B' F R' D'
B' L' U' B' F R' D2
B' L' U' B' F D R'
B' L' U' B' F D' R'
B' L' U' B' F D2 R'
B' L' U' B' F' R' F2
B' L' D U' F B' R'
B' L' D U' B' R' F
B' L' D U' B' F R'
B' L' D' U' F B' R'
B' L' D' U' B' R' F
B' L' D' U' B' F R'
B' L' D2 U' F B' R'
B' L' D2 U' B' R' F
B' L' D2 U' B' F R'
B' L' F' U' F2 B' R'
B' L' F' U' B' R' F2
B' L' F' U' B' F2 R'
B' L' F2 U' F' B' R'
B' L' F2 U' B' F' R'
L' U D F R B' L'
L' U D F B' L' R
L' U D F B' R L'
L' U D B' F L' R
L' U D B' F R L'
L' U D' F R B' L
L' U D' F B' L R
L' U D' F B' R L
L' U D' B' F L R
L' U D' B' F R L
L' U F R D' B' L
L' U F D' R B' L
L' U F D' B' L R
L' U F D' B' R L
L U F B' R' U2 R2
L' U B' D F L' R
L' U B' D F R L'
L U B' R' F U2 R
L U B' F R' U2 R2
L' U' D F B' L' R'
L' U' D F B' R' L'
L' U' D B' R' F L'
L' U' D B' F L' R'
L' U' D B' F R' L'
L' U' D' F B' L R'
L' U' D' F B' R' L
L' U' D' B' R' F L
L' U' D' B' F L R'
L' U' D' B' F R' L
B' R' L' F' U' F2 B'
B' R' L' F' U' B' F2
L' U' F D' B' L R'
L' U' F D' B' R' L
L U' F R B' U2 R'
L U' F B' R U2 R2
L' U' B' R' D F L'
L' U' B' D R' F L'
L' U' B' D F L' R'
L' U' B' D F R' L'
L U' B' F R U2 R2
B' R' F' L' U' F B'
B' R' F' L' U' B' F
L' D U F R B' L'
L' D U F B' L' R
L' D U F B' R L'
L' D U B' F L' R
L' D U B' F R L'
L' D U' F B' L' R'
L' D U' F B' R' L'
L' D U' B' R' F L'
L' D U' B' F L' R'
L' D U' B' F R' L'
L' D' U F R B' L
L' D' U F B' L R
L' D' U F B' R L
L' D' U B' F L R
L' D' U B' F R L
L' D' U' F B' L R'
L' D' U' F B' R' L
L' D' U' B' R' F L
L' D' U' B' F L R'
L' D' U' B' F R' L
L2 F L U F R B'
L2 F L U F B' R
L2 F L U B' F R
D F B' L' U' B' R'
B' D F L' U' B' R'
R' F' B' L' U' F B'
R' F' B' L' U' B' F
B' F L' U' F B' R'
B' F L' U' B' R' F
B' F L' U' B' F R'
D' B' L U F U2 R
R' B' L' F' U' F2 B'
R' B' L' F' U' B' F2
B' F' L' U' F B' R'
B' F' L' U' B' R' F
B' F' L' U' B' F R'
F' B' L' U' F B' R'
F' B' L' U' B' R' F
F' B' L' U' B' F R'
F2 B' L' U' F B' R'
F2 B' L' U' B' R' F
F2 B' L' U' B' F R'
F B' L' U' F B' R'
F B' L' U' B' R' F
F B' L' U' B' F R'
R' B' F' L' U' F B'
R' B' F' L' U' B' F
D B' F L' U' B' R'
B' F2 L' U' F B' R'
B' F2 L' U' B' R' F
B' F2 L' U' B' F R'
