L F U R F' U'
F L U R F' U' F2
F2 L D R' F B R'
F2 L D R' B R' F
F2 L D R' B F R'
F2 L D F R' B R'
F2 L D F B R' B
L R F R' D R2 B2
L R F R' D B2 R2
F2 L D B R' F B
F2 L D B R' B F
F2 L D B F R' B
L R F U R F2 U'
R L F R' D R2 B2
R L F R' D B2 R2
R L F U R F2 U'
F' L D' F' R F2 B2
F' L D' F' R B2 F2
F' L D' F' B2 R F2
F' L D' B2 F' R F2
F L F D R' B R'
F L F D B R' B
D L F B R' D B2
F' L F2 D' F' R B2
F' L F2 D' F' B2 R
F' L F2 D' B2 F' R
D L B F R' D B2
F L' R F' U' L2 F
F' L' R2 U L2 F R
L2 R' B U L' F B'
L2 R' B U L' B' F
D2 L' F R U' L2 F
R2 L2 U L' F R B'
L2 R2 U L' F R B'
R2 L2 U L' F B' R
L2 R2 U L' F B' R
L2 R2 U L' B' F R
R2 L2 U L' B' F R
D2 L2 U L' F B' R'
D2 L2 U L' B' R' F
D2 L2 U L' B' F R'
D2 L2 U' L' F R B
R' L2 B U L' F B'
R' L2 B U L' B' F
F R L' F' U' L2 F
U' R F' L' U' L2 B
U' R F' L' U' B L2
F R F' L' U' L2 F
F R F' L2 U' L' F
F' R2 L' U L2 F R
L D F B R' D B2
F U R F' U' L F
L D B F R' D B2
F U' R F' L' U' L2
L' F R F' U' L2 F
L2 F R F' U' L' F
L F R' U R2 F' U'
F2 D L R' F B R'
L F U R D F' U'
L F U R D' F' U'
L F U R D2 F' U'
F2 D L R' B R' F
F2 D L R' B F R'
L F U R F' U' D
L F U R F' U' D'
L F U R F' U' D2
L F U R F' D U'
L F U R F' D' U'
L F U R F' D2 U'
F2 D L F R' B R'
F2 D L F B R' B
F2 D L B R' F B
F2 D L B R' B F
F2 D L B F R' B
L F D B R' D B2
F2 D R' L F B R'
F2 D R' L B R' F
F2 D R' L B F R'
L F B U R F' U'
D' F' L R D' F B2
D' F' L R D' B2 F
D' F' L R F D' B2
D' F' L D' R F B2
D' F' L D' R B2 F
D' F' L D' B2 R F
L F B' U R F' U'
D' F' L' U L2 R F
D' F' L' U R L2 F
L F B2 U R F' U'
R2 F' L' U L2 F R
D' F' R L D' F B2
D' F' R L D' B2 F
D' F' R L F D' B2
F2 D' L F' R F2 B'
F2 D' L F' R B' F2
F2 D' L F' B' R F2
F2 D' L B' F' R F2
F2 D' F' L R F B'
F2 D' F' L R B' F
F2 D' F' L B' R F
F2 D' F' R L F B'
F2 D' F' R L B' F
F2 D' F2 L F R B'
F2 D' F2 L F B' R
F2 D' F2 L B' F R
D' F2 D' L F R B'
D' F2 D' L F B' R
D' F2 D' L B' F R
L F2 D F' R' B R'
L F2 D F' B R' B
L F2 D B F' R' B
L B F U R F' U'
L B' F U R F' U'
L B2 F U R F' U'
