D' F2 R2 B L U
B2 L2 R2 U B' L U
D' L2 B' R2 F2 L' U
F R U R B2 U2 B'
F R U B2 R U2 B
F R U' D2 F2 L' B'
F R D2 U' F2 L' B'
F R' U R' F' B2 U2
F R' U R' B2 F' U2
B' R' F U R' B' U2
B2 R2 L2 U B' L U
B2 R2 U L2 B' L U
B' R2 B' U' R F U'
U' R2 B2 U' F R U'
F2 R2 B2 U B' L U
F U R B2 R U2 B'
F U R' F' R' B2 U2
F U R' F' B2 U2 L
F U R' B2 F' U2 L
U2 D F L2 R B2 U'
U2 D F L2 B2 R U'
U2 D F R L2 B2 U'
U2 D F R B2 L2 U'
U2 D F B2 L2 R U'
U2 D F B2 R L2 U'
U2 D B2 F L2 R U'
U2 D B2 F R L2 U'
F U B2 R' F' R' U2
F U' L D2 L2 F2 B'
F U' L D2 L2 B' F2
F U' L' D2 F2 B' L2
F U' L' D2 B' L2 F2
F U' L' D2 B' F2 L2
F U' L' B' D2 L2 F
L2 D' B' R2 F2 L' U
F U' D2 L' B' L' F2
F U' D2 F2 L' B' L'
D2 U2 F R U' F L2
U2 D2 F R U' F L2
D U2 F L2 R B2 U'
D U2 F L2 B2 R U'
D U2 F R L2 B2 U'
D U2 F R B2 L2 U'
D U2 F B2 L2 R U'
D U2 F B2 R L2 U'
R D2 F U' F L' B'
D U2 B2 F L2 R U'
D U2 B2 F R L2 U'
U2 F R U R B2 U2
U2 F R U B2 R U2
U2 F R U' D2 F2 L'
D F L2 B' R' B' U'
U2 F R D2 U' F2 L'
R' F U R' F' B2 U2
R' F U R' B2 F' U2
D2 F U' F L' B' L'
U2 F D L2 R B2 U'
U2 F D L2 B2 R U'
U2 F D R L2 B2 U'
U2 F D R B2 L2 U'
U2 F D B2 L2 R U'
U2 F D B2 R L2 U'
D' F D2 L2 B' R' U'
U2 F D2 R U' L2 F2
U2 F D2 R U' F2 L2
F D L2 B' R' B' U'
D2 F B' R' U' F L2
D F B' R' B' L2 U'
F D B' R' B' L2 U'
F2 D' R2 F2 B L U
F2 D' R2 B L F2 U
F2 D' R2 B F2 L U
D' F2 L R2 B L U
D' F2 L' R2 B L U
D' F2 L2 R2 B L U
D' F2 R2 L B L U
D' F2 R2 L' B L U
D' F2 R2 L2 B L U
D' F2 R2 D B L U
D' F2 R2 D' B L U
D' F2 R2 D2 B L U
D' F2 R2 B L U D
D' F2 R2 B L U D'
D' F2 R2 B L U D2
D' F2 R2 B L D U
D' F2 R2 B L D' U
D' F2 R2 B L D2 U
D' F2 R2 B D L U
D' F2 R2 B D' L U
D' F2 R2 B D2 L U
F D2 L' U' L' F2 B'
F D2 L' U' L' B' F2
D' F2 B L R2 B U
B' D2 R' F U' L2 F
D' F2 B R2 L B U
B' D2 F R' U' L2 F
F D2 U' L' B' L' F2
F D2 U' F2 L' B' L'
F D2 B' R' U' L2 F2
F D2 B' R' U' F2 L2
B' F R' U R' B' U2
D' B F2 L R2 B U
D' B F2 R2 L B U
B' F D2 R' U' L2 F
D2 B' R' F U' F L2
D B' R' F B' L2 U'
D B' R' B' F L2 U'
F B' R' U R' B' U2
D2 B' F R' U' F L2
D B' F R' B' L2 U'
R2 B2 L2 U B' L U
F B' D2 R' U' L2 F
D B2 L2 U2 B' L U
U' B2 R2 U' F R U'
R2 B2 U L2 B' L U
