D L2 R' F' B R'
D L2 R' B F' R'
D L2 B R' F' B
D L2 B R' B F'
D R' L2 F' B R'
D R' L2 B F' R'
D R' F' L2 B R'
D R' F' B L2 R'
D R' F' B R' L2
D R' B L2 F' R'
D R' B F' L2 R'
D R' B F' R' L2
D B L2 R' F' B
D B L2 R' B F'
D B R' L2 F' B
D B R' L2 B F'
D B R' F' L2 B
D B R' F' B L2
D B R' B L2 F'
D B R' B F' L2
D L R' F' L B R'
D L' R' B L' F' R'
D L' B L' R' F' B
D L' B L' R' B F'
D L' B R' L' F' B
D L' B R' L' B F'
D L' B R' B L' F'
D L2 R' D2 F' B R
D L2 R' D2 B F' R
D L2 R' F B R' F2
D L2 R' F' B R' D
D L2 R' F' B R' D'
D L2 R' F' B R' D2
D L2 R' F' B D R'
D L2 R' F' B D' R'
D L2 R' F' B D2 R'
D L2 R' F2 B R' F
D L2 R' B D F' R'
D L2 R' B D' F' R'
D L2 R' B D2 F' R'
D L2 R' B F R' F2
D L2 R' B F' R' D
D L2 R' B F' R' D'
D L2 R' B F' R' D2
D L2 R' B F' D R'
D L2 R' B F' D' R'
D L2 R' B F' D2 R'
D L2 R' B F2 R' F
D L2 F R' F' B R'
D L2 F R' B F' R'
D L2 F B R' F' B
D L2 F B R' B F'
D L2 F' R' F' B R'
D L2 F' R' B F' R'
D L2 F' B R' F' B
D L2 F' B R' B F'
D L2 F2 R' F' B R'
D L2 F2 R' B F' R'
D L2 F2 B R' F' B
D L2 F2 B R' B F'
D L2 B R' D F' B
D L2 B R' D B F'
D L2 B R' D' F' B
D L2 B R' D' B F'
D L2 B R' D2 F' B
D L2 B R' D2 B F'
D L2 B R' F' D B
D L2 B R' F' D' B
D L2 B R' F' D2 B
D L2 B R' F' B D
D L2 B R' F' B D'
D L2 B R' F' B D2
D L2 B R' B D F'
D L2 B R' B D' F'
D L2 B R' B D2 F'
D L2 B R' B F' D
D L2 B R' B F' D'
D L2 B R' B F' D2
D L2 B F R' F' B
D L2 B F R' B F'
D L2 B F' R' F' B
D L2 B F' R' B F'
D L2 B F2 R' F' B
D L2 B F2 R' B F'
U R F' L' R B2 U'
U R F' L' B2 R U'
F' R F' B2 L2 U' F
F' R F' B2 U B' U2
U R F' R L' B2 U'
U R F' R B2 L' U'
D R F' B U2 L2 R'
D R F' B U2 R' L2
U R F' B2 L' R U'
U R F' B2 R L' U'
D R B F' U2 L2 R'
D R B F' U2 R' L2
F' R B2 L2 F' U' F2
F' R B2 F' L2 U' F
F' R B2 F' U B' U2
U R B2 F' L' R U'
U R B2 F' R L' U'
D R' L F' L B R'
D R' L' B L' F' R'
D R' L2 D2 F' B R
D R' L2 D2 B F' R
D R' L2 F B R' F2
D R' L2 F' B R' D
D R' L2 F' B R' D'
D R' L2 F' B R' D2
D R' L2 F' B D R'
D R' L2 F' B D' R'
D R' L2 F' B D2 R'
D R' L2 F2 B R' F
D R' L2 B D F' R'
D R' L2 B D' F' R'
D R' L2 B D2 F' R'
D R' L2 B F R' F2
D R' L2 B F' R' D
D R' L2 B F' R' D'
D R' L2 B F' R' D2
D R' L2 B F' D R'
D R' L2 B F' D' R'
D R' L2 B F' D2 R'
D R' L2 B F2 R' F
D R' U L2 F' B R'
D R' U L2 B F' R'
D R' U F' L2 B R'
D R' U F' B L2 R'
D R' U F' B R' L2
D R' U B L2 F' R'
D R' U B F' L2 R'
D R' U B F' R' L2
D R' U' L2 F' B R'
D R' U' L2 B F' R'
D R' U' F' L2 B R'
D R' U' F' B L2 R'
D R' U' F' B R' L2
D R' U' B L2 F' R'
D R' U' B F' L2 R'
D R' U' B F' R' L2
D R' U2 L2 F' B R'
D R' U2 L2 B F' R'
D R' U2 F' L2 B R'
D R' U2 F' B L2 R'
D R' U2 F' B R' L2
D R' U2 B L2 F' R'
D R' U2 B F' L2 R'
D R' U2 B F' R' L2
D R' F L2 F2 B R'
D R' F L2 B R' F2
D R' F L2 B F2 R'
D R' F B L2 R' F2
D R' F B L2 F2 R'
D R' F B R' L2 F2
D R' F B R' F2 L2
D R' F' L' B L' R'
D R' F' L' B R' L'
D R' F' L2 B R' D
D R' F' L2 B R' D'
D R' F' L2 B R' D2
D R' F' L2 B D R'
D R' F' L2 B D' R'
D R' F' L2 B D2 R'
D' R' F' B2 L R B'
D' R' F' B2 L B' R
D' R' F' B2 R L B'
D R' F' B L2 R' D
D R' F' B L2 R' D'
D R' F' B L2 R' D2
D R' F' B L2 D R'
D R' F' B L2 D' R'
D R' F' B L2 D2 R'
D R' F' B R' L2 D
D R' F' B R' L2 D'
D R' F' B R' L2 D2
D R' F2 B R' F L2
D R' B L F' L R'
D R' B L F' R' L
D R' B L2 D F' R'
D R' B L2 D' F' R'
D R' B L2 D2 F' R'
D R' B L2 F R' F2
D R' B L2 F' R' D
D R' B L2 F' R' D'
D R' B L2 F' R' D2
D R' B L2 F' D R'
D R' B L2 F' D' R'
D R' B L2 F' D2 R'
D R' B L2 F2 R' F
D R' B F L2 R' F2
D R' B F L2 F2 R'
D R' B F R' L2 F2
D R' B F R' F2 L2
D R' B F' L2 R' D
D R' B F' L2 R' D'
D R' B F' L2 R' D2
D R' B F' L2 D R'
D R' B F' L2 D' R'
D R' B F' L2 D2 R'
D R' B F' R' L2 D
D R' B F' R' L2 D'
D R' B F' R' L2 D2
D R' B F2 R' F L2
D' R' B2 L F' R B'
D' R' B2 L F' B' R
D' R' B2 L B' F' R
D' R' B2 F' L R B'
D' R' B2 F' L B' R
D' R' B2 F' R L B'
L' D L2 R' F' B R'
L' D L2 R' B F' R'
L2 D L2 R' F' B R'
L2 D L2 R' B F' R'
L' D L2 B R' F' B
L' D L2 B R' B F'
L D L2 R' F' B R'
L D L2 R' B F' R'
L2 D L2 B R' F' B
L2 D L2 B R' B F'
L D L2 B R' F' B
L D L2 B R' B F'
L' D R' L2 F' B R'
L' D R' L2 B F' R'
L2 D R' L2 F' B R'
L2 D R' L2 B F' R'
L' D R' F' L2 B R'
L' D R' F' B L2 R'
L' D R' F' B R' L2
L' D R' B L2 F' R'
L' D R' B F' L2 R'
L' D R' B F' R' L2
L2 D R' F' L2 B R'
L2 D R' F' B L2 R'
L2 D R' F' B R' L2
L2 D R' B L2 F' R'
L D R' L2 F' B R'
L D R' L2 B F' R'
L2 D R' B F' L2 R'
L2 D R' B F' R' L2
L D R' F' L2 B R'
L D R' F' B L2 R'
L D R' F' B R' L2
L D R' B L2 F' R'
L D R' B F' L2 R'
L D R' B F' R' L2
F' U R F' L' B2 U'
F' U R F' B2 L' U'
F' U R B2 F' L' U'
L' D B L2 R' F' B
L' D B L2 R' B F'
L' D B R' L2 F' B
L' D B R' L2 B F'
L' D B R' F' L2 B
L' D B R' F' B L2
L' D B R' B L2 F'
L' D B R' B F' L2
L2 D B L2 R' F' B
L2 D B L2 R' B F'
L2 D B R' L2 F' B
L2 D B R' L2 B F'
L2 D B R' F' L2 B
L2 D B R' F' B L2
L2 D B R' B L2 F'
L2 D B R' B F' L2
L D B L2 R' F' B
L D B L2 R' B F'
L D B R' L2 F' B
L D B R' L2 B F'
L D B R' F' L2 B
L D B R' F' B L2
L D B R' B L2 F'
L D B R' B F' L2
F' U B2 R F' L' U'
D F L2 R' F' B R'
D F L2 R' B F' R'
D F L2 B R' F' B
D F L2 B R' B F'
D F R' L2 F' B R'
D F R' L2 B F' R'
D F R' F' L2 B R'
D F R' F' B L2 R'
D F R' F' B R' L2
D F R' B L2 F' R'
D F R' B F' L2 R'
D F R' B F' R' L2
B2 D R' U' F' B R'
B2 D R' U' B F' R'
D F B L2 R' F' B
D F B L2 R' B F'
D F B R' L2 F' B
D F B R' L2 B F'
D F B R' F' L2 B
D F B R' F' B L2
D F B R' B L2 F'
D F B R' B F' L2
U F' L' R F' B2 U'
U F' L' R B2 F' U'
D F' L2 R' F' B R'
D F' L2 R' B F' R'
U F' L' B2 R F' U'
D F' L2 B R' F' B
D F' L2 B R' B F'
U F' R L' F' B2 U'
U F' R L' B2 F' U'
D F' R' L2 F' B R'
D F' R' L2 B F' R'
U F' R B2 L' F' U'
D F' R' F' L2 B R'
D F' R' F' B L2 R'
D F' R' F' B R' L2
D F' R' B L2 F' R'
D F' R' B F' L2 R'
D F' R' B F' R' L2
D F' B L2 R' F' B
D F' B L2 R' B F'
D F' B R' L2 F' B
D F' B R' L2 B F'
D F' B R' F' L2 B
D F' B R' F' B L2
D F' B R' B L2 F'
D F' B R' B F' L2
U F' B2 L' R F' U'
U F' B2 R L' F' U'
R F' B2 L2 R U' F
R F' B2 R L2 U' F
R F' B2 R U B' U2
D F2 L2 R' F' B R'
D F2 L2 R' B F' R'
D F2 L2 B R' F' B
D F2 L2 B R' B F'
D F2 R' L2 F' B R'
D F2 R' L2 B F' R'
D F2 R' F' L2 B R'
D F2 R' F' B L2 R'
D F2 R' F' B R' L2
D F2 R' B L2 F' R'
D F2 R' B F' L2 R'
D F2 R' B F' R' L2
D F2 B L2 R' F' B
D F2 B L2 R' B F'
D F2 B R' L2 F' B
D F2 B R' L2 B F'
D F2 B R' F' L2 B
D F2 B R' F' B L2
D F2 B R' B L2 F'
D F2 B R' B F' L2
D B L R' F' L B
D B L' R' B L' F'
D B L2 R' D F' B
D B L2 R' D B F'
D B L2 R' D' F' B
D B L2 R' D' B F'
D B L2 R' D2 F' B
D B L2 R' D2 B F'
D B L2 R' F' D B
D B L2 R' F' D' B
D B L2 R' F' D2 B
D B L2 R' F' B D
D B L2 R' F' B D'
D B L2 R' F' B D2
D B L2 R' B D F'
D B L2 R' B D' F'
D B L2 R' B D2 F'
D B L2 R' B F' D
D B L2 R' B F' D'
D B L2 R' B F' D2
D B L2 F R' F' B
D B L2 F R' B F'
D B L2 F' R' F' B
D B L2 F' R' B F'
D B L2 F2 R' F' B
D B L2 F2 R' B F'
D B R' L F' L B
D B R' L' B L' F'
D B R' L2 D F' B
D B R' L2 D B F'
D B R' L2 D' F' B
D B R' L2 D' B F'
D B R' L2 D2 F' B
D B R' L2 D2 B F'
D B R' L2 F' D B
D B R' L2 F' D' B
D B R' L2 F' D2 B
D B R' L2 F' B D
D B R' L2 F' B D'
D B R' L2 F' B D2
D B R' L2 B D F'
D B R' L2 B D' F'
D B R' L2 B D2 F'
D B R' L2 B F' D
D B R' L2 B F' D'
D B R' L2 B F' D2
D B R' F L2 F2 B
D B R' F L2 B F2
D B R' F B L2 F2
D B R' F' L' B L'
D B R' F' L2 D B
D B R' F' L2 D' B
D B R' F' L2 D2 B
D B R' F' L2 B D
D B R' F' L2 B D'
D B R' F' L2 B D2
D B R' F' B L2 D
D B R' F' B L2 D'
D B R' F' B L2 D2
D B R' F' B' L2 B2
D B R' B L F' L
D B R' B L2 D F'
D B R' B L2 D' F'
D B R' B L2 D2 F'
D B R' B L2 F' D
D B R' B L2 F' D'
D B R' B L2 F' D2
D B R' B F L2 F2
D B R' B F' L2 D
D B R' B F' L2 D'
D B R' B F' L2 D2
D B R' B' L2 F' B2
D B R' B' L2 B2 F'
D B R' B' F' L2 B2
R B U' F' B R U'
R B U' B F' R U'
D B F L2 R' F' B
D B F L2 R' B F'
D B F R' L2 F' B
D B F R' L2 B F'
D B F R' F' L2 B
D B F R' F' B L2
D B F R' B L2 F'
D B F R' B F' L2
D B F' L2 R' F' B
D B F' L2 R' B F'
D B F' R' L2 F' B
D B F' R' L2 B F'
D B F' R' F' L2 B
D B F' R' F' B L2
D B F' R' B L2 F'
D B F' R' B F' L2
D B F2 L2 R' F' B
D B F2 L2 R' B F'
D B F2 R' L2 F' B
D B F2 R' L2 B F'
D B F2 R' F' L2 B
D B F2 R' F' B L2
D B F2 R' B L2 F'
D B F2 R' B F' L2
B2 F' R F' U B U2
D B2 L2 B' R' F' B
D B2 L2 B' R' B F'
R B2 L2 F' R U' F2
U B2 R F' L' R U'
U B2 R F' R L' U'
F' B2 R F' U B U2
U B2 F' L' R F' U'
U B2 F' R L' F' U'
R B2 F' L2 R U' F
R B2 F' R L2 U' F
R B2 F' R U B' U2
