U L R2 F B2 U2
U L R2 B2 F U2
U L F R2 B2 U2
U L F B2 R2 U2
U L B2 R2 F U2
U L B2 F R2 U2
U R2 L F B2 U2
U R2 L B2 F U2
U' R2 B2 U2 R' B
D2 U' L2 F2 R B
U' D2 L2 F2 R B
U B2 R2 U2 R B
U' L R B2 R U2 B'
U L R B2 R F U2
U' L R' F' R' B2 U2
U' L R' F' B2 U2 L
U L R' F R' B2 U2
U L R' F B2 U2 L
U' L R' B2 F' U2 L
U L R' B2 F U2 L
U L R2 D2 F U2 F
U L R2 F U2 D2 F2
U L R2 F D2 U2 F2
U L R2 F B2 U2 D
U L R2 F B2 U2 D'
U L R2 F B2 U2 D2
U L R2 F B2 D U2
U L R2 F B2 D' U2
U L R2 F B2 D2 U2
F' L R2 B2 U L2 U
F' L R2 B2 U2 D' B2
F' L R2 B2 D F2 U2
F' L R2 B2 D' U2 B2
F L R2 B2 U L U
U L R2 B2 D F U2
U L R2 B2 D' F U2
U L R2 B2 D2 F U2
U L R2 B2 F U2 D
U L R2 B2 F U2 D'
U L R2 B2 F U2 D2
U L R2 B2 F D U2
U L R2 B2 F D' U2
U L R2 B2 F D2 U2
U L U2 D2 L2 F2 B'
U L U2 D2 L2 B' F2
R2 L F B2 U' R U'
R2 L F' B2 U L' U
U L D2 U2 L2 F2 B'
U L D2 U2 L2 B' F2
U L D2 F U2 F L2
U L F R B2 R U2
U L F R' B2 U2 L
U L F R2 U2 D2 F2
U L F R2 D2 U2 F2
U L F R2 B2 U2 D
U L F R2 B2 U2 D'
U L F R2 B2 U2 D2
U L F R2 B2 D U2
U L F R2 B2 D' U2
U L F R2 B2 D2 U2
U L F U2 D2 L2 F2
U L F U2 D2 F2 L2
U L F D2 U2 L2 F2
U L F D2 U2 F2 L2
U L F B R2 U2 F'
U L F B' R2 B' U2
U L F B2 R2 U2 D
U L F B2 R2 U2 D'
U L F B2 R2 U2 D2
U L F B2 R2 D U2
U L F B2 R2 D' U2
U L F B2 R2 D2 U2
U L F B2 U2 D2 L2
U L F B2 D2 U2 L2
U L F' R2 F2 B2 U2
U L F' R2 B2 F2 U2
U L F' B2 R2 F2 U2
U L F2 R2 B2 U2 B'
R2 L B2 U L' U B'
R2 L B2 U' R U' B
U L F2 B2 R2 U2 B
R2 L B2 F U' R U'
R2 L B2 F' U L' U
U L B R2 F U2 F2
U L B F R2 U2 F'
U L B' R2 F B' U2
U L B' R2 B' F U2
U L B' F R2 B' U2
F' L B2 R2 U L2 U
F' L B2 R2 U2 D' B2
F' L B2 R2 D F2 U2
F' L B2 R2 D' U2 B2
U' L B2 R' F' R' U2
F L B2 R2 U' R' U'
U L B2 R' F R' U2
U L B2 R2 D F U2
U L B2 R2 D' F U2
U L B2 R2 D2 F U2
U L B2 R2 F U2 D
U L B2 R2 F U2 D'
U L B2 R2 F U2 D2
U L B2 R2 F D U2
U L B2 R2 F D' U2
U L B2 R2 F D2 U2
U L B2 U2 D2 L2 B'
U L B2 D2 U2 L2 B'
U L B2 D2 F U2 L2
U L B2 F R2 U2 D
U L B2 F R2 U2 D'
U L B2 F R2 U2 D2
U L B2 F R2 D U2
U L B2 F R2 D' U2
U L B2 F R2 D2 U2
U L B2 F U2 D2 L2
U L B2 F D2 U2 L2
U L B2 F' R2 F2 U2
U L B2 F2 R2 U2 B
D2 L' U L' F2 R B'
D2 L' U L' F2 B' R
D2 L' U L' B' F2 R
U L' R2 B2 L2 U2 B
F' L' U D2 L2 R2 F2
F' L' U D2 L2 F2 R2
F' L' U D2 R2 L2 F2
F' L' U D2 R2 F2 L2
F' L' U D2 F2 L2 R2
F' L' U D2 F2 R2 L2
D2 L' U' L' F2 R B
F' L' U' L2 R2 B2 U2
F' L' U' L2 B2 R2 U2
F' L' U' R2 L2 B2 U2
F' L' U' R2 B2 L2 U2
F' L' U' B2 L2 R2 U2
F' L' U' B2 R2 L2 U2
F' L' D' R2 F2 B2 U
F' L' D' R2 B2 F2 U
F' L' D' F2 R2 B2 U
F' L' D' F2 B2 R2 U
F' L' D' B2 R2 F2 U
F' L' D' B2 F2 R2 U
F' L' D2 U L2 R2 F2
F' L' D2 U L2 F2 R2
F' L' D2 U R2 L2 F2
F' L' D2 U R2 F2 L2
F' L' D2 U F2 L2 R2
F' L' D2 U F2 R2 L2
U L' D2 L2 F2 R2 B
U L' D2 R2 F2 B' L2
U L' D2 R2 B' L2 F2
U L' D2 R2 B' F2 L2
U L' D2 F2 R2 B' L2
U L' D2 F2 B' L2 R2
U L' D2 F2 B' R2 L2
U L' D2 B' L2 R2 F2
U L' D2 B' L2 F2 R2
U L' D2 B' R2 L2 F2
U L' D2 B' R2 F2 L2
U L' D2 B' F2 L2 R2
U L' D2 B' F2 R2 L2
U L' B' D2 L2 R2 F
U L' B' D2 L2 F R2
U L' B' D2 R2 L2 F
U L' B2 L2 R2 F' U2
U L' B2 R2 L2 F' U2
U L' B2 R2 F' L2 U2
L R2 F B2 U' R U'
U L2 R2 B2 L' F U2
L R2 F' B2 U L' U
L R2 B2 U L' U B'
L R2 B2 U' R U' B
R' U L R' F B2 U2
R' U L R' B2 F U2
L R2 B2 F U' R U'
L R2 B2 F' U L' U
R' U L F R' B2 U2
R' U L F B2 U2 L
R U L R F B2 U2
R U L R B2 F U2
R' U L B2 F U2 L
U' L2 D2 F2 L2 R B
U' L2 D2 F2 R L2 B
U' L2 D2 F2 R B L2
L2 U L' R2 B2 U2 B
R U L B2 R F U2
L2 U L' B2 R2 F' U2
R U R L F B2 U2
R U R L B2 F U2
D2 L2 F2 R2 D R' B
R' U R' L F B2 U2
R' U R' L B2 F U2
D2 L2 F2 D R' B R2
L2 U R2 L' B2 U2 B
L2 U R2 B2 L' U2 B'
D L2 B2 U L' U2 B'
U L2 B2 L' R2 F U2
U L2 B2 L' F R2 U2
U L2 B2 R2 L' F U2
U' R L B2 R U2 B'
U R L B2 R F U2
F R U L R B2 U2
F R U L B2 R U2
F R U R L B2 U2
F R U R B2 U2 R'
D2 R U' L2 F2 R B
F R U B2 R U2 R2
L2 U B2 L' R2 U2 B'
L2 U B2 R2 L' U2 B'
R' U' L R' F' B2 U2
R' U' L R' B2 F' U2
R U' L R B2 U2 B'
R U' L B2 R U2 B
R U' R L B2 U2 B'
R' U' R' L F' B2 U2
R' U' R' L B2 F' U2
R' U' R' F' L B2 U2
R' U' R' F' B2 U2 R'
R U' R B2 U2 R' B'
R' U' R' B2 F' U2 R'
U' R B2 R U2 R2 B'
U' R B2 R U2 B' R2
U' R' L F' R' B2 U2
U' R' L F' B2 U2 L
U' R' L B2 F' U2 L
L2 U' D2 F2 L2 R B
L2 U' D2 F2 R L2 B
L2 U' D2 F2 R B L2
U R' L F R' B2 U2
U R' L F B2 U2 L
U R' L B2 F U2 L
D2 R' U' L2 F2 R B
R U' B2 R U2 B R2
U' R' F' L R' B2 U2
U' R' F' L B2 U2 L
U' R' F' R' L B2 U2
U' R' F' R' B2 U2 R'
U' R' F' B2 U2 L R'
U' R' F' B2 U2 R' L
U' R' B2 F' U2 L R'
U' R' B2 F' U2 R' L
F' R2 L B2 U L2 U
F' R2 L B2 U2 D' B2
F' R2 L B2 D F2 U2
F' R2 L B2 D' U2 B2
U R2 L D2 F U2 F
U R2 L F U2 D2 F2
U R2 L F D2 U2 F2
U R2 L F B2 U2 D
U R2 L F B2 U2 D'
U R2 L F B2 U2 D2
U R2 L F B2 D U2
U R2 L F B2 D' U2
U R2 L F B2 D2 U2
F R2 L B2 U L U
U R2 L B2 D F U2
U R2 L B2 D' F U2
U R2 L B2 D2 F U2
U R2 L B2 F U2 D
U R2 L B2 F U2 D'
U R2 L B2 F U2 D2
U R2 L B2 F D U2
U R2 L B2 F D' U2
U R2 L B2 F D2 U2
U R2 L' B2 L2 U2 B
B2 R2 U L' U R B'
B2 R2 U L' U B' R
U R2 L2 B2 L' F U2
D2 R2 U' L2 F2 R B
B2 R2 U' R' U' R2 B
B2 R2 U' R2 U' R' B
B2 R2 U2 B' R D B2
U' R2 D2 L U2 F2 B'
U' R2 D2 L U2 B' F2
U R2 D2 L F U2 F
U' R2 F B2 U2 R' B
U R2 F L F B2 U2
U R2 F L B2 F U2
B2 R2 F' U L' B' U
U' R2 F' B2 U2 R' B
U R2 F' L F B2 U2
U R2 F' L B2 F U2
B2 R2 F2 D' L' F U2
U' R2 F2 B2 U2 R' B
U R2 F2 L F B2 U2
U R2 F2 L B2 F U2
U' R2 B2 L U2 R' B
U' R2 B2 L' U2 R' B
U' R2 B2 L2 U2 R' B
F' R2 B2 U L' U R'
U' R2 B2 U2 R' D B
U' R2 B2 U2 R' D' B
U' R2 B2 U2 R' D2 B
U' R2 B2 U2 R' B D
U' R2 B2 U2 R' B D'
U' R2 B2 U2 R' B D2
U' R2 B2 F U2 R' B
U' R2 B2 F' U2 R' B
F2 R2 B2 U2 D R' B
U' R2 B2 F2 U2 R' B
F2 R2 B2 D U2 R' B
U2 R2 B2 U2 D' R' B
U2 R2 B2 D' U2 R' B
U R2 B2 L F U2 R'
U R2 B2 L' U2 R' B'
F R2 B2 U L U R'
D2 U L F U2 F L
U R2 B2 U2 R B R2
D2 U L' B' L' F2 R
B U B R2 U2 R B
D2 U' L2 R F2 B R
D2 U' L2 R B F2 R
D2 U' L2 F2 R D B
D2 U' L2 F2 R D' B
D2 U' L2 F2 R D2 B
D2 U' L2 F2 R B D
D2 U' L2 F2 R B D'
D2 U' L2 F2 R B D2
D2 U' L2 F2 D R B
D2 U' L2 F2 D' R B
D2 U' L2 F2 D2 R B
D2 U' L2 F2 B R B
D2 U' L2 F2 B' R B
D2 U' L2 F2 B2 R B
D2 U' L2 B F2 R B
D2 U' L2 B' F2 R B
D2 U' L2 B2 F2 R B
D2 U' R L2 F2 B R
D2 U' R L2 B F2 R
D2 U' B2 R' F2 L2 B'
U' D2 L2 R F2 B R
U' D2 L2 R B F2 R
U D2 L F U2 F L
U' D2 L2 F2 R D B
U' D2 L2 F2 R D' B
U' D2 L2 F2 R D2 B
U' D2 L2 F2 R B D
U' D2 L2 F2 R B D'
U' D2 L2 F2 R B D2
U' D2 L2 F2 D R B
U' D2 L2 F2 D' R B
U' D2 L2 F2 D2 R B
U' D2 L2 F2 B R B
U' D2 L2 F2 B' R B
U' D2 L2 F2 B2 R B
U' D2 L2 B F2 R B
U' D2 L2 B' F2 R B
U' D2 L2 B2 F2 R B
U' D2 R L2 F2 B R
U' D2 R L2 B F2 R
U D2 L' B' L' F2 R
L2 D2 U' F2 L2 R B
L2 D2 U' F2 R L2 B
L2 D2 U' F2 R B L2
B2 U2 R' B2 D L B'
U' D2 B2 R' F2 L2 B'
U F L R2 F B2 U2
U F L R2 B2 F U2
R2 F L B2 U' R U'
U F L F R2 B2 U2
U F L F B2 R2 U2
U F L B2 R2 F U2
U F L B2 F R2 U2
D F R B2 L2 U' R'
U' F R2 B2 U2 R' B
U F R2 L F B2 U2
U F R2 L B2 F U2
L F R2 B2 U L U
U' F D2 L2 F2 R B
F D R B2 L2 U' R'
D F B2 L2 R U' R2
D F B2 R L2 U' R2
R2 F B2 U' R U' R2
R2 F B2 U2 R' D B2
U F B2 R2 U2 R B
L F B2 R2 U' R' U'
U F' L R2 F B2 U2
U F' L R2 B2 F U2
R2 F' L B2 U L2 U
R2 F' L B2 U2 D' B2
R2 F' L B2 D F2 U2
R2 F' L B2 D' U2 B2
U F' L F R2 B2 U2
U F' L F B2 R2 U2
U F' L B2 R2 F U2
U F' L B2 F R2 U2
U' F' R2 B2 U2 R' B
U F' R2 L F B2 U2
U F' R2 L B2 F U2
F2 D B2 L2 U' R' B
L F' R2 B2 U L' U
F D B2 L2 R U' R2
F D B2 R L2 U' R2
U' F' D2 L2 F2 R B
R2 F' B2 U L' U R'
U F' B2 R2 U2 R B
L F' B2 R2 U L' U
U F2 L R2 F B2 U2
U F2 L R2 B2 F U2
U F2 L F R2 B2 U2
U F2 L F B2 R2 U2
U F2 L B2 R2 F U2
U F2 L B2 F R2 U2
U' F2 R2 B2 U2 R' B
U F2 R2 L F B2 U2
U F2 R2 L B2 F U2
F' D2 L' U L' F2 R
U' F2 D2 L2 F2 R B
F D2 R U' L2 F2 R
D2 F2 B2 L2 D R' B
R2 F2 B2 U2 D R' B
R2 F2 B2 D U2 R' B
U F2 B2 R2 U2 R B
B2 F R2 U' R' U' R2
B2 F R2 U2 R D B2
B2 F U2 R' D B2 L
U' B' R2 B' U2 R' B
B2 F' R2 U L' U R
D2 B2 L2 F2 D R' B
U B2 L F R2 U2 R
U B2 L' R2 U2 R B'
U B2 L' R2 U2 B' R
D B2 L2 R2 U' R B
D B2 L2 U' R B R2
D B2 L2 F R U' R2
U' B2 R' F' R' U2 R
U' B2 R2 U2 R' B R2
D B2 R2 L2 U' R B
D2 B2 U' R' F2 L2 B'
U B2 R2 L' U2 R B'
U B2 R2 L' U2 B' R
L B2 R2 U L' U B'
R2 B2 U L' U R' B'
L B2 R2 U' R U' B
U B2 R2 U2 R D B
U B2 R2 U2 R D' B
U B2 R2 U2 R D2 B
U B2 R2 U2 R B D
U B2 R2 U2 R B D'
U B2 R2 U2 R B D2
U B2 R2 U2 D R B
U B2 R2 U2 D' R B
U B2 R2 U2 D2 R B
U B2 R2 U2 B R B
U B2 R2 U2 B' R B
U B2 R2 U2 B2 R B
U B2 R2 D U2 R B
U B2 R2 D' U2 R B
U B2 R2 D2 U2 R B
L B2 R2 F U' R U'
F' B2 R2 U L' U R
L B2 R2 F' U L' U
U B2 R2 F2 L' U2 B'
R2 B2 U' R U' B R2
F B2 R2 U' R' U' R2
F B2 R2 U2 R D B2
F B2 U2 R' D B2 L
D2 B2 F2 L2 D R' B
D B2 F L2 R U' R2
D B2 F R L2 U' R2
R2 B2 F U' R U' R2
R2 B2 F U2 R' D B2
L B2 F R2 U' R' U'
R2 B2 F' U L' U R'
U B2 F R2 U2 R B
L B2 F' R2 U L' U
U B2 F' R2 U2 R B
R2 B2 F2 U2 D R' B
R2 B2 F2 D U2 R' B
U B2 F2 R2 U2 R B
