D R U2 F' B
D R U2 B F'
D R U2 D F' B
D R U2 D B F'
D R U2 D' F' B
D R U2 D' B F'
D R U2 D2 F' B
D R U2 D2 B F'
D R U2 F' D B
D R U2 F' D' B
D R U2 F' D2 B
D R U2 F' B D
D R U2 F' B D'
D R U2 F' B D2
D R U2 B D F'
D R U2 B D' F'
D R U2 B D2 F'
D R U2 B F' D
D R U2 B F' D'
D R U2 B F' D2
D R D U2 F' B
D R D U2 B F'
D R D' U2 F' B
D R D' U2 B F'
D R D2 U2 F' B
D R D2 U2 B F'
D R F U2 F2 B
D R F U2 B F2
D R F2 U2 F B
D R F2 U2 B F
D R B' U2 F' B2
D R B' U2 B2 F'
D R B2 U2 F' B'
D R B2 U2 B' F'
D R' F' R2 U2 F'
D R' F' B R2 U2
D R' B R2 U2 B
D R' B F' R2 U2
U2 D' F2 L' F B'
U2 D' F2 L' B' F
D' U2 F2 L' F B'
D' U2 F2 L' B' F
R F U' L' U' B
B2 D R U2 F' B
B2 D R U2 B F'
B' D R U2 F' B
B' D R U2 B F'
B D R U2 F' B
B D R U2 B F'
R' F' R2 U R' U
D' F2 U2 L' F B'
D' F2 U2 L' B' F
D B R U2 F' B
D B R U2 B F'
D B' R U2 F' B
D B' R U2 B F'
D B2 R U2 F' B
D B2 R U2 B F'
D' L R B' L' U2 B2
L' R D' L B' U2 B2
L R D' L' U2 F B
L R D' L' U2 B F
R L D' L' U2 F B
R L D' L' U2 B F
D L F2 L' R F' B
D L F2 L' R B F'
D L F2 R L' F' B
D L F2 R L' B F'
D L F2 R B L' F'
D' L B' L' R U2 B
D' L B' R L' U2 B
R L' D' L B' U2 B2
U2 L' D' F2 B' L' F
U2 L' D' B' F2 L' F
U2 L' B' D' F2 L' F
R U D' L' U F B
R U D' L' U B F
D' R L B' L' U2 B2
D' R U L' U F B
D' R U L' U B F
D R U L U F' B
D R U L U B F'
D R U L' U F' B
D R U L' U B F'
D R U L2 U F' B
D R U L2 U B F'
D' R U' L' U' F B
D' R U' L' U' B F
D R U' L U' F' B
D R U' L U' B F'
D R U' L' U' F' B
D R U' L' U' B F'
D R U' L2 U' F' B
D R U' L2 U' B F'
D' R U2 L' F L B
D R U2 L B L' F'
D R U2 L' F' L B
D R U2 L2 F' L2 B
D R U2 L2 F' B L2
D R U2 L2 B L2 F'
D R U2 L2 B F' L2
D2 R U2 B U' R' U
D' R U2 B L' F L
D R U2 D F' D B
D R U2 D F' D' B
D R U2 D F' D2 B
D R U2 D F' B D
D R U2 D F' B D'
D R U2 D F' B D2
D R U2 D B D F'
D R U2 D B D' F'
D R U2 D B D2 F'
D R U2 D B F' D
D R U2 D B F' D'
D R U2 D B F' D2
D R U2 D' F' D B
D R U2 D' F' D' B
D R U2 D' F' D2 B
D R U2 D' F' B D
D R U2 D' F' B D'
D R U2 D' F' B D2
D R U2 D' B D F'
D R U2 D' B D' F'
D R U2 D' B D2 F'
D R U2 D' B F' D
D R U2 D' B F' D'
D R U2 D' B F' D2
D R U2 D2 F' D B
D R U2 D2 F' D' B
D R U2 D2 F' D2 B
D R U2 D2 F' B D
D R U2 D2 F' B D'
D R U2 D2 F' B D2
D R U2 D2 B D F'
D R U2 D2 B D' F'
D R U2 D2 B D2 F'
D R U2 D2 B F' D
D R U2 D2 B F' D'
D R U2 D2 B F' D2
D R U2 F' L B L'
D R U2 F' L2 B L2
F2 R U2 B L' D F2
D R U2 F' D B D
D R U2 F' D B D'
D R U2 F' D B D2
D R U2 F' D' B D
D R U2 F' D' B D'
D R U2 F' D' B D2
D R U2 F' D2 B D
D R U2 F' D2 B D'
D R U2 F' D2 B D2
D R U2 F' B2 D B'
D R U2 F' B2 D' B'
D R U2 F' B2 D2 B'
D R U2 F2 D F B
D R U2 F2 D B F
D R U2 F2 D' F B
D R U2 F2 D' B F
D R U2 F2 D2 F B
D R U2 F2 D2 B F
D R U2 F2 B D F
D R U2 F2 B D' F
D R U2 F2 B D2 F
D R U2 B L' F' L
D R U2 B L2 F' L2
D R U2 B D F' D
D R U2 B D F' D'
D R U2 B D F' D2
D R U2 B D' F' D
D R U2 B D' F' D'
D R U2 B D' F' D2
D R U2 B D2 F' D
D R U2 B D2 F' D'
D R U2 B D2 F' D2
D R U2 B F2 D F
D R U2 B F2 D' F
D R U2 B F2 D2 F
D R U2 B2 D F' B'
D R U2 B2 D B' F'
D R U2 B2 D' F' B'
D R U2 B2 D' B' F'
D R U2 B2 D2 F' B'
D R U2 B2 D2 B' F'
D R U2 B2 F' D B'
D R U2 B2 F' D' B'
D R U2 B2 F' D2 B'
D R D U2 F' D B
D R D U2 F' D' B
D R D U2 F' D2 B
D R D U2 F' B D
D R D U2 F' B D'
D R D U2 F' B D2
D R D U2 B D F'
D R D U2 B D' F'
D R D U2 B D2 F'
D R D U2 B F' D
D R D U2 B F' D'
D R D U2 B F' D2
D R D F U2 F2 B
D R D F U2 B F2
D R D F2 U2 F B
D R D F2 U2 B F
D R D B' U2 F' B2
D R D B' U2 B2 F'
D R D B2 U2 F' B'
D R D B2 U2 B' F'
D R D' U2 F' D B
D R D' U2 F' D' B
D R D' U2 F' D2 B
D R D' U2 F' B D
D R D' U2 F' B D'
D R D' U2 F' B D2
D R D' U2 B D F'
D R D' U2 B D' F'
D R D' U2 B D2 F'
D R D' U2 B F' D
D R D' U2 B F' D'
D R D' U2 B F' D2
D R D' F U2 F2 B
D R D' F U2 B F2
D R D' F2 U2 F B
D R D' F2 U2 B F
D R D' B' U2 F' B2
D R D' B' U2 B2 F'
D R D' B2 U2 F' B'
D R D' B2 U2 B' F'
D R D2 U2 F' D B
D R D2 U2 F' D' B
D R D2 U2 F' D2 B
D R D2 U2 F' B D
D R D2 U2 F' B D'
D R D2 U2 F' B D2
D R D2 U2 B D F'
D R D2 U2 B D' F'
D R D2 U2 B D2 F'
D R D2 U2 B F' D
D R D2 U2 B F' D'
D R D2 U2 B F' D2
D R D2 F U2 F2 B
D R D2 F U2 B F2
D R D2 F2 U2 F B
D R D2 F2 U2 B F
D R D2 B' U2 F' B2
D R D2 B' U2 B2 F'
D R D2 B2 U2 F' B'
D R D2 B2 U2 B' F'
B' R F U' L' U' B
B2 R F U' L' U' B
B R F U' L' U' B
D R F U2 F2 D B
D R F U2 F2 D' B
D R F U2 F2 D2 B
D R F U2 F2 B D
D R F U2 F2 B D'
D R F U2 F2 B D2
D R F U2 B F2 D
D R F U2 B F2 D'
D R F U2 B F2 D2
D R F D2 B2 U2 B'
D R F B' U2 F2 B2
D R F B' U2 B2 F2
D R F B2 U2 F2 B'
D R F B2 U2 B' F2
D R F2 U2 D F B
D R F2 U2 D B F
D R F2 U2 D' F B
D R F2 U2 D' B F
D R F2 U2 D2 F B
D R F2 U2 D2 B F
D R F2 U2 F D B
D R F2 U2 F D' B
D R F2 U2 F D2 B
D R F2 U2 F B D
D R F2 U2 F B D'
D R F2 U2 F B D2
D R F2 U2 B D F
D R F2 U2 B D' F
D R F2 U2 B D2 F
D R F2 U2 B F D
D R F2 U2 B F D'
D R F2 U2 B F D2
D R F2 D U2 F B
D R F2 D U2 B F
D R F2 D' U2 F B
D R F2 D' U2 B F
D R F2 D2 U2 F B
D R F2 D2 U2 B F
D R F2 B' U2 F B2
D R F2 B' U2 B2 F
D R F2 B2 U2 F B'
D R F2 B2 U2 B' F
D2 R B' U' L U' B2
D R B' U2 F' B2 D
D R B' U2 F' B2 D'
D R B' U2 F' B2 D2
D R B' U2 B2 D F'
D R B' U2 B2 D' F'
D R B' U2 B2 D2 F'
D R B' U2 B2 F' D
D R B' U2 B2 F' D'
D R B' U2 B2 F' D2
D R B' D2 F2 U2 F
D R B' F U2 F2 B2
D R B' F U2 B2 F2
D R B' F2 U2 F B2
D R B' F2 U2 B2 F
D R B2 U2 D F' B'
D R B2 U2 D B' F'
D R B2 U2 D' F' B'
D R B2 U2 D' B' F'
D R B2 U2 D2 F' B'
D R B2 U2 D2 B' F'
D R B2 U2 F' D B'
D R B2 U2 F' D' B'
D R B2 U2 F' D2 B'
D R B2 U2 F' B' D
D R B2 U2 F' B' D'
D R B2 U2 F' B' D2
D R B2 U2 B' D F'
D R B2 U2 B' D' F'
D R B2 U2 B' D2 F'
D R B2 U2 B' F' D
D R B2 U2 B' F' D'
D R B2 U2 B' F' D2
D R B2 D U2 F' B'
D R B2 D U2 B' F'
D R B2 D' U2 F' B'
D R B2 D' U2 B' F'
R U' D' L' U' F B
R U' D' L' U' B F
D R B2 D2 U2 F' B'
D R B2 D2 U2 B' F'
D R B2 F U2 F2 B'
D R B2 F U2 B' F2
D R B2 F2 U2 F B'
D R B2 F2 U2 B' F
R U' F L' F' U' B
F' R' U R2 U B L
F' R' D F' B2 U2 L'
F' R' D F' B2 U2 L'
F' R' D B2 F' U2 L'
F' R' D' F' U2 L' F'
R U2 L D' L' F B
R U2 L D' L' B F
R U2 L D' B L' F
R U2 L B D' L' F
D R' D2 F' B U2 L2
D R' D2 B F' U2 L2
D R' F R2 F2 U2 F
B' R' F' R2 U R' U
D R' F B R2 F2 U2
F' R' F' U R2 U L'
F' R' F' U2 L' D' F2
B2 R' F' R2 U R' U
F' R' F' U2 D' L' F2
F' R' F' D B2 U2 L'
F' R' F' D' U2 L' F2
D R' F' R2 U2 D F'
D R' F' R2 U2 D' F'
D R' F' R2 U2 D2 F'
D R' F' R2 U2 F' D
D R' F' R2 U2 F' D'
D R' F' R2 U2 F' D2
D R' F' R2 D U2 F'
D R' F' R2 D' U2 F'
D R' F' R2 D2 U2 F'
B R' F' R2 U R' U
