L2 D' B2 U2 B2
B' L2 U' L2 U' B
B2 L2 U' L2 U' B2
B L2 U' L2 U' B'
B' L2 U2 D F2 B
B' L2 U2 D B F2
U2 L2 U2 L2 D F2
B' L2 U2 B D F2
B2 L2 U2 B2 D F2
B' L2 D U2 F2 B
B' L2 D U2 B F2
B L2 D F U2 F
F' L2 D' B2 U2 B2
F2 L2 D' B2 U2 B2
B' L2 D' B2 U2 B'
B L2 D' F B2 U2
B L2 D' B2 F U2
F L2 D' B2 U2 B2
B L2 F U' L2 U'
B L2 F U2 D F2
B L2 F D U2 F2
B L2 F D' B2 U2
L2 U' L2 U' D' B2
L2 U' L2 U2 L2 U
L2 U' L2 D' U' B2
L2 U' L2 D2 R2 U'
L2 U2 D F2 D2 B2
D2 R2 D2 L2 D F2
L2 D U2 F2 D2 B2
R2 D F2 B2 U' B2
L2 D B U2 F2 B'
L2 D B U2 B' F2
L2 D B' U2 F2 B
L2 D B' U2 B F2
R2 D B2 F2 U' B2
L2 D B2 U2 F2 B2
L2 D B2 U2 B2 F2
L2 D' F B2 U2 B2
L2 D' F' B2 U2 B2
L2 D' F2 B2 U2 B2
L2 D' B2 U2 B2 D
L2 D' B2 U2 B2 D'
L2 D' B2 U2 B2 D2
L2 D' B2 D2 F2 U2
L2 D' B2 F U2 B2
L2 D' B2 F' U2 B2
L2 D' B2 F2 U2 B2
R2 D2 L2 R2 D F2
R2 D2 R2 L2 D F2
L2 F D' B2 U2 B2
L2 F' D' B2 U2 B2
L2 F2 D' B2 U2 B2
L2 B U2 D F2 B'
L2 B U2 D B' F2
L2 B U2 B' D F2
L2 B D U2 F2 B'
L2 B D U2 B' F2
L2 B D' B2 U2 B
L2 B' U' L2 U' B
L2 B' U2 D F2 B
L2 B' U2 D B F2
L2 B' U2 B D F2
L2 B' D U2 F2 B
L2 B' D U2 B F2
L2 B' D' B2 U2 B'
L2 B2 U' L2 U' B2
L2 B2 U2 B2 D F2
R B2 U' L B2 R'
L2 R D' R' B2 U2 B2
L2 R D' B2 U2 L B2
L2 R' D L F2 L' R
L2 R' D L F2 R L'
L2 R' D' R B2 U2 B2
L2 R' D' B2 R U2 B2
D L' U' L F2 R U'
R' L' F2 L' R D F2
R' L' F2 L' D R F2
L' R' F2 L' R D F2
L' R' F2 L' D R F2
R' L' F2 R L' D F2
L' R' F2 R L' D F2
R' L2 D L F2 L' R
R' L2 D L F2 R L'
R' L2 D' R B2 U2 B2
R' L2 D' B2 R U2 B2
R L2 D' R' B2 U2 B2
U2 L2 R U R' U L2
R L2 D' B2 U2 L B2
D L2 R D R2 F2 L'
D2 L2 R' D F2 L' R'
D2 L2 R' D F2 R' L'
U2 L2 R' U R U L2
D L2 R' D F2 L' R2
D L2 R' D F2 R2 L'
D2 L2 R2 D F2 D L2
U2 L2 R2 U R2 U L2
D2 L2 R2 D2 L2 D' F2
U2 L2 R2 U2 L2 D' F2
B2 L2 U D L2 U F2
U2 L2 U D F2 U F2
U2 L2 U F U L2 F'
U2 L2 U F U F' L2
U2 L2 U F' U F L2
U2 L2 U F2 U L2 F2
U2 L2 U F2 U F2 L2
B' L2 U' L2 U' D B
B' L2 U' L2 U' D' B
B' L2 U' L2 U' D2 B
B' L2 U' L2 U' B D
B' L2 U' L2 U' B D'
B' L2 U' L2 U' B D2
B' L2 U' L2 D U' B
B' L2 U' L2 D' U' B
F' L2 U' L2 U' D' B2
F' L2 U' L2 U2 L2 U
B' L2 U' L2 D2 U' B
F' L2 U' L2 D' U' B2
F' L2 U' L2 D2 R2 U'
F' L2 U' L2 D2 R2 U'
F2 L2 U' L2 U' D' B2
F2 L2 U' L2 U2 L2 U
F2 L2 U' L2 D' U' B2
F2 L2 U' L2 D2 R2 U'
F2 L2 U' L2 D2 R2 U'
B2 L2 U' L2 R U' B2
B2 L2 U' L2 R' U' B2
B2 L2 U' L2 R2 U' B2
B2 L2 U' L2 U' B2 D
B2 L2 U' L2 U' B2 D'
B2 L2 U' L2 U' B2 D2
B2 L2 U' L2 D' R2 U'
B2 L2 U' R L2 U' B2
B2 L2 U' R' L2 U' B2
B L2 U' L2 R U' B'
B L2 U' L2 R' U' B'
B L2 U' L2 R2 U' B'
B L2 U' L2 U' D B'
B L2 U' L2 U' D' B'
B L2 U' L2 U' D2 B'
B L2 U' L2 U' B' D
B L2 U' L2 U' B' D'
B L2 U' L2 U' B' D2
B L2 U' L2 D U' B'
B L2 U' L2 D' U' B'
B L2 U' L2 D2 U' B'
B2 L2 U' R2 L2 U' B2
B L2 U' R L2 U' B'
F L2 U' L2 U' D' B2
F L2 U' L2 U2 L2 U
F L2 U' L2 D' U' B2
F L2 U' L2 D2 R2 U'
B L2 U' R' L2 U' B'
B L2 U' R2 L2 U' B'
U2 L2 U' B U' L2 F
U2 L2 U2 L2 U L2 U'
U2 L2 U2 L2 D F2 D
U2 L2 U2 L2 D F2 D'
U2 L2 U2 L2 D F2 D2
U2 L2 U2 L2 F D F2
U2 L2 U2 L2 F' D F2
U2 L2 U2 L2 F2 D F2
B' L2 U2 D F2 D B
B' L2 U2 D F2 D' B
B' L2 U2 D F2 D2 B
B' L2 U2 D F2 B D
B' L2 U2 D F2 B D'
B' L2 U2 D F2 B D2
B' L2 U2 D B F2 D
B' L2 U2 D B F2 D'
B' L2 U2 D B F2 D2
F' L2 U2 D F2 D2 B2
B' L2 U2 D2 B D' F2
F2 L2 U2 D F2 D2 B2
B' L2 U2 F D F2 B
B' L2 U2 F D B F2
B' L2 U2 F B D F2
B2 L2 U2 D F2 D' B2
B' L2 U2 F' D F2 B
B' L2 U2 F' D B F2
B' L2 U2 F' B D F2
B' L2 U2 F2 D F2 B
B' L2 U2 F2 D B F2
B' L2 U2 F2 B D F2
B' L2 U2 B U L2 U'
U2 L2 U2 F L2 D F2
B' L2 U2 B D F2 D
B' L2 U2 B D F2 D'
B' L2 U2 B D F2 D2
B' L2 U2 B F D F2
B' L2 U2 B F' D F2
B' L2 U2 B F2 D F2
B2 L2 U2 F B2 D F2
U2 L2 U2 F' L2 D F2
B2 L2 U2 F' B2 D F2
F L2 U2 D F2 D2 B2
U2 L2 U2 F2 L2 D F2
B' L2 U2 B2 D F2 B'
B' L2 U2 B2 D B' F2
B2 L2 U2 F2 B2 D F2
B2 L2 U2 B D F2 B
B2 L2 U2 B D B F2
B2 L2 U2 B' D F2 B'
B2 L2 U2 B' D B' F2
B2 L2 U2 B2 U L2 U'
B2 L2 U2 B2 D F2 D
B2 L2 U2 B2 D F2 D'
B2 L2 U2 B2 D F2 D2
B2 L2 U2 B2 F D F2
B2 L2 U2 B2 F' D F2
B2 L2 U2 B2 F2 D F2
B' L2 D U2 F2 D B
B' L2 D U2 F2 D' B
B' L2 D U2 F2 D2 B
B' L2 D U2 F2 B D
B' L2 D U2 F2 B D'
B' L2 D U2 F2 B D2
B' L2 D U2 B F2 D
B' L2 D U2 B F2 D'
B' L2 D U2 B F2 D2
F' L2 D U2 F2 D2 B2
B' L2 D F U2 F B
B' L2 D F U2 B F
B2 L2 D U L2 U F2
D L2 D R' F2 L' R'
D L2 D R' F2 R' L'
U2 L2 D U F2 U F2
B' L2 D F' U2 F' B
B' L2 D F' U2 B F'
D L2 D R2 F2 D2 L2
F2 L2 D U2 F2 D2 B2
B2 L2 D U2 F2 D' B2
F' L2 D B U2 F2 B'
F' L2 D B U2 B' F2
B' L2 D B' U2 F2 B2
B' L2 D B' U2 B2 F2
F' L2 D B' U2 F2 B
F' L2 D B' U2 B F2
B' L2 D B2 U2 F2 B'
B' L2 D B2 U2 B' F2
F' L2 D B2 U2 F2 B2
F' L2 D B2 U2 B2 F2
B L2 D F U2 D F
B L2 D F U2 D' F
B L2 D F U2 D2 F
B L2 D F U2 F D
B L2 D F U2 F D'
B L2 D F U2 F D2
B L2 D F D U2 F
F2 L2 D B U2 F2 B'
B L2 D F D' U2 F
F2 L2 D B U2 B' F2
B L2 D F D2 U2 F
B L2 D F B U2 F
B L2 D F B' U2 F
B L2 D F B2 U2 F
F L2 D U2 F2 D2 B2
F2 L2 D B' U2 F2 B
F2 L2 D B' U2 B F2
D L2 D F2 R2 D2 L2
F2 L2 D B2 U2 F2 B2
F2 L2 D B2 U2 B2 F2
B L2 D B F U2 F
B L2 D B' F U2 F
F L2 D B U2 F2 B'
F L2 D B U2 B' F2
