F2 L' U R F2
U' F2 L' U R
F2 L' R' U R2 F2
F2 L' R' U F2 R2
F2 L' R2 U R' F2
F2 L' R2 U F2 R'
F2 L' U R F2 D
F2 L' U R F2 D'
F2 L' U R F2 D2
F2 L' U R' F2 R2
F2 L' U R2 F2 R'
F2 L' U R2 F2 R'
U2 L' U F2 L' U
F2 L' D R2 U R'
F2 L' B U R F2
F2 L' B U R F2
F2 L' B' U R F2
F2 L' B2 U R F2
D' L2 R' D B2 R'
D' L2 B2 R' D B2
U R U2 F2 U R
F2 R' L' U R2 F2
F2 R' L' U F2 R2
D' R' L2 D B2 R'
D2 R' D L2 B2 R'
F2 R2 L' U R' F2
F2 R2 L' U F2 R'
R' D' L2 D2 B2 R'
B2 U' F2 L' U R
B' U' F2 L' U R
B U' F2 L' U R
F2 D L' R2 U R'
F2 D R2 L' U R'
U' F2 L' U R D
U' F2 L' U R D'
U' F2 L' U R D2
U' F2 L' U D R
U' F2 L' U D' R
U' F2 L' U D2 R
U' F2 L' D U R
U' F2 L' D' U R
U' F2 L' D2 U R
U' F2 L' B U R
U' F2 L' B' U R
U' F2 L' B2 U R
L F2 L' U F2 R
U' F2 D L' U R
U' F2 D' L' U R
U' F2 D2 L' U R
U' F2 B L' U R
U' F2 B' L' U R
U' F2 B2 L' U R
F2 B L' U R F2
U' B F2 L' U R
F2 B' L' U R F2
U' B' F2 L' U R
B' F2 L' U R F2
B2 F2 L' U R F2
F2 B2 L' U R F2
B F2 L' U R F2
U' B2 F2 L' U R
F2 L R F2 D' L2 B2
F2 L R F2 D' B2 L2
F2 L U R F2 D' B2
L R D2 R2 D L2 B2
L R D2 R2 D B2 L2
R L D2 R2 D L2 B2
R L D2 R2 D B2 L2
F' L F' L' U R F
B' L F2 L' U F2 R
U' L F2 L' U' L' U2
B2 L F2 L' U F2 R
B L F2 L' U F2 R
U' L F2 D' L' B2 U
F2 L F2 D' L2 B2 R'
U' L F2 D' B2 L' U
U' L F2 D2 L' U R2
F2 L B L2 U R F2
F2 L B' L2 U R F2
F2 L B2 L2 U R F2
F2 L' R U F2 D R2
F2 L' R D R2 U R2
L2 R' D R' B2 L R'
L2 R' D R' B2 R' L
F2 L' R' U R' F2 R'
F2 L' R' U R2 F2 D
F2 L' R' U R2 F2 D'
F2 L' R' U R2 F2 D2
F2 L' R' U F R2 F
F2 L' R' U F2 R2 D
F2 L' R' U F2 R2 D'
F2 L' R' U F2 R2 D2
D' L' R' D L' B2 R'
F2 L' R' D R2 B2 U
F2 L' R' D B2 R2 U
U2 L' R' D R2 U2 B2
U2 L' R' D' F2 U2 L2
R' L' D' L2 D2 R2 B2
R' L' D' L2 D2 B2 R2
L' R' D' L2 D2 R2 B2
L' R' D' L2 D2 B2 R2
F2 L' R' B U R2 F2
F2 L' R' B U F2 R2
L2 R' D B2 D2 L2 R'
L2 R' D B2 D2 R' L2
F2 L' R' B' U R2 F2
F2 L' R' B' U F2 R2
F2 L' R' B2 U R2 F2
F2 L' R' B2 U F2 R2
F2 L' R2 U R F2 R2
