D2 L' R2 F2 U' F'
U2 L2 R B2 U F'
U2 L2 B2 R U F'
U2 R L2 B2 U F'
U' R D' F' R2 B2
U' R D' F' B2 R2
U' R D' B2 F' R2
U' R F' D' R2 B2
U' R F' D' B2 R2
R' U' D' R2 F' B2
R' U' D' R2 B2 F'
U2 R B2 L2 U F'
R U' D' F' R2 B2
R U' D' F' B2 R2
R U' D' B2 F' R2
R U' F' D' R2 B2
R U' F' D' B2 R2
U' R' D' R2 F' B2
U' R' D' R2 B2 F'
R U2 L2 B2 U F'
U2 R' B2 L2 U F
D2 R2 L' F2 U' F'
R' U2 B2 L2 U F
R U2 B2 L2 U F'
D2 R2 F2 L' U' F
R' D' U' R2 F' B2
R' D' U' R2 B2 F'
R D' U' F' R2 B2
R D' U' F' B2 R2
R D' U' B2 F' R2
R' D2 R2 F2 U' F
R' D2 F2 R2 U' F'
R D2 F2 R2 U' F
D' F L' U' R2 B2
D' F L' U' B2 R2
D2 F2 L' R2 U' F
D2 F2 R2 L' U' F
U2 B2 L2 R U F'
U2 B2 R L2 U F'
L' R U2 L' B2 U F'
R2 L U2 L B2 U F
L R U2 L B2 U F'
D2 L R2 F2 L2 U' F
D2 L R2 F2 U B' U2
R L U2 L B2 U F'
L' R U2 B2 L' U F'
D2 L U' D B2 R2 F'
L' R D2 F2 R U' F
D2 L D U' B2 R2 F'
D' L F L' U' R2 B2
D' L F L' U' B2 R2
D2 L F2 L2 R2 U' F
D2 L F2 R2 L2 U' F
D2 L F2 R2 U B' U2
L2 R B2 U D L2 F'
L2 R B2 U D F' L2
L2 R B2 U F' D L2
L2 R B2 U2 B2 U' F'
L2 R B2 D U L2 F'
L2 R B2 D U F' L2
L2 R B2 D2 F2 U F
R L' U2 L' B2 U F'
R L' U2 B2 L' U F'
U2 L' R B2 L' U F'
D2 L' R2 U' D R2 F
D2 L' R2 U' D F R2
D2 L' R2 D U' R2 F
D2 L' R2 D U' F R2
D2 L' R2 F2 L U' F'
D2 L' R2 F2 L' U' F'
D2 L' R2 F2 L2 U' F'
D2 L' R2 F2 U' D F'
D2 L' R2 F2 U' D' F'
D2 L' R2 F2 U' D2 F'
D2 L' R2 F2 U' F' D
D2 L' R2 F2 U' F' D'
D2 L' R2 F2 U' F' D2
D2 L' R2 F2 D U' F'
D2 L' R2 F2 D' U' F'
D2 L' R2 F2 D2 U' F'
R L' D2 F2 R U' F
D2 L' U' D R2 F B2
D2 L' U' D R2 B2 F
D2 L' U' D F R2 B2
D2 L' U' D F B2 R2
D2 L' U' D B2 R2 F
D2 L' U' D B2 F R2
D2 L' D U' R2 F B2
D2 L' D U' R2 B2 F
D2 L' D U' F R2 B2
D2 L' D U' F B2 R2
D2 L' D U' B2 R2 F
D2 L' D U' B2 F R2
B2 L' D2 L' F2 U F'
D' L' F L' U' R2 B2
D' L' F L' U' B2 R2
D2 L' F R2 F U' F'
L2 R' B2 U D L2 F
L2 R' B2 D U L2 F
D2 L' F2 R2 U B U2
D2 L' F2 U' D F' B2
D2 L' F2 U' D B2 F'
D2 L' F2 U' F' D B2
D2 L' F2 D U' F' B2
D2 L' F2 D U' B2 F'
L R2 U2 L B2 U F
U2 L' B2 L' R U F'
U2 L' B2 R L' U F'
U2 L' B2 D2 L' U F
B2 L2 R U D L2 F'
B2 L2 R U D F' L2
B2 L2 R U F' D L2
U2 L2 R U D' F' R2
U2 L2 R U F' D' R2
B2 L2 R U2 B2 U' F'
B2 L2 R D U L2 F'
B2 L2 R D U F' L2
U2 L2 R D' U F' R2
B2 L2 R D2 F2 U F
U' L2 R B2 U L2 F'
U' L2 R B2 U F' L2
U2 L2 R B2 U D F'
U2 L2 R B2 U D' F'
U2 L2 R B2 U D2 F'
U2 L2 R B2 U F' D
U2 L2 R B2 U F' D'
U2 L2 R B2 U F' D2
U2 L2 R B2 D U F'
U2 L2 R B2 D' U F'
U2 L2 R B2 D2 U F'
U2 L2 R' U D' R2 F'
U L2 R B2 U L F'
U L2 R B2 U F' L
U2 L2 R' D' U R2 F'
U' L2 R' B2 U L2 F
U2 L2 R' B2 U' B' U2
D2 L2 R2 F2 L U' F
U2 L2 R2 B2 R' U F'
U2 L2 U R D' F' R2
U2 L2 U R F' D' R2
U2 L2 U R' D' R2 F'
R' L2 B2 U D L2 F
R' L2 B2 D U L2 F
B L2 D F B R' U
B L2 D B R' F U
B L2 D B F R' U
R L2 B2 U D L2 F'
R L2 B2 U D F' L2
R L2 B2 U F' D L2
R L2 B2 U2 B2 U' F'
R L2 B2 D U L2 F'
R L2 B2 D U F' L2
R L2 B2 D2 F2 U F
D' L2 F L' U' R2 B2
D' L2 F L' U' B2 R2
B L2 F D B R' U
B L2 F B R U F'
D2 L2 F2 L R2 U' F
D2 L2 F2 R2 L U' F
B L2 B R F U F2
U2 L2 B D B R' U
B L2 B F R U F'
U2 L2 B' R B' U F'
R' U D L2 F2 B U2
R' U D L2 B F2 U2
R' U D F2 L2 B U2
R' U D F2 B L2 U2
R' U D B L2 F2 U2
R' U D B F2 L2 U2
U' L2 B2 R U L2 F'
U' L2 B2 R U F' L2
R U D L2 F2 U2 F
U2 L2 B2 R U D F'
U2 L2 B2 R U D' F'
U2 L2 B2 R U D2 F'
U2 L2 B2 R U F' D
U2 L2 B2 R U F' D'
U2 L2 B2 R U F' D2
U2 L2 B2 R D U F'
U2 L2 B2 R D' U F'
U2 L2 B2 R D2 U F'
U2 L2 B2 R' U' B U2
U2 L2 B2 U R F' R'
R U D F2 L2 B' U2
R' U D' B U2 B R2
U2 R L' B2 L' U F'
B2 R L2 U D L2 F'
B2 R L2 U D F' L2
B2 R L2 U F' D L2
U2 R L2 U D' F' R2
U2 R L2 U F' D' R2
B2 R L2 U2 B2 U' F'
B2 R L2 D U L2 F'
B2 R L2 D U F' L2
U2 R L2 D' U F' R2
B2 R L2 D2 F2 U F
U' R L2 B2 U L2 F'
U' R L2 B2 U F' L2
U2 R L2 B2 U D F'
U2 R L2 B2 U D' F'
U2 R L2 B2 U D2 F'
U2 R L2 B2 U F' D
U2 R L2 B2 U F' D'
U2 R L2 B2 U F' D2
U2 R L2 B2 D U F'
U2 R L2 B2 D' U F'
U2 R L2 B2 D2 U F'
U R L2 B2 U L F'
U R L2 B2 U F' L
U2 R U D' F' R2 B2
U2 R U D' F' B2 R2
U2 R U D' B2 F' R2
U2 R U F' D' R2 B2
U2 R U F' D' B2 R2
U' R U' L2 B2 U F'
F' R U' D' F' R2 B2
F' R U' D' F' B2 R2
F' R U' D' B2 F' R2
F' R U' F' D' R2 B2
F' R U' F' D' B2 R2
F2 R U' D' F' R2 B2
F2 R U' D' F' B2 R2
F2 R U' D' B2 F' R2
R' U B U L2 B U
R' U B U B L2 U
D' R U' B2 D R F'
F2 R U' F' D' R2 B2
F2 R U' F' D' B2 R2
U' R U' B2 L2 U F'
F R U' D' F' R2 B2
F R U' D' F' B2 R2
F R U' D' B2 F' R2
F' R U2 L2 B2 U F'
F R U' F' D' R2 B2
F R U' F' D' B2 R2
F2 R U2 L2 B2 U F'
F R U2 L2 B2 U F'
F' R U2 B2 L2 U F'
F2 R U2 B2 L2 U F'
F R U2 B2 L2 U F'
U' R D F' D2 R2 B
F' R D' U' F' R2 B2
F' R D' U' F' B2 R2
F' R D' U' B2 F' R2
U' R D' F R2 F2 B2
U' R D' F R2 B2 F2
U' R D' F B2 R2 F2
U' R D' F' R B2 R
U' R D' F' R2 B2 D
U' R D' F' R2 B2 D'
U' R D' F' R2 B2 D2
U2 R D' U F' R2 B2
U2 R D' U F' B2 R2
U2 R D' U B2 F' R2
U' R D' F' B' R2 B'
U' R D' F' B2 R2 D
U' R D' F' B2 R2 D'
U' R D' F' B2 R2 D2
U' R D' F2 R2 F B2
U' R D' F2 R2 B2 F
F2 R D' U' F' R2 B2
F2 R D' U' F' B2 R2
F2 R D' U' B2 F' R2
U' R D' F2 B2 R2 F
U' R D' B' F' R2 B'
U' R D' B2 F R2 F2
U' R D' B2 F' R2 D
U' R D' B2 F' R2 D'
U' R D' B2 F' R2 D2
U' R D' B2 F2 R2 F
F R D' U' F' R2 B2
F R D' U' F' B2 R2
F R D' U' B2 F' R2
U R D' F' B2 L R2
U R D' F' B2 R2 L
U R D' B2 L F' R2
U R D' B2 F' L R2
U R D' B2 F' R2 L
F' R D2 F2 R2 U' F
F2 R D2 F2 R2 U' F
F R D2 F2 R2 U' F
U' R F' R D' R2 B2
U' R F' R D' B2 R2
R' U' L2 B2 U L2 F
U' R F' R' D' R2 B2
U' R F' R' D' B2 R2
U' R F' R2 D' R2 B2
U' R F' R2 D' B2 R2
U' R F' U' L2 B2 U
U' R F' U' B2 L2 U
U' R F' D' R B2 R
U' R F' D' R2 B2 D
U' R F' D' R2 B2 D'
U' R F' D' R2 B2 D2
