L' D' R2 B R' F'
B' L R2 U B L2 F
B' L U' L2 D2 R2 B
L' R D' R F' B R'
L' R D' R B F' R'
B' L U' F' U2 F L2
D' L' R D F' R B
R L' D' R F' B R'
D' L' R2 D' B R' F'
R L' D' R B F' R'
D L' R2 D' F B R'
D L' R2 D' B R' F
D L' R2 D' B F R'
D L' R2 F D' B R'
R2 L' D' B R F' R2
D2 L' D R F' R B
U' L' D' R2 B R' F'
U2 L' D' R2 B R' F'
D L' D' R2 F B R'
D L' D' R2 B R' F
D L' D' R2 B F R'
U L' D' R2 B R' F'
L' R2 D' B R F' R2
D' R L' D F' R B
B' R U2 L U' L2 B'
B' R2 L U B L2 F
D' R2 L' D' B R' F'
D R2 L' D' F B R'
D R2 L' D' B R' F
D R2 L' D' B F R'
D R2 L' F D' B R'
B' R2 U L' D F2 B
B' R2 U L' D B F2
B' R2 U L' B D F2
B' R2 U B D L' F
B' R2 U2 L U' L2 B
B' R2 U2 L U' B L2
R2 D L' D' F B R'
R2 D L' D' B R' F
R2 D L' D' B F R'
R2 D L' F D' B R'
D2 R2 B D' L' R2 F
D2 R2 B D' L' F R2
D2 R2 B D' R2 L' F
D R2 B L' D' R2 F
D R2 B L' D' F R2
D R2 B L' F D' R2
D R2 B' U L' F B2
D R2 B' U L' B2 F
D R2 B' U B2 L' F
B R2 B2 R U B' L'
R' D B' L U L2 F
R2 D B L' D' R2 F
R2 D B L' D' F R2
R2 D B L' F D' R2
R2 D B' U L' F B2
R2 D B' U L' B2 F
R2 D B' U B2 L' F
L' D' R D2 F' R B
L' D' R F' R B R'
L' D' R2 F B R' F'
L' D' R2 F' B R' F'
L' D' R2 F2 B R' F'
L' D' R2 B R' D F'
L' D' R2 B R' D' F'
L' D' R2 B R' D2 F'
L' D' R2 B R' F' D
L' D' R2 B R' F' D'
L' D' R2 B R' F' D2
L' D' R2 B D R' F'
L' D' R2 B D' R' F'
L' D' R2 B D2 R' F'
L' D' R2 B F R' F'
L' D' R2 B F' R' F'
L' D' R2 B F2 R' F'
B' U2 L R2 U' L2 B
B' U2 L R2 U' B L2
B' U2 L U F' U2 L2
B' U2 R2 L U' L2 B
B' U2 R2 L U' B L2
R2 D2 B D' L' R2 F
R2 D2 B D' L' F R2
R2 D2 B D' R2 L' F
B D' R' U L' R' B
B D' R' U R' L' B
B D' R' U R' B L'
R2 B L' R D' R2 F2
R2 B L' R D' F2 R2
R2 B L' U' R' B2 U
D B L' D' R2 F B
D B L' D' R2 B F
R2 B R L' D' R2 F2
R2 B R L' D' F2 R2
R2 B R D' L' R2 F2
R2 B R D' L' F2 R2
R2 B R D' R2 L' F2
R' B R' B2 U B' L'
R2 B R' B2 U L' B2
R2 B R' B2 U B2 L'
R2 B U' R' B2 U L'
D2 B D' L' R2 F B
D2 B D' L' R2 B F
D2 B D' R2 L' F B
D2 B D' R2 L' B F
D2 B D' R2 B L' F
D B' R2 U L' F B
D B' R2 U L' B F
D B' R2 U B L' F
R2 B' U L' B2 D F2
D B' U L' F D2 B2
R2 B' U2 L U' L2 B2
R2 B' U2 L U' B2 L2
R B' U2 L U' L2 B'
