B L F2 R U L'
U R U2 D B R'
U R D U2 B R'
F2 R' U' L' B' R'
B' R' D2 F2 U' L2
F' R2 F' U' L' B'
F2 U' L' B' D' R2
F2 U2 B U L' B'
R2 F' U R' F' U2
B' D2 F2 R' U' L'
U2 B U' R U2 B
B L R U2 L' U' L
U L R U2 D B R'
U L R D U2 B R'
B L R' D' F2 R U
B L U L D F2 L'
B L U' R U' L' U'
B L U2 L' U R U2
B L D F2 R U L'
B L D' F2 R U L'
B L D2 F2 R U L'
B L F U L F L'
B L F2 R U L' D
B L F2 R U L' D'
B L F2 R U L' D2
B L F2 R U D L'
B L F2 R U D' L'
B L F2 R U D2 L'
B L F2 R D U L'
B L F2 R D' U L'
B L F2 R D2 U L'
B L F2 D R U L'
B L F2 D' R U L'
B L F2 D2 R U L'
U2 L B U' R U2 B
U L' R U2 D B R'
U L' R D U2 B R'
U2 L' B U' R U2 B
U L2 R U2 D B R'
U L2 R D U2 B R'
B L2 D L' U F2 L'
R' U R' F' L' R' U2
R' U R' F' R' L' U2
R2 U R' D' F' U2 R
U2 L2 B U' R U2 B
R' U R2 U2 B' R' B
B R L U2 L' U' L
U R L U2 D B R'
U R L D U2 B R'
R' U F R2 U2 R' B
U R L' U2 D B R'
U R L' D U2 B R'
U R L2 U2 D B R'
U R L2 D U2 B R'
B2 R U2 B' L U L'
U R U2 D B R' D
U R U2 D B R' D'
U R U2 D B R' D2
U R U2 D B D R'
U R U2 D B D' R'
U R U2 D B D2 R'
U R D L U2 B R'
U R D L' U2 B R'
U R D L2 U2 B R'
U R D U2 B R' D
U R D U2 B R' D'
U R D U2 B R' D2
U R D U2 B D R'
U R D U2 B D' R'
U R D U2 B D2 R'
U R D F U2 B R'
U R D F' U2 B R'
U R D F2 U2 B R'
R' U' L D2 L2 B' R'
U R D' F L' U2 B
U R D' F' U2 B R
R' U' L' D2 B' L2 R'
R' U' L' D2 B' R' L2
R' U' L' B' D2 L2 R'
R' U' L' B' D2 R' L2
U R F U2 D B R'
U R F D U2 B R'
U R F' U2 D B R'
U R F' D U2 B R'
U R F2 U2 D B R'
U R F2 D U2 B R'
R' U' D2 L' B' L' R'
R' U' D2 L' B' R' L'
B R' L D' F2 R U
B' R' U R2 U B2 U
B' R' U R2 U2 D' R2
B' R' U R2 D L2 U2
B' R' U R2 D' U2 R2
F2 R' U' L' R B' R'
F2 R' U' L' R' B' R'
F2 R' U' L' R2 B' R'
F2 R' U' L' D B' R'
F2 R' U' L' D' B' R'
F2 R' U' L' D2 B' R'
F2 R' U' L' B' R' D
F2 R' U' L' B' R' D'
F2 R' U' L' B' R' D2
F2 R' U' L' B' D R'
F2 R' U' L' B' D' R'
F2 R' U' L' B' D2 R'
B' R' U' D' R2 D' L2
F2 R' U' R L' B' R'
B' R' U' D2 L2 D R2
F2 R' U' R' L' B' R'
F2 R' U' R2 L' B' R'
F2 R' U' D L' B' R'
F2 R' U' D' L' B' R'
F2 R' U' D2 L' B' R'
F2 R' U' B' L' R' B'
F2 R' U' B' R' L' B'
B' R' U2 D' F2 U R2
B' R' U2 B2 U D2 L2
B' R' U2 B2 U' R2 U2
B' R' U2 B2 D' F2 U
B' R' U2 B2 D2 U L2
F2 R' D U' L' B' R'
B' R' D B2 U L2 U2
B' R' D B2 U' D2 R2
B' R' D B2 D F2 U'
B' R' D B2 D2 U' R2
B' R' D' U' R2 D' L2
B' R' D' U2 F2 U R2
B R' D' L F2 R U
F2 R' D' U' L' B' R'
B' R' D2 U' L2 D R2
B' R' D2 F2 U' L2 D
B' R' D2 F2 U' L2 D'
B' R' D2 F2 U' L2 D2
B' R' D2 F2 D' B2 U'
B' R' D2 F2 B U' L2
B' R' D2 F2 B' U' L2
B' R' D2 F2 B2 U' L2
F2 R' D2 U' L' B' R'
B' R' D2 B F2 U' L2
B' R' D2 B' F2 U' L2
B' R' D2 B2 F2 U' L2
B' R' F D2 F2 U' L2
F R' F U' L' B' R'
F' R' F' U' L' B' R'
B' R' F' D2 F2 U' L2
B' R' F2 D2 F2 U' L2
F' R' B' R' F' U' L'
B' R' B2 U R2 U2 R2
F' R2 D F' U' L' B'
F' R2 D' F' U' L' B'
F' R2 D2 F' U' L' B'
F' R2 F' R U' L' B'
F' R2 F' R' U' L' B'
D' R2 F' U R' F' U2
D2 R2 F' U R' F' U2
F' R2 F' R2 U' L' B'
F' R2 F' U' L' D B'
F' R2 F' U' L' D' B'
F' R2 F' U' L' D2 B'
F' R2 F' U' L' B' D
F' R2 F' U' L' B' D'
F' R2 F' U' L' B' D2
F' R2 F' U' D L' B'
F' R2 F' U' D' L' B'
F' R2 F' U' D2 L' B'
F' R2 F' U' B L' B'
F' R2 F' U' B' L' B'
F' R2 F' U' B2 L' B'
F' R2 F' D U' L' B'
F' R2 F' D' U' L' B'
F' R2 F' D2 U' L' B'
F' R2 F' B' R' U' L'
D R2 F' U R' F' U2
F R2 F' U R U2 B
F' R2 B' F' R' U' L'
R2 D F' U R' F' U2
D' U R U2 D B R'
D2 U R U2 D B R'
D' U R D U2 B R'
D2 U R D U2 B R'
B' U R D L2 U2 B2
B2 U R U B' L U
B' U R D' F2 U2 R2
B U R U L U R'
D U R U2 D B R'
D U R D U2 B R'
L2 D B L U F2 L'
U D R U2 D B R'
U D R D U2 B R'
R' D B' R' F' B' U'
R' D B' R' B' F' U'
U2 D B U' R U2 B
F2 U' L' U' B U B2
F2 U' L' D B' D' R2
F2 U' L' D' B' D' R2
F2 U' L' D2 B' D' R2
U D' R U2 D B R'
F2 U' L' B' R D' R2
F2 U' L' B' R' D' R2
F2 U' L' B' R2 D' R2
U D' R D U2 B R'
F2 U' L' B' U' B2 U
F2 U' L' B' D' R2 D
F2 U' L' B' D' R2 D'
F2 U' L' B' D' R2 D2
R2 D' F' U R' F' U2
F2 U' D L' B' D' R2
F2 U' D' L' B' D' R2
U2 D' B U' R U2 B
F2 U' D2 L' B' D' R2
F2 U' B' L' D' R2 B'
F2 U' B' L' D' B' R2
F2 U' B' D' L' R2 B'
F2 U' B' D' L' B' R2
F2 U' B' D' R2 L' B'
R' D2 U' L' B' L' R'
R' D2 U' L' B' R' L'
U D2 R U2 D B R'
U D2 R D U2 B R'
B U2 L U' R U2 R'
R2 D2 F' U R' F' U2
D' U2 B U' R U2 B
D2 U2 B U' R U2 B
U2 D2 B U' R U2 B
R' D2 B' R' F' U' L2
D U2 B U' R U2 B
F2 U2 D B U L' B'
F2 U2 D' B U L' B'
F2 U2 D2 B U L' B'
F' U2 F' L' B U L
F' U2 F' B L' U L2
B' U2 F2 B2 L U L2
B2 U2 F2 B' L U L2
F' U2 B L2 U L' B'
F' U2 B U L' B' L2
F2 U2 B U L' D B'
F2 U2 B U L' D' B'
F2 U2 B U L' D2 B'
F2 U2 B U L' B' D
F2 U2 B U L' B' D'
F2 U2 B U L' B' D2
F2 U2 B U D L' B'
F2 U2 B U D' L' B'
F2 U2 B U D2 L' B'
F2 U2 B U B L' B'
F2 U2 B U B' L' B'
F2 U2 B U B2 L' B'
F' U2 B F' L' U L2
F2 U2 B D U L' B'
F2 U2 B D' U L' B'
F2 U2 B D2 U L' B'
B2 U2 B' L U' R U2
B2 U2 B' L F2 U L'
B' U2 B2 L U' R U2
B' U2 B2 L F2 U L'
B2 U2 B' F2 L U L2
R2 F R2 F2 U' L' B'
B' U2 B2 F2 L U L2
B D L F2 R U L'
B' D R' U L2 R2 U2
B' D R' U R2 L2 U2
B' D R' U' D2 L2 R2
B' D R' U' D2 R2 L2
B' D R' D F2 B2 U'
B' D R' D B2 F2 U'
B' D R' D2 U' L2 R2
B' D R' D2 U' R2 L2
F2 D R' U' L' B' R'
F' D R2 F' U' L' B'
F2 D U' L' B' D' R2
F2 D U2 B U L' B'
U2 F' L' F' B U L'
U2 F' L' B F' U L'
D2 F' R2 F' U' L' B'
D' F' R2 F' U' L' B'
R2 F' R2 U R U2 B
D F' R2 F' U' L' B'
R2 F' U R' D F' U2
R2 F' U R' D' F' U2
R2 F' U R' D2 F' U2
R2 F' U R' F' U2 D
R2 F' U R' F' U2 D'
R2 F' U R' F' U2 D2
R2 F' U R' F' D U2
R2 F' U R' F' D' U2
R2 F' U R' F' D2 U2
R2 F' U D R' F' U2
R2 F' U D' R' F' U2
R2 F' U D2 R' F' U2
R2 F' U F R' F' U2
R2 F' U F' R' F' U2
R2 F' U F2 R' F' U2
R2 F' U' L' B2 L B
R2 F' U' L2 B2 L B'
R2 F' U' B' L' B' L
R2 F' U' B2 L' B' L2
B D' L F2 R U L'
R2 F' D U R' F' U2
R2 F' D' U R' F' U2
B' D' R' U R2 U2 R
B' D' R' U' D2 L2 R'
B' D' R' U' D2 R' L2
B' D' R' D2 U' L2 R'
B' D' R' D2 U' R' L2
F2 D' R' U' L' B' R'
R2 F' D2 U R' F' U2
U2 F' B L' F' U L'
F' D' R2 F' U' L' B'
R2 F' B' R' B' U' L
R2 F' B' D' R' B U'
F2 D' U' L' B' D' R2
R2 F' B2 U' D L B'
R2 F' B2 D U' L B'
U' F2 L' F2 B' D' R2
U' F2 L' B' F2 D' R2
F2 D' U2 B U L' B'
B' D' F2 R' U' L' R'
B' D' F2 R' U' R' L'
D2 F2 R' U' L' B' R'
D' F2 R' U' L' B' R'
D F2 R' U' L' B' R'
D2 F2 U' L' B' D' R2
D' F2 U' L' B' D' R2
D F2 U' L' B' D' R2
D2 F2 U2 B U L' B'
U F2 U B U L' B'
D' F2 U2 B U L' B'
B D2 L F2 R U L'
U F2 U2 L' B' D' R2
D F2 U2 B U L' B'
B' D2 R' D B2 U' R2
B' D2 R' F2 U R2 U2
B' D2 R' F2 U' D2 L2
B' D2 R' F2 D B2 U'
B' D2 R' F2 D2 U' L2
F2 D2 R' U' L' B' R'
F' D2 R2 F' U' L' B'
L F2 B L R U L2
L F2 B R L U L2
F2 D2 U' L' B' D' R2
D2 B L F2 R U L'
D' B L F2 R U L'
U2 B L U' R U2 B
B' D2 F R' F U' L'
F2 D2 U2 B U L' B'
U2 B L' U' R U2 B
D B L F2 R U L'
L B L U D F2 L'
L B L D U F2 L'
U2 B L2 U' R U2 B
B' D2 F2 R' U' L' D
B' D2 F2 R' U' L' D'
B' D2 F2 R' U' L' D2
B' D2 F2 R' U' D L'
B' D2 F2 R' U' D' L'
B' D2 F2 R' U' D2 L'
B' D2 F2 R' D U' L'
B' D2 F2 R' D' U' L'
B' D2 F2 R' D2 U' L'
B' D2 F2 R' B U' L'
B' D2 F2 R' B' U' L'
B' D2 F2 R' B2 U' L'
B' D2 F2 D R' U' L'
B' D2 F2 D' R' U' L'
B' D2 F2 D2 R' U' L'
B' D2 F2 B U' L' B'
B' D2 B F2 U' L' B'
U2 B U F2 L' F2 B'
U2 B U F2 L' B' F2
U2 B U' R U2 D B
U2 B U' R U2 D' B
U2 B U' R U2 D2 B
U2 B U' R U2 B D
U2 B U' R U2 B D'
U2 B U' R U2 B D2
U2 B U' R D U2 B
U2 B U' R D' U2 B
U2 B U' R D2 U2 B
U2 B U' R F U2 B
U2 B U' R F' U2 B
U2 B U' R F2 U2 B
U2 B U' R' F' R2 U2
U2 B U' D R U2 B
U2 B U' D' R U2 B
U2 B U' D2 R U2 B
F2 B L U2 L' U' L'
F2 B L D F2 R U
U2 B U' F2 U2 L' B'
F2 B L F2 R U L2
L2 B D L U F2 L'
R' B D B2 R' F' U'
U2 B D U' R U2 B
U2 B D' U' R U2 B
U2 B D2 U' R U2 B
U2 B F' L' F' U L'
F2 B U' L' D' B2 R'
L B F2 L R U L2
L B F2 R L U L2
D2 B' R' D2 F2 U' L2
R' B' R' F' U R' U2
D' B' R' D2 F2 U' L2
R' B' R' F' B2 U' L
R' B' R' B2 F' U' L
D B' R' D2 F2 U' L2
R' B' D R' F' B2 U'
R' B' D R' B2 F' U'
F2 B' R' U' L' D' R2
F2 B' R' U' D' L' R2
F2 B' R' U' D' R2 L'
F2 B' R' U2 B2 U L'
F2 B' R' D' U' L' R2
F2 B' R' D' U' R2 L'
R' B' D2 R' F' U' L2
D2 B' D2 F2 R' U' L'
D' B' D2 F2 R' U' L'
R2 B' D' F' R' B U'
D B' D2 F2 R' U' L'
F2 B' U2 B2 L U L2
R2 B' F' R' B' U' L
R2 B' F' D' R' B U'
F2 B' D' R' U' L' R'
F2 B' D' R' U' R' L'
B F2 L U2 L' U' L'
B F2 L D F2 R U
B F2 L F2 R U L2
B' F2 R' U' L' D' R2
B' F2 R' U' D' L' R2
B' F2 R' U' D' R2 L'
B' F2 R' U2 B2 U L'
B' F2 R' D' U' L' R2
B' F2 R' D' U' R2 L'
B F2 U' L' D' B2 R'
R2 B2 D F' U' L B'
B' F2 U2 B2 L U L2
B2 F2 U2 B' L U L2
F2 B2 U2 B' L U L2
B' F2 D' R' U' L' R'
B' F2 D' R' U' R' L'
R2 B2 D2 F' R U' L
R2 B2 F' U' D L B'
R2 B2 F' D U' L B'
