F' L' B R' U L U
B L2 R' U L' B' U
B R' L2 U L' B' U
B R' U L U2 F U'
B R' U L' B' L2 U
B R' F U L U R
B R' F' L' U L2 U
B R' F' L' U2 D' B2
B R' F' L' D F2 U2
B R' F' L' D' U2 B2
F' U L' B R' F' U2
F' U B L' R' F' U2
F' U B R' L' F' U2
F2 U B R' F' U2 R
F U B R' U2 R2 B
F U B R' F' U2 R2
F' U' L' B R' U2 B2
F' U' L' B U2 B2 L
F' U' B L' R' U2 B'
F' U' B R' L' U2 B'
B U' B2 R' F' U' L
F' B L' R' U L2 U
F' B L' R' U2 D' B2
F' B L' R' D F2 U2
F' B L' R' D' U2 B2
F' B L' U2 D' B2 L
F' B L' D R' F2 U2
F' B L' D F2 R' U2
F' B L' D' R' U2 B2
F' B L' D' U2 B2 L
F' B R' L' U L2 U
F' B R' L' U2 D' B2
F' B R' L' D F2 U2
F' B R' L' D' U2 B2
B F R' U L U R2
F B R' U L U R2
B F' L' R' U L2 U
B F' L' R' U2 D' B2
B F' L' R' D F2 U2
B F' L' R' D' U2 B2
B F' L' U2 D' B2 L
B F' L' D R' F2 U2
B F' L' D F2 R' U2
B F' L' D' R' U2 B2
B F' L' D' U2 B2 L
B F' R' L' U L2 U
B F' R' L' U2 D' B2
B F' R' L' D F2 U2
B F' R' L' D' U2 B2
