R F' U R U L2
F L' U' B2 L' R' B
F L' U' B2 R' L' B
F L' U' B2 R' B L'
F L' B2 U' L' R' B
F L' B2 U' R' L' B
F L' B2 U' R' B L'
U2 L2 R' D B R F'
U2 L2 R' B D R F'
R2 U F' L' R U L'
R2 U F' R L' U L'
B' R F' U R U L2
F' R F' U2 L2 D F2
B2 R F' U R U L2
F2 R F' U' L' U' L'
B R F' U R U L2
U2 R' L2 D B R F'
U2 R' L2 B D R F'
F R' U' L' U' L' B
F R' U' L' U' B L'
F' R' U2 L2 D' F2 B
F' R' U2 L2 D' B F2
F' R' U2 L2 B D' F2
F' R' U2 B L2 D' F2
R' U2 L' D' L' F B
R' U2 L' D' L' B F
R' U2 L' D' B L' F
R' U2 L' B D' L' F
R2 U2 L' D' B' L' F
R2 U2 L' B' D' L' F
U2 R' B L2 D R F'
R' U2 B L' D' L' F
F R2 U' L' U' L' B'
U R2 F' R U L2 B
U R2 F' R U B L2
D2 R2 B' U' L U' B'
F' U R U' F' U2 L2
F' U R F2 U L2 B'
F U' L' R' U' L' B
F U' L' R' U' B L'
F2 U' R' U' L2 F' B
F2 U' R' U' L2 B F'
F2 U' R' U' F' L2 B
F2 U' R' U' F' B L2
F2 U' R' U' B L2 F'
F2 U' R' U' B F' L2
F U' R' L' U' L' B
F U' R' L' U' B L'
R' F U' L' U' L' B
R' F U' L' U' B L'
R2 F U' L' U' L' B'
U F' R U' F' U2 L2
R F' R U2 L2 D F2
U F' R F2 U L2 B'
R F' R' U R2 U L2
R F' R' U2 L2 D' F2
R F' R2 U R' U L2
R F' U R U L2 D
R F' U R U L2 D'
R F' U R U L2 D2
R F' U R D F2 U
R F' U R F U L2
R F' U R F' U L2
R F' U R F2 U L2
R F' U D R F2 U
R F' U2 L2 U' R U
R F' D U R F2 U
R F' D2 R2 U R' U
R F' B U R U L2
R F' B' U R U L2
R F' B2 U R U L2
R B F' U R U L2
D B' L F2 U R F'
D2 B' R2 U' L U' B'
R B' F' U R U L2
L' B2 R' D' L' F B
L' B2 R' D' L' B F
L' B2 R' D' B L' F
L' B2 R' B D' L' F
R B2 F' U R U L2
