F2 L2 U F' R U
F R U' L2 U2 B'
F R U' F L2 U2
D' F L2 R B2 U
D' F L2 B2 R U
D' F R L2 B2 U
D2 F R U R B2
D2 F R U B2 R
D' F R B2 L2 U
D' F B2 L2 R U
D' F B2 R L2 U
D' B2 F L2 R U
D' B2 F R L2 U
F L R U' L U2 B'
F2 L2 U F' R U D
F2 L2 U F' R U D'
F2 L2 U F' R U D2
F2 L2 U F' R D U
F2 L2 U F' R D' U
F2 L2 U F' R D2 U
F2 L2 U F' D R U
F2 L2 U F' D' R U
F2 L2 U F' D2 R U
L' U L' F2 B' R' U2
L' U L' B' R' F2 U2
L' U L' B' F2 R' U2
F2 L2 B U F' R U
F2 L2 B' U F' R U
D' L2 B2 U2 B L U'
F2 L2 B2 U F' R U
F R L U' L U2 B'
F R U' L2 U2 D B'
F R U' L2 U2 D' B'
F R U' L2 U2 D2 B'
F R U' L2 U2 B' D
F R U' L2 U2 B' D'
F R U' L2 U2 B' D2
F R U' L2 D U2 B'
F R U' L2 D' U2 B'
F R U' L2 D2 U2 B'
F R U' L2 F U2 B'
F R U' L2 F' U2 B'
F R U' L2 F2 U2 B'
F R U' D2 F U2 R2
F R U' F L2 U2 D
F R U' F L2 U2 D'
F R U' F L2 U2 D2
F R U' F L2 D U2
F R U' F L2 D' U2
F R U' F L2 D2 U2
F R U' F U2 D2 R2
F R U' F D2 U2 R2
F R U' F' L2 F2 U2
F R U' F2 L2 F' U2
F R D' L2 B2 U B
F R D' B2 L2 U B'
F R D' B2 U' F U2
F R D2 L2 U R2 B'
F R D2 L2 U B' R2
D' R F L2 R B2 U
D' R F L2 B2 R U
D' R F R L2 B2 U
F R D2 U' F U2 R2
D' R F R B2 L2 U
D' R F B2 L2 R U
D' R F B2 R L2 U
F R B U' L2 U2 B'
F R B U' F L2 U2
F R B' U' L2 U2 B'
F R B' U' F L2 U2
D' R B2 F L2 R U
D' R B2 F R L2 U
F R B2 U' L2 U2 B'
F R B2 U' F L2 U2
D' R' F L2 R B2 U
D' R' F L2 B2 R U
D2 R' F R U R2 B2
D2 R' F R U B2 R2
D' R' F R L2 B2 U
D' R' F R B2 L2 U
D' R' F B2 L2 R U
D' R' F B2 R L2 U
D' R' B2 F L2 R U
D' R' B2 F R L2 U
D' R2 F L2 R B2 U
D' R2 F L2 B2 R U
D' R2 F R L2 B2 U
D2 R2 F R U R' B2
D' R2 F R B2 L2 U
D' R2 F B2 L2 R U
D' R2 F B2 R L2 U
D R2 F2 U2 F' R U
D' R2 B2 F L2 R U
D' R2 B2 F R L2 U
U2 D F2 R2 B L U'
F2 U F' R U D2 R2
F2 U F' R U' L2 U2
F2 U F' R D' B2 U
F2 U F' R D2 U R2
F2 U F' D' R B2 U
F2 U F' D' B2 R U
F2 U F' D2 R U R
R' D' F L2 R B2 U
R' D' F L2 B2 R U
R' D' F R L2 B2 U
R' D' F R B2 L2 U
R' D' F B2 L2 R U
R' D' F B2 R L2 U
R2 D' F L2 R B2 U
R2 D' F L2 B2 R U
R2 D' F R L2 B2 U
R2 D' F R B2 L2 U
R D' F L2 R B2 U
R2 D' F B2 L2 R U
R2 D' F B2 R L2 U
R D' F L2 B2 R U
R D' F R L2 B2 U
R D' F R B2 L2 U
R D' F B2 L2 R U
R D' F B2 R L2 U
F U' L2 U R U B'
R' D' B2 F L2 R U
R' D' B2 F R L2 U
R2 D' B2 F L2 R U
R2 D' B2 F R L2 U
R D' B2 F L2 R U
R D' B2 F R L2 U
R' D2 F R U R B2
R' D2 F R U B2 R
R2 D2 F R U R B2
R2 D2 F R U B2 R
R D2 F R U R B2
R D2 F R U B2 R
D U2 F2 R2 B L U'
D2 F L R U R B2
D2 F L R U B2 R
D' F L' R B2 L' U
D2 F L' R U R B2
D2 F L' R U B2 R
D' F L' B2 L' R U
D' F L' B2 R L' U
D' F L2 R U D' R2
D' F L2 R D' U R2
D' F L2 R B2 U D
D' F L2 R B2 U D'
D' F L2 R B2 U D2
D' F L2 R B2 D U
D' F L2 R B2 D' U
D' F L2 R B2 D2 U
D2 F L2 R U R B2
D2 F L2 R U B2 R
D' F L2 R' B2 R2 U
D' F L2 D' R U R
D' F L2 B' R B' U
D' F L2 B2 R U D
D' F L2 B2 R U D'
D' F L2 B2 R U D2
D' F L2 B2 R D U
D' F L2 B2 R D' U
D' F L2 B2 R D2 U
D' F L2 B2 D R U
D' F L2 B2 D' R U
D' F L2 B2 D2 R U
D2 F R L U R B2
D2 F R L U B2 R
D' F R L' B2 L' U
D' F R L2 U D' R2
D2 F R L' U R B2
D2 F R L' U B2 R
D' F R L2 D' U R2
D' F R L2 B2 U D
D' F R L2 B2 U D'
D' F R L2 B2 U D2
D' F R L2 B2 D U
D' F R L2 B2 D' U
D' F R L2 B2 D2 U
D2 F R L2 U R B2
D2 F R L2 U B2 R
D' F R U D' R2 B2
D' F R U D' B2 R2
R' F R U' L2 U2 B'
R' F R U' F L2 U2
D2 F R U R B2 D
D2 F R U R B2 D'
D2 F R U R B2 D2
D2 F R U R' B2 R2
D2 F R U B' R B'
D2 F R U B2 R D
D2 F R U B2 R D'
D2 F R U B2 R D2
D2 F R U B2 D R
D2 F R U B2 D' R
D2 F R U B2 D2 R
D2 F R D L2 U R
D' F R D' U R2 B2
D' F R D' U B2 R2
D' F R B L2 B U
D2 F R B U B R
D' F R B2 L2 U D
D' F R B2 L2 U D'
D' F R B2 L2 U D2
D' F R B2 L2 D U
D' F R B2 L2 D' U
D' F R B2 L2 D2 U
D2 F R B' U R B'
D2 F R B' U B' R
D' F R B2 U D' B2
D' F R B2 D' U B2
D' F R' L2 B2 R2 U
R2 F R U' L2 U2 B'
R2 F R U' F L2 U2
D F R U2 R F U'
D' F R' B2 L2 R2 U
D' F R' B2 R2 L2 U
R F R U' L2 U2 B'
R F R U' F L2 U2
D2 F D L2 R B2 U
D2 F D L2 B2 R U
D2 F D R L2 B2 U
D2 F D R B2 L2 U
D2 F D B2 L2 R U
D2 F D B2 R L2 U
D' F D' R U R B2
D' F D' R U B2 R
D' F B L2 B R U
D F D2 L2 R B' U
D F D2 L2 B' R U
D F D2 R L2 B' U
D2 F B' R U R B'
D2 F B' R U B' R
D' F B' R B' L2 U
D' F B2 L2 R U D
D' F B2 L2 R U D'
D' F B2 L2 R U D2
D' F B2 L2 R D U
D' F B2 L2 R D' U
D' F B2 L2 R D2 U
D' F B2 L2 D R U
D' F B2 L2 D' R U
D' F B2 L2 D2 R U
D' F B2 R L2 U D
D' F B2 R L2 U D'
D' F B2 R L2 U D2
D' F B2 R L2 D U
D' F B2 R L2 D' U
D' F B2 R L2 D2 U
D' F B2 R U D' B2
D' F B2 R D' U B2
D' F B2 D' R U B2
D' F' L2 F2 B2 R' U
D' F' L2 B2 R' F2 U
D' F' L2 B2 F2 R' U
D F' L' F' R2 B U'
F D' L2 R B2 U B
F D' R L2 B2 U B
F D' R B2 L2 U B'
F D' R B2 U' F U2
B' D' F L2 R B2 U
B' D' F L2 B2 R U
B' D' F R L2 B2 U
B' D' F R B2 L2 U
B2 D' F L2 R B2 U
R' F2 L2 U F' R U
B2 D' F L2 B2 R U
B2 D' F R L2 B2 U
B2 D' F R B2 L2 U
B' D' F B2 L2 R U
B' D' F B2 R L2 U
D' F2 L2 F' R B2 U
D' F2 L2 F' B2 R U
B2 D' F B2 L2 R U
B2 D' F B2 R L2 U
D' F2 L2 B2 F' R U
B D' F L2 R B2 U
B D' F L2 B2 R U
B D' F R L2 B2 U
B D' F R B2 L2 U
R2 F2 L2 U F' R U
B D' F B2 L2 R U
B D' F B2 R L2 U
R F2 L2 U F' R U
B' D' B2 F L2 R U
B' D' B2 F R L2 U
B2 D' B2 F L2 R U
B2 D' B2 F R L2 U
L2 F2 U' D2 B' L U'
F D' B2 L2 R U B'
F D' B2 R L2 U B'
F D' B2 R U' F U2
B D' B2 F L2 R U
B D' B2 F R L2 U
F' D2 L' B2 U' R2 B
F D2 L2 R U R B'
F D2 L2 R U B' R
L F2 D' L B' U2 L
L2 F2 D2 U' B' L U'
F D2 R L2 U R B'
F D2 R L2 U B' R
D' F2 B2 L2 F' R U
B' D2 F R U R B2
B' D2 F R U B2 R
B2 D2 F R U R B2
B2 D2 F R U B2 R
B D2 F R U R B2
B D2 F R U B2 R
F' D2 B2 L' U' R2 B
F2 B L2 U F' R U
B' F R U' L2 U2 B'
B' F R U' F L2 U2
B2 F R U' L2 U2 B'
B2 F R U' F L2 U2
B F R U' L2 U2 B'
B F R U' F L2 U2
D' B F L2 B R U
F B R U' L2 U2 B'
F B R U' F L2 U2
F2 B' L2 U F' R U
F B' R U' L2 U2 B'
F B' R U' F L2 U2
D2 B' F R U R B'
D2 B' F R U B' R
D' B' F R B' L2 U
D' B2 R F L2 R U
D' B2 R F R L2 U
B' F2 L2 U F' R U
D' B2 R' F L2 R U
D' B2 R' F R L2 U
B2 F2 L2 U F' R U
F2 B2 L2 U F' R U
D' B2 R2 F L2 R U
D' B2 R2 F R L2 U
B F2 L2 U F' R U
F B2 R U' L2 U2 B'
F B2 R U' F L2 U2
D' B2 D' F R U B2
D' B2 F L2 R U D
D' B2 F L2 R U D'
D' B2 F L2 R U D2
D' B2 F L2 R D U
D' B2 F L2 R D' U
D' B2 F L2 R D2 U
D' B2 F L2 D R U
D' B2 F L2 D' R U
D' B2 F L2 D2 R U
D' B2 F R L2 U D
D' B2 F R L2 U D'
D' B2 F R L2 U D2
D' B2 F R L2 D U
D' B2 F R L2 D' U
D' B2 F R L2 D2 U
D' B2 F R U D' B2
D' B2 F R D' U B2
D' B2 F D' R U B2
D' B2 F2 L2 F' R U
