U2 L D F L2 B' R'
D2 L' F2 R' U F' R
B2 R' F U' R F2 B
B2 R' F U' R B F2
F2 R' F' D L2 R B2
F2 R' F' D L2 B2 R
F2 R' F' D R L2 B2
F2 R' F' D R B2 L2
F2 R' F' D B2 L2 R
F2 R' F' D B2 R L2
B2 R2 F U' R F' B
B2 R2 F U' R B F'
B2 R2 F2 R U' F' R
R2 D2 L' F2 U F' R
L' D2 F2 R' U F' R
F' D L2 B2 R' F' B
F' D L2 B2 R' B F'
R' F B2 U' R F2 B
R' F B2 U' R B F2
L2 F B2 R' U' F' R2
R2 F B2 U' R F' B
R2 F B2 U' R B F'
R' F' D L2 B2 R' B
R2 F2 R B2 U' F' R
L2 F2 B2 R' U' F' R
R2 F2 B2 R U' F' R
L2 B2 R' F U' R F2
B2 F2 R U' R2 F' R
F2 B2 R U' R2 F' R
R' B2 F U' R F2 B
R' B2 F U' R B F2
L2 B2 F R' U' F' R2
R2 B2 F U' R F' B
R2 B2 F U' R B F'
L2 B2 F2 R' U' F' R
R2 B2 F2 R U' F' R
