U' L D' R2 F
U' L D' F R2
U' L F D' R2
D' U' L R2 F
D' U' L F R2
U' D' L R2 F
U' D' L F R2
D' U' R2 L F
U' D' R2 L F
D2 F2 U' L F
U' L R D' R2 F
U' L R D' F R2
U' L R F D' R2
U' L R' D' R2 F
U' L R' D' F R2
U' L R' F D' R2
U' L R2 D' R2 F
U' L R2 D' F R2
U' L R2 F D' R2
U' L U' B2 U F
U' L D F D2 R2
U' L D' R' F R'
U' L D' R2 D F
U' L D' R2 D' F
U' L D' R2 D2 F
U' L D' R2 F D
U' L D' R2 F D'
U' L D' R2 F D2
U' L D' F R2 D
U' L D' F R2 D'
U' L D' F R2 D2
U' L D' F' R2 F2
U' L F R D' R2
U' L F R' D' R2
U' L F R2 D' R2
U' L F U' B2 U
U' L F D' R2 D
U' L F D' R2 D'
U' L F D' R2 D2
U' L F2 D' F' R2
U' R L D' R2 F
U' R L D' F R2
U' R L F D' R2
U' R D' L R2 F
U' R D' L F R2
U' R D' R2 L F
U' R' L D' R2 F
U' R' L D' F R2
U' R' L F D' R2
U' R' D' L R2 F
U' R' D' L F R2
U' R' D' R2 L F
U' R2 L D' R2 F
U' R2 L D' F R2
U' R2 L F D' R2
U' R2 D' L R2 F
U' R2 D' L F R2
U' R2 D' R2 L F
U' D' L R' F R'
U' D' L R2 D F
U' D' L R2 D' F
U' D' L R2 D2 F
U' D' L R2 F D
U' D' L R2 F D'
U' D' L R2 F D2
D' U' L R' F R'
D2 U' L D R2 F
D' U' L R2 D F
D' U' L R2 D' F
D2 U' L D F R2
D' U' L R2 D2 F
D' U' L R2 F D
D' U' L R2 F D'
D' U' L R2 F D2
U' D' L F R2 D
U' D' L F R2 D'
U' D' L F R2 D2
U' D' L F' R2 F2
D' U' L F R2 D
D' U' L F R2 D'
D' U' L F R2 D2
D' U' L F' R2 F2
F' U' L D' R2 F
F' U' L D' F R2
F' U' L F D' R2
F2 U' L D' R2 F
F2 U' L D' F R2
F2 U' L F D' R2
U' D' R' L F R'
D' U' R' L F R'
F U' L D' R2 F
F U' L D' F R2
F U' L F D' R2
U' D' R2 L D F
U' D' R2 L D' F
U' D' R2 L D2 F
U' D' R2 L F D
U' D' R2 L F D'
U' D' R2 L F D2
U' D' R2 D L F
U' D' R2 D' L F
U' D' R2 D2 L F
D' U' R2 L D F
D' U' R2 L D' F
D' U' R2 L D2 F
D' U' R2 L F D
D' U' R2 L F D'
D' U' R2 L F D2
U' D' R2 F L F
U' D' R2 F' L F
U' D' R2 F2 L F
D' U' R2 D L F
D' U' R2 D' L F
U' D' F L R2 F
U' D' F L F R2
D' U' R2 D2 L F
D' U' R2 F L F
