U R' U2 R U
U L R' U2 R U
U' L U2 L' R' U'
U' L U2 R' L' U'
U L' R' U2 R U
U' L' U2 L R' U'
U' L' U2 R' L U'
U L2 R' U2 R U
U' L2 U2 L2 R' U'
U' L2 U2 R' L2 U'
U R' L U2 R U
U R' L' U2 R U
U R' L2 U2 R U
U R' U2 R U D
U R' U2 R U D'
U R' U2 R U D2
U R' U2 R D U
U R' U2 R D' U
U R' U2 R D2 U
U R' U2 D R U
U R' U2 D' R U
U R' U2 D2 R U
U R' D U2 R U
U R' D' U2 R U
U R' D2 U2 R U
U R' F2 L' F2 U'
U R2 D' R U' F2
U R2 D2 L2 R U'
U R2 D2 R L2 U'
R D R' B2 D2 F2
F' U R' U2 R U
D2 U R' U2 R U
F2 U R' U2 R U
D' U R' U2 R U
U D R' U2 R U
D U R' U2 R U
F U R' U2 R U
B2 U' L U D2 F2
B2 U' L U' B2 U2
B2 U' L D' R2 U
B2 U' L D2 U F2
U D' R' U2 R U
B2 U' D' L R2 U
B2 U' D' R2 L U
B2 U' D2 L U F2
U D2 R' U2 R U
U D2 R' U2 R U
B' U2 B U' R' U'
B2 U2 B2 U' R' U'
U2 F' U' R' U' F
B2 D' U' L R2 U
B2 D' U' R2 L U
U F2 R' F2 L' U'
U2 F2 U' R' U' F2
B2 D2 U' L U F2
B2 D2 F2 U' L U
U' L R U2 L' R2 U'
U' L R U2 R2 L' U'
L' R U' R2 U' L R
L' R U' R2 U' R L
U L R' U2 R U D
U L R' U2 R U D'
U L R' U2 R U D2
U L R' U2 R D U
U L R' U2 R D' U
U L R' U2 R D2 U
U L R' U2 D R U
U L R' U2 D' R U
U L R' U2 D2 R U
R2 L U' R U' L' R
R2 L U' R U' R L'
U L R' D U2 R U
U L R' D' U2 R U
L2 R U' R2 U' L2 R
L2 R U' R2 U' R L2
U L R' D2 U2 R U
L R U' R2 U' L' R
L R U' R2 U' R L'
U L R' F2 L' F2 U'
R L U' R2 U' L' R
R L U' R2 U' R L'
U' L R2 U2 L' R U'
U' L R2 U2 R L' U'
L' R U2 L D R' B2
U L R2 D' R U' F2
L R U2 L' D R' B2
U L R2 D2 L2 R U'
U L R2 D2 R L2 U'
L' R U2 D L R' B2
L2 R U2 L2 D R' B2
L' R U2 D R' L B2
R L U2 L' D R' B2
L R U2 D L' R' B2
L R U2 D R' L' B2
L R U2 D R' B2 L'
R L U2 D L' R' B2
R L U2 D R' L' B2
R L U2 D R' B2 L'
L' R D U2 L R' B2
L' R D U2 R' L B2
L R D U2 L' R' B2
L R D U2 R' L' B2
L R D U2 R' B2 L'
R L D U2 L' R' B2
R L D U2 R' L' B2
R L D U2 R' B2 L'
U' L U2 L' R' U' D
U' L U2 L' R' U' D'
U' L U2 L' R' U' D2
U' L U2 L' R' D U'
U' L U2 L' R' D' U'
U' L U2 L' R' D2 U'
U' L U2 L' D R' U'
L' R D' F2 U2 L R'
U' L U2 L' D' R' U'
L' R D' F2 U2 R' L
U' L U2 L' D2 R' U'
U' L U2 R' L' U' D
U' L U2 R' L' U' D'
U' L U2 R' L' U' D2
U' L U2 R' L' D U'
U' L U2 R' L' D' U'
U' L U2 R' L' D2 U'
L R D' F2 R U2 R2
U' L U2 R' D L' U'
U' L U2 R' D' L' U'
U' L U2 R' D2 L' U'
U' L U2 D L' R' U'
U' L U2 D R' L' U'
R L D' F2 R U2 R2
U' L U2 D' L' R' U'
U' L U2 D' R' L' U'
U' L U2 D2 L' R' U'
U' L U2 D2 R' L' U'
U L D R' U2 R U
U' L D U2 L' R' U'
U' L D U2 R' L' U'
B2 L D' R2 U L' R2
B2 L D' R2 U R2 L'
U L D' R' U2 R U
U' L D' U2 L' R' U'
U' L D' U2 R' L' U'
U L D2 R' U2 R U
U' L D2 U2 L' R' U'
U' L D2 U2 R' L' U'
U L F2 R' F2 L' U'
L2 R' U' L2 R D F2
L2 R' U' L2 D R F2
R2 L' U' R U' L R
R2 L' U' R U' R L
L2 R' U' R L2 D F2
R L' U' R2 U' L R
R L' U' R2 U' R L
R L' U2 L D R' B2
L2 R' U2 L2 R D' B2
L2 R' U2 L2 D' R B2
L2 R' U2 L2 D' B2 R
L2 R' U2 R L2 D' B2
R L' U2 D L R' B2
R L' U2 D R' L B2
U' L' R U2 L R2 U'
U' L' R U2 R2 L U'
U2 L' R D B2 L R'
U2 L' R D B2 R' L
R L' D U2 L R' B2
R L' D U2 R' L B2
U L' R' U2 R U D
U L' R' U2 R U D'
U L' R' U2 R U D2
U L' R' U2 R D U
U L' R' U2 R D' U
U L' R' U2 R D2 U
U L' R' U2 D R U
U L' R' U2 D' R U
U L' R' U2 D2 R U
U L' R' D U2 R U
U L' R' D' U2 R U
U L' R' D2 U2 R U
U L' R' F2 L' F2 U'
U' L' R2 U2 L R U'
U' L' R2 U2 L R U'
U' L' R2 U2 R L U'
U L' R2 D' R U' F2
U L' R2 D2 L2 R U'
U L' R2 D2 R L2 U'
R L' D' F2 U2 L R'
R L' D' F2 U2 R' L
U' L' U2 L R' U' D
U' L' U2 L R' U' D'
U' L' U2 L R' U' D2
U' L' U2 L R' D U'
U' L' U2 L R' D' U'
U' L' U2 L R' D2 U'
U' L' U2 L D R' U'
U' L' U2 L D' R' U'
U' L' U2 L D2 R' U'
U' L' U2 R' L U' D
U' L' U2 R' L U' D'
U' L' U2 R' L U' D2
U' L' U2 R' L D U'
U' L' U2 R' L D' U'
U' L' U2 R' L D2 U'
U' L' U2 R' D L U'
U' L' U2 R' D' L U'
U' L' U2 R' D2 L U'
U' L' U2 D L R' U'
U' L' U2 D R' L U'
U' L' U2 D' L R' U'
U' L' U2 D' R' L U'
U' L' U2 D2 L R' U'
U' L' U2 D2 R' L U'
B' L' D L B' D2 F2
U' L' D U2 L R' U'
U' L' D U2 R' L U'
