F L' R' F2 B U'
F L' R' B F2 U'
F L' F2 R' B U'
F R' L' F2 B U'
F R' L' B F2 U'
F' R' U2 R2 F' U
F' R' D' B U' F2
F' R' D2 L2 B U'
F' R' D2 B L2 U'
F' R' B U' D' F2
F' R' B U2 R2 U
F' R' B D' U' F2
F' R' B D2 L2 U'
F R' B L' F2 U'
B2 L R F' R B U
F' L R' U2 R2 F' U
F' L R' D' B U' F2
F' L R' D2 L2 B U'
F' L R' D2 B L2 U'
F' L R' B U' D' F2
F' L R' B U2 R2 U
F' L R' B D' U' F2
F' L R' B D2 L2 U'
F L R' F2 L2 B U'
F L R' F2 B L2 U'
F L R' B L2 F2 U'
F L R' B F2 L2 U'
D2 L F' R' B' L U'
F L F2 L2 R' B U'
F L F2 R' L2 B U'
F L F2 R' B L2 U'
F' L' R' U2 R2 F' U
F' L' R' D' B U' F2
F' L' R' D2 L2 B U'
F' L' R' D2 B L2 U'
F L' R' D B U' R2
F' L' R' B U' D' F2
F' L' R' B U2 R2 U
F' L' R' B D' U' F2
F' L' R' B D2 L2 U'
F L' R' F2 D B U'
F L' R' F2 D' B U'
F L' R' F2 D2 B U'
F L' R' F2 B U' D
F L' R' F2 B U' D'
F L' R' F2 B U' D2
F L' R' F2 B D U'
F L' R' F2 B D' U'
F L' R' F2 B D2 U'
F L' R' B U' D R2
F L' R' B D U' R2
F L' R' B F2 U' D
F L' R' B F2 U' D'
F L' R' B F2 U' D2
F L' R' B F2 D U'
F L' R' B F2 D' U'
F L' R' B F2 D2 U'
F L' F R' F B U'
F L' F R' B F U'
F L' F2 R' D B U'
F L' F2 R' D' B U'
F L' F2 R' D2 B U'
F L' F2 R' B U' D
F L' F2 R' B U' D'
F L' F2 R' B U' D2
F L' F2 R' B D U'
F L' F2 R' B D' U'
F L' F2 R' B D2 U'
F' L2 R' U2 R2 F' U
F' L2 R' D' B U' F2
F' L2 R' D2 L2 B U'
F' L2 R' D2 B L2 U'
F' L2 R' B U' D' F2
F' L2 R' B U2 R2 U
F' L2 R' B D' U' F2
F' L2 R' B D2 L2 U'
F L2 R' F2 L B U'
F L2 F2 L R' B U'
F L2 F2 R' L B U'
B2 R L F' R B U
F' R D2 F' L2 B' U
B2 R F' L R B U
B2 R F' R L B U
F' R F' U2 R2 F U'
F' R F' U2 F R2 U'
B R F' R B L U
F' R F' D2 L2 B' U
F' R' L U2 R2 F' U
F' R' L D' B U' F2
F' R' L D2 L2 B U'
F' R' L D2 B L2 U'
F' R' L B U' D' F2
F' R' L B U2 R2 U
F' R' L B D' U' F2
F' R' L B D2 L2 U'
F' R' L' U2 R2 F' U
F' R' L' D' B U' F2
F' R' L' D2 L2 B U'
F' R' L' D2 B L2 U'
F R' L F2 L2 B U'
F R' L F2 B L2 U'
F R' L B L2 F2 U'
F R' L B F2 L2 U'
F' R' L' B U' D' F2
F' R' L' B U2 R2 U
F' R' L' B D' U' F2
F' R' L' B D2 L2 U'
F' R' L2 U2 R2 F' U
F R' L' D B U' R2
F' R' L2 D' B U' F2
F' R' L2 D2 L2 B U'
