R' U L U F'
U L U' R' U2 F'
R' U L U D F'
R' U L U D' F'
R' U L U D2 F'
R' U L U F' D
R' U L U F' D'
R' U L U F' D2
R' U L D U F'
R' U L D' U F'
R' U L D2 U F'
R' U D L U F'
R' U D' L U F'
R' U D2 L U F'
F' R' U L U F'
F2 R' U L U F'
D' R' U L U F'
D2 R' U L U F'
D R' U L U F'
F R' U L U F'
R' U2 F' U' L U
R' D U L U F'
R' D' U L U F'
L' D' B2 L R' F'
L' D' B2 R' L F'
L' D' B2 R' F' L
B2 U' R' U' L F
R' D2 U L U F'
R' F U L U F2
R2 L U F2 L' R F'
R2 L U F2 R L' F'
R2 L U' L' R U2 F'
L R U' L' R2 U2 F'
L R U' L' B R2 U2
R2 L U' R L' U2 F'
R L U' L' R2 U2 F'
R L U' L' B R2 U2
L R U' R2 L' U2 F'
R L U' R2 L' U2 F'
L R U' B L' R2 U2
L R U' B R2 L' U2
U L R2 U' R B U2
R L U' B L' R2 U2
R L U' B R2 L' U2
U L U B2 L F B2
U L U B2 L B2 F
U L U' R B R2 U2
U L U' R' U2 D F'
U L U' R' U2 D' F'
U L U' R' U2 D2 F'
U L U' R' U2 F' D
U L U' R' U2 F' D'
U L U' R' U2 F' D2
U L U' R' D U2 F'
U L U' R' D' U2 F'
U L U' R' D2 U2 F'
U L U' R' B U2 F'
U L U' R' B' U2 F'
U L U' R' B2 U2 F'
U L U' D R' U2 F'
U L U' D' R' U2 F'
U L U' D2 R' U2 F'
U L U' B2 U2 L F
U L D U' R' U2 F'
U L D' U' R' U2 F'
U L D2 U' R' U2 F'
R2 L F2 U L' R F'
R2 L F2 U R L' F'
U2 L F L2 D' B2 L
U L F R U D2 L2
U L F R U' R2 U2
U L F R D' F2 U
U L F R D2 U L2
R' L' U2 D' F' B2 R'
L' R' U2 D' F' B2 R'
R' L' U2 D' B2 F' R'
L' R' U2 D' B2 F' R'
R' L' U2 F' D' B2 R'
L' R' U2 F' D' B2 R'
R' L' D L F2 U2 F
L' R' D L F2 U2 F
R' L' D' L U2 F' B2
R' L' D' L U2 B2 F'
L' R' D' L U2 F' B2
L' R' D' L U2 B2 F'
R' L' D' U2 F' B2 R'
R' L' D' U2 B2 F' R'
L' R' D' U2 F' B2 R'
L' R' D' U2 B2 F' R'
U L' U D' B2 L F
U' L' U' D' B2 L F
U2 L' D' L B2 L F
U2 L' D' L2 F B2 L
U2 L' D' L2 B2 F L
U' L' D' U' B2 L F
D2 L' D' B2 L R' F'
D' L' D' B2 L R' F'
D2 L' D' B2 R' L F'
D2 L' D' B2 R' F' L
D' L' D' B2 R' L F'
D' L' D' B2 R' F' L
F' L' D' B2 L R' F'
U L' D' U B2 L F
F' L' D' B2 R' L F'
F' L' D' B2 R' F' L
F2 L' D' B2 L R' F'
F2 L' D' B2 R' L F'
F2 L' D' B2 R' F' L
D L' D' B2 L R' F'
D L' D' B2 R' L F'
D L' D' B2 R' F' L
F L' D' B2 L R' F'
F L' D' B2 R' L F'
F L' D' B2 R' F' L
L R2 U F2 L' R F'
L R2 U F2 R L' F'
L R2 U' L' R U2 F'
L R2 U' R L' U2 F'
L R2 F2 U L' R F'
L R2 F2 U R L' F'
R' U L R2 U' B U2
R' U L U L' F' L
R' U L U L2 F' L2
R' U L U D F' D
R' U L U D F' D'
R' U L U D F' D2
R' U L U D' F' D
R' U L U D' F' D'
R' U L U D' F' D2
R' U L U D2 F' D
R' U L U D2 F' D'
R' U L U D2 F' D2
R' U L U F2 D F
R' U L U F2 D' F
R' U L U F2 D2 F
R' U L U' B U2 F'
R' U L U' B' U2 F'
R' U L U' B2 U2 F'
R' U L U2 L U' F'
R' U L U2 L' U' F'
R' U L U2 L2 U' F'
R' U L D U F' D
R' U L D U F' D'
R' U L D U F' D2
R' U L D' U F' D
R' U L D' U F' D'
R' U L D' U F' D2
R' U L D2 U F' D
R' U L D2 U F' D'
R' U L D2 U F' D2
R2 U L U' R U2 F'
R U L U' R2 U2 F'
R U L U' B R2 U2
R' U L' U D' F' B2
R' U L' U D' B2 F'
R' U L' U F' D' B2
R' U L' D' U F' B2
R' U L' D' U B2 F'
R' U L2 D L' U F'
R' U L2 D' L' U F'
R' U L2 D2 L' U F'
R' U R2 L U' B U2
R' U D L U D F'
R' U D L U D' F'
R' U D L U D2 F'
R' U D L U F' D
R' U D L U F' D'
R' U D L U F' D2
R' U D L D U F'
R' U D L D' U F'
R' U D L D2 U F'
R' U D' L U D F'
R' U D' L U D' F'
R' U D' L U D2 F'
R' U D' L U F' D
R' U D' L U F' D'
R' U D' L U F' D2
R' U D' L D U F'
R' U D' L D' U F'
R' U D' L D2 U F'
R' U D2 L U D F'
R' U D2 L U D' F'
R' U D2 L U D2 F'
R' U D2 L U F' D
R' U D2 L U F' D'
R' U D2 L U F' D2
R' U D2 L D U F'
R' U D2 L D' U F'
R' U D2 L D2 U F'
R' U F L F' U F'
B2 R U' R2 U' L F'
