F' L D' B2 R2 F' R
F L' R F' U' L2 F2
F L' R F' U' F2 L2
F' L' R' B U F L2
F' L' R2 U F L2 R
F' L' R2 U F R L2
D2 L' F R U' L2 F'
D2 L' F R U' F' L2
R2 U L' F R B' L2
R2 U L' F B' L2 R
R2 U L' F B' R L2
R2 U L' B' F L2 R
R2 U L' B' F R L2
F R L' F' U' L2 F2
F R L' F' U' F2 L2
F R F' L' U' F L2
F R F' U' L' F L2
F' R' L' B U F L2
F' R2 L' U F L2 R
F' R2 L' U F R L2
L' F L2 U R F' U'
L' F R F' U' F L2
L' F U R F' U' L2
D' F' L D' R F' B2
D' F' L D' R B2 F'
D' F' L D' B2 R F'
R' F' L' B U F L2
R2 F' L' U F L2 R
R2 F' L' U F R L2
R F' U2 L' U F L2
R' B U L' F B' L
R' B U L' B' F L
