U L B2 U F
F L R B2 U L
U L R B2 U F
U L R' B2 U F
U L R2 B2 U F
U L U D' R2 F
U L U D' F R2
U L U F D' R2
U L D' U R2 F
U L D' U F R2
L R B2 U L F
R L B2 U L F
U L B2 R U F
U L B2 R' U F
U L B2 R2 U F
U L B2 U D F
U L B2 U D' F
U L B2 U D2 F
U L B2 U F D
U L B2 U F D'
U L B2 U F D2
U L B2 D U F
U L B2 D' U F
U L B2 D2 U F
U L2 B2 L' U F
U R L B2 U F
F R L B2 U L
U R' L B2 U F
U R2 L B2 U F
D' U L U R2 F
D' U L U F R2
F U L R B2 U
F U L B2 R U
F U R L B2 U
U D' L U R2 F
U D' L U F R2
L F R B2 U L
U B2 U2 R' U' F'
U L R U D' R2 F
U L R U D' F R2
U L R U F D' R2
U L R D' U R2 F
U L R D' U F R2
F L R F B2 U L
F L R F' B2 U L
F L R F2 B2 U L
F L R B2 U L D
F L R B2 U L D'
F L R B2 U L D2
F L R B2 U D L
F L R B2 U D' L
F L R B2 U D2 L
F L R B2 D U L
F L R B2 D' U L
F L R B2 D2 U L
F L R B2 F U L
F L R B2 F' U L
F L R B2 F2 U L
U L R B2 R U F
U L R B2 R' U F
U L R B2 R2 U F
U L R B2 U D F
U L R B2 U D' F
U L R B2 U D2 F
U L R B2 U F D
U L R B2 U F D'
U L R B2 U F D2
U L R B2 D U F
U L R B2 D' U F
U L R B2 D2 U F
U L R' U D' R2 F
U L R' U D' F R2
U L R' U F D' R2
U L R' D' U R2 F
U L R' D' U F R2
U L R' B2 R U F
U L R' B2 R' U F
U L R' B2 R2 U F
U L R' B2 U D F
U L R' B2 U D' F
U L R' B2 U D2 F
U L R' B2 U F D
U L R' B2 U F D'
U L R' B2 U F D2
U L R' B2 D U F
U L R' B2 D' U F
U L R' B2 D2 U F
U L R2 U D' R2 F
U L R2 U D' F R2
U L R2 U F D' R2
U L R2 D' U R2 F
U L R2 D' U F R2
U L R2 B2 R U F
U L R2 B2 R' U F
U L R2 B2 R2 U F
U L R2 B2 U D F
U L R2 B2 U D' F
U L R2 B2 U D2 F
U L R2 B2 U F D
U L R2 B2 U F D'
U L R2 B2 U F D2
U L R2 B2 D U F
U L R2 B2 D' U F
U L R2 B2 D2 U F
F L U R B2 U B2
U L U R D' R2 F
U L U R D' F R2
U L U R F D' R2
U L U R' D' R2 F
U L U R' D' F R2
U L U R' F D' R2
U L U R2 D' R2 F
U L U R2 D' F R2
U L U R2 F D' R2
U L U D F D2 R2
U L U D' R' F R'
U L U D' R2 D F
U L U D' R2 D' F
U L U D' R2 D2 F
U L U D' R2 F D
U L U D' R2 F D'
U L U D' R2 F D2
U L U D' F R2 D
U L U D' F R2 D'
U L U D' F R2 D2
U L U D' F' R2 F2
U L U F R D' R2
U L U F R' D' R2
U L U F R2 D' R2
U L U F U' B2 U
U L U F D' R2 D
U L U F D' R2 D'
U L U F D' R2 D2
U L U F2 D' F' R2
F L U B2 R U B2
U L U' D L2 B' U2
U L U2 D2 F2 U' F'
U L D U F D2 R2
U L D U' L2 B' U2
U L D' R U R F
L R F B2 R U L
U L D' R' U R' F
U L D' R' U F R'
R L F B2 R U L
U L D' U R' F R'
U L D' U R2 D F
U L D' U R2 D' F
U L D' U R2 D2 F
U L D' U R2 F D
U L D' U R2 F D'
U L D' U R2 F D2
U L D' U F R2 D
U L D' U F R2 D'
U L D' U F R2 D2
U L D' U F' R2 F2
U L D' B U R2 F
U L D' B U F R2
U L D' B' U R2 F
U L D' B' U F R2
U L D' B2 U R2 F
U L D' B2 U F R2
U L D2 U2 F2 U' F'
F2 L F' R B2 U L
L R B2 R U L F
R L B2 R U L F
L R B2 R' U L F
R' L B2 U' R B U2
R L B2 R' U L F
L R B2 R2 U L F
L R B2 U L D F
L R B2 U L D' F
L R B2 U L D2 F
L R B2 U L F D
L R B2 U L F D'
L R B2 U L F D2
R L B2 R2 U L F
L R B2 U D L F
L R B2 U D' L F
L R B2 U D2 L F
L R B2 U F L F
L R B2 U F' L F
L R B2 U F2 L F
R L B2 U L D F
R L B2 U L D' F
R L B2 U L D2 F
R L B2 U L F D
R L B2 U L F D'
R L B2 U L F D2
R L B2 U D L F
R L B2 U D' L F
R L B2 U D2 L F
R L B2 U F L F
R L B2 U F' L F
R L B2 U F2 L F
L R B2 D U L F
L R B2 D' U L F
R L B2 D U L F
L R B2 D2 U L F
R L B2 D' U L F
L R B2 F R U L
R L B2 D2 U L F
R L B2 F R U L
U L B R' U F R
U L B D B U F
U L B D' B U F
U L B D2 B U F
U2 L B' R' B' U L'
U L B' R B' U F
U L B' R' B' U F
U L B' R2 B' U F
U L B' D B' U F
U L B' D' B' U F
U L B' D2 B' U F
F L B2 R U' R' U2
F' L B2 U2 L2 U' L2
U L B2 R U D F
U L B2 R U D' F
U L B2 R U D2 F
U L B2 R U F D
U L B2 R U F D'
U L B2 R U F D2
U2 L B2 U D L' F
U L B2 R D U F
U L B2 R D' U F
U L B2 R D2 U F
U L B2 R' U D F
U L B2 R' U D' F
U L B2 R' U D2 F
U L B2 R' U F D
U L B2 R' U F D'
U L B2 R' U F D2
U L B2 R' D U F
U L B2 R' D' U F
U L B2 R' D2 U F
U L B2 R2 U D F
U L B2 R2 U D' F
U L B2 R2 U D2 F
U L B2 R2 U F D
U L B2 R2 U F D'
U L B2 R2 U F D2
U L B2 R2 D U F
U L B2 R2 D' U F
U L B2 R2 D2 U F
U L B2 U R F R'
U L B2 U R2 F R2
U2 L B2 D U L' F
U L B2 U D F D
U L B2 U D F D'
U L B2 U D F D2
U L B2 U D' F D
U L B2 U D' F D'
U L B2 U D' F D2
U L B2 U D2 F D
U L B2 U D2 F D'
U L B2 U D2 F D2
U L B2 U F2 D F'
U L B2 U F2 D' F'
U L B2 U F2 D2 F'
U L B2 U' B U2 F
U L B2 U' B' U2 F
U L B2 U' B2 U2 F
U L B2 D R U F
U L B2 D R' U F
U L B2 D R2 U F
U L B2 D U F D
U L B2 D U F D'
U L B2 D U F D2
U L B2 D' R U F
U L B2 D' R' U F
U L B2 D' R2 U F
U L B2 D' U F D
U L B2 D' U F D'
U L B2 D' U F D2
U L B2 D2 R U F
U L B2 D2 R' U F
U L B2 D2 R2 U F
U L B2 D2 U F D
U L B2 D2 U F D'
U L B2 D2 U F D2
F L' R B2 L2 U L'
F L' U L2 R B2 U
F L' U L2 B2 R U
F L' U R L2 B2 U
F L' U R B2 L2 U
U L' U D' B2 R2 F'
F L' U B2 L2 R U
F L' U B2 R L2 U
F' L' U2 L2 B2 U L2
F' L' U2 B2 L2 U L2
U L' D' U B2 R2 F'
L R' B2 U' R B U2
U L' B2 L2 R2 U F'
U L' B2 L2 U' B U2
U L' B2 R2 L2 U F'
F L2 R B2 L' U L2
U L2 R B2 L' U F
U L2 R' B2 L' U F
D L2 U L' U' B' U2
U L2 R2 B2 L' U F
F L2 U L' R B2 U
F L2 U L' B2 R U
F L2 U R L' B2 U
F L2 U R B2 L' U
F' L2 U B2 L' R' U
F' L2 U B2 R' L' U
F L2 U B2 L' R U
F L2 U B2 R L' U
L U L B2 U F B2
L U L B2 U B2 F
R U L B2 U F L
L2 U L' B2 R2 U F'
L2 U L' B2 U' B U2
U L2 B L' B U F
U L2 B2 L' R U F
U L2 B2 L' R' U F
U L2 B2 L' R' U F
U L2 B2 L' R2 U F
U L2 B2 L' U D F
U L2 B2 L' U D' F
U L2 B2 L' U D2 F
U L2 B2 L' U F D
U L2 B2 L' U F D'
U L2 B2 L' U F D2
U L2 B2 L' D U F
U L2 B2 L' D' U F
U L2 B2 L' D2 U F
U L2 B2 R L' U F
U L2 B2 R' L' U F
U L2 B2 R2 L' U F
U R L U D' R2 F
U R L U D' F R2
U R L U F D' R2
F R L F B2 U L
U R L D' U R2 F
U R L D' U F R2
F R L F' B2 U L
F R L F2 B2 U L
F R L B2 U L D
F R L B2 U L D'
F R L B2 U L D2
F R L B2 U D L
