U' L R' U2 R B'
U' L R' U2 B' R
U' L' F R' U2 R
U' L2 R' U2 R B
L' U R' F U2 F'
L U' R' U2 R B'
L U' R' U2 B' R
L' U' F R' U2 R
U' R' L U2 R B'
U' R' L U2 B' R
U' R' L2 U2 R B
U' R' F2 L' F U2
D2 U' R' U2 B R
U' D2 R' U2 B R
U' B2 L D2 F2 B'
U' B2 L D2 B' F2
U' L R' U2 R D B'
U' L R' U2 R D' B'
U' L R' U2 R D2 B'
U' L R' U2 R B' D
U' L R' U2 R B' D'
U' L R' U2 R B' D2
U' L R' U2 R' B' R2
U' L R' U2 D R B'
U' L R' U2 D B' R
U' L R' U2 D' R B'
U' L R' U2 D' B' R
U' L R' U2 D2 R B'
U' L R' U2 D2 B' R
U' L R' U2 B R B2
U' L R' U2 B' R D
U' L R' U2 B' R D'
U' L R' U2 B' R D2
U' L R' U2 B' D R
U' L R' U2 B' D' R
U' L R' U2 B' D2 R
U' L R' D U2 R B'
U' L R' D U2 B' R
U' L R' D' U2 R B'
U' L R' D' U2 B' R
U' L R' D2 U2 R B'
U' L R' D2 U2 B' R
U' L R' F' U2 B' R'
R2 L U' D' F2 B' L'
R2 L U' D' B' F2 L'
R2 L U' B' D' F2 L'
D2 L U' R' U2 B R
L R D B2 L U' B
R L D B2 L U' B
R2 L D' U' F2 B' L'
R2 L D' U' B' F2 L'
U' L D R' U2 R B'
U' L D R' U2 B' R
U' L D' R' U2 R B'
U' L D' R' U2 B' R
U' L D2 R' U2 R B'
U' L D2 R' U2 B' R
F2 L D2 B2 U L B
U' L F R' U2 R B'
U' L F R' U2 B' R
U' L F' R' U2 R B'
U' L F' R' U2 B' R
U' L F2 R' U2 R B'
U' L F2 R' U2 B' R
U' L B' U2 B R' U2
U' L B2 L D2 F2 B
U' L B2 L D2 B F2
U L B2 L D2 B R2
U L B2 L B D2 R2
U' L B2 D2 L F2 B
U' L B2 D2 L B F2
U' L B2 D2 F2 L B
U' L' R F R2 U2 R
U' L' R' F2 L' F' U2
U L' R' F L U2 F'
B2 L' U L2 D2 R2 B'
B2 L' U L2 D2 B' R2
B2 L' U L2 B' D2 R2
B2 L' U F U2 L2 F'
B2 L' U F U2 F' L2
D2 L' U' R' U2 B R
F' L' U' R' F U2 R
F' L' U' F R' U2 R2
B2 L' U' B L2 F B'
B2 L' U' B L2 B' F
U' L' U2 R' F U2 F'
U L' U2 R' F L U2
U L' U2 F L R' U2
U L' U2 F R' L U2
U' L' D F R' U2 R
U' L' D' F R' U2 R
U' L' D2 F R' U2 R
U' L' F L R' U2 R
U' L' F L' R' U2 R
U' L' F L2 R' U2 R
