R U' L' F R U
D2 L R F D' L2 B2
D2 L R F D' B2 L2
D L R F D' L' B2
D L R F D' B2 L'
L R F U' L2 F U
R L F U' L2 F U
D2 L D' R F L' B2
D2 L D' R F B2 L'
D2 L D' R B2 F L'
D2 L D' B2 R F L'
L R B D F L2 B'
R L B D F L2 B'
U' L' R F R U R'
U' L' R' F R U R
U2 L' R' F U R2 F2
U2 L' R' F U F2 R2
U' L' R2 F R U R2
U L' R2 F U R' F'
D L' U L2 R F L'
D L' U R L2 F L'
R' L' F U' B' U2 R2
L' R' F U' B' U2 R2
R' L' F B2 U R2 F'
L' R' F B2 U R2 F'
D' L' U' B' U2 L R
D' L' U' B' U2 R L
U2 L' F R' U F' R
R' L' B2 F U R2 F'
L' R' B2 F U R2 F'
U L' F U R' F' R
U L' B' R' F U R2
R2 U L' F U R' F'
L' U R F' D' L2 F
D2 R L F D' L2 B2
D2 R L F D' B2 L2
D R L F D' L' B2
D R L F D' B2 L'
U' R L' F R U R'
L' U F' D' L2 F R
B' R U' L' F R U
B2 R U' L' F R U
B R U' L' F R U
R' U' L' F R U R
R U' L' R F R U
R U' L' R' F R U
R U' L' R2 F R U
R2 U' L' F R U R2
R U' L' D F R U
R U' L' D' F R U
R U' L' D2 F R U
R U' L' F R U D
R U' L' F R U D'
R U' L' F R U D2
R U' L' F R D U
R U' L' F R D' U
R U' L' F R D2 U
R U' L' F D R U
R U' L' F D' R U
R U' L' F D2 R U
R U' R L' F R U
R U' R' L' F R U
D' R B' L D' F B2
D' R B' L D' B2 F
D' R B' L F D' B2
R U' R2 L' F R U
U' R' L' F R U R
U2 R' L' F U R2 F2
U2 R' L' F U F2 R2
L' U2 L2 B' U' R F
U' R2 L' F R U R2
U R2 L' F U R' F'
R D L F D' L' B2
R D L F D' B2 L'
R D' B' L D' F B2
R D' B' L D' B2 F
R D' B' L F D' B2
L D' B' U' R F B'
L D' B' U' R B' F
L D' B' U' B' R F
L D' B2 R D' F L'
R D2 L D' F L' B2
R D2 L D' F B2 L'
R D2 L D' B2 F L'
L D2 B' R2 U' R' F
L D2 B' R2 U' F R'
L' F U' D2 B' L U2
L' F D2 U' B' L U2
L' F B2 R2 U F' R
L' F B2 U R2 F' R
L F' L2 F U R F
F' D' L F R B' L
F' D' L F B' L R
F' D' L F B' R L
F' D' L B' F L R
F' D' L B' F R L
R F' D' L F B' L
R F' D' L B' F L
R F' D' B' L F B'
R F' D' B' L B' F
F' D' B' L F R B'
F' D' B' L F B' R
F' D' B' L B' F R
L B R D F L2 B'
R B U' L' F R U
L' B D' R2 F U R'
L B D R F L2 B'
D' B' L R D' F B2
D' B' L R D' B2 F
D' B' L R F D' B2
D' B' L D' R F B2
D' B' L D' R B2 F
D' B' L D' B2 R F
D' B' L' U L2 R F
D' B' L' U R L2 F
D' B' R L D' F B2
D' B' R L D' B2 F
D' B' R L F D' B2
U B' L' R' F U R2
U B' R' L' F U R2
L B' U' R D' F B2
L B' U' R D' B2 F
L B' U' R F D' B2
L B' U' D' R F B2
L B' U' D' R B2 F
L B' U' D' B2 R F
R B' U' L' F R U
L B' D' U' R F B2
L B' D' U' R B2 F
L B' D' U' B2 R F
L B' D2 R2 U' R' F
L B' D2 R2 U' F R'
L B2 R D' F L' B2
L B2 R D' F B2 L'
L' B2 R2 F U R' F2
L' B2 R2 F U F2 R'
L B2 R D' B2 F L'
R B2 U' L' F R U
L' B2 F R2 U F' R
L' B2 F U R2 F' R
