U L' U L2 U F
U L' D F2 B' U2
U L' D B' F2 U2
U L' D' B' U2 B'
U L' B' U L2 U
U L' B' U2 D' B2
U L' B' D F2 U2
U L' B' D' U2 B2
U2 L U R D2 R2 F'
U2 L U R' D2 F' R2
U2 L U R' F' D2 R2
U2 L U D2 R' F' R'
U2 L U' L' B' L' U2
U2 L D' B' R' B' U
U2 L D2 R' U R' F'
U2 L D2 U R' F' R'
U2 L D2 B' R' U R'
U2 L B D' B2 R' U
U2 L B' R' U D2 R2
U2 L B' R' U' L2 U2
U2 L B' R' D' B2 U
U2 L B' R' D2 U R2
U2 L B' D' R' B2 U
U2 L B' D2 R' U R'
U L' U L2 R U F
U L' U L2 R' U F
U L' U L2 R2 U F
U L' U L2 U D F
U L' U L2 U D' F
U L' U L2 U D2 F
U L' U L2 U F D
U L' U L2 U F D'
U L' U L2 U F D2
U L' U L2 D U F
U L' U L2 D' U F
U L' U L2 D2 U F
U L' U R L2 U F
U L' U R' L2 U F
U L' U R2 L2 U F
B2 L' U' R' B2 U' F'
U' L' U2 D' L F B2
U' L' U2 D' L B2 F
U' L' D F2 U2 L F
U L' D F2 D B' U2
U L' D F2 D' B' U2
U L' D F2 D2 B' U2
U L' D F2 B' U2 D
U L' D F2 B' U2 D'
U L' D F2 B' U2 D2
U L' D F2 B' D U2
U L' D F2 B' D' U2
U L' D F2 B' D2 U2
U L' D B' U2 D2 B2
U L' D B' D2 U2 B2
U L' D B' F2 U2 D
U L' D B' F2 U2 D'
U L' D B' F2 U2 D2
U L' D B' F2 D U2
U L' D B' F2 D' U2
U L' D B' F2 D2 U2
U' L' D' U2 L F B2
U' L' D' U2 L B2 F
U L' D' F B' U2 B'
U L' D' F' B' U2 B'
U L' D' F2 B' U2 B'
U L' D' B' U2 D B'
U L' D' B' U2 D' B'
U L' D' B' U2 D2 B'
U L' D' B' U2 B' D
U L' D' B' U2 B' D'
U L' D' B' U2 B' D2
U L' D' B' D U2 B'
U L' D' B' D' U2 B'
U L' D' B' D2 U2 B'
U L' D' B' F U2 B'
U L' D' B' F' U2 B'
U L' D' B' F2 U2 B'
U L' D2 B' U' R2 U'
U L' D2 B' U2 D B2
U L' D2 B' D U2 B2
U L' D2 B' D' F2 U2
U L' F U L2 U F
U L' F D F2 B' U2
U L' F D B' F2 U2
U L' F D' B' U2 B'
U L' F B' U L2 U
U L' F B' U2 D' B2
U L' F B' D F2 U2
U L' F B' D' U2 B2
F' L' F' U' R D' B2
F' L' F' U' D' R B2
F' L' F' U' D' B2 R
F' L' F' U2 L2 U R
F' L' F' D' U' R B2
F' L' F' D' U' B2 R
F' L' F' D2 R2 U' R'
U L' F' U L2 U F
U L' F' D F2 B' U2
U L' F' D B' F2 U2
U L' F' D' B' U2 B'
U L' F' B' U L2 U
U L' F' B' U2 D' B2
U L' F' B' D F2 U2
U L' F' B' D' U2 B2
U L' F2 U L2 U F
U L' F2 D F2 B' U2
U L' F2 D B' F2 U2
U L' F2 D' B' U2 B'
U L' F2 B' U L2 U
U L' F2 B' U2 D' B2
U L' F2 B' D F2 U2
U L' F2 B' D' U2 B2
U L' B' U L2 U D
U L' B' U L2 U D'
U L' B' U L2 U D2
U L' B' U L2 D U
U L' B' U L2 D' U
U L' B' U L2 D2 U
U L' B' U' D2 R2 U'
U L' B' U2 D' B2 D
U L' B' U2 D' B2 D'
U L' B' U2 D' B2 D2
U L' B' U2 B D' B2
U L' B' U2 B' D' B2
U L' B' U2 B2 D' B2
U L' B' D F2 U2 D
U L' B' D F2 U2 D'
U L' B' D F2 U2 D2
U L' B' D F2 D U2
U L' B' D F2 D' U2
U L' B' D F2 D2 U2
U L' B' D' U2 B2 D
U L' B' D' U2 B2 D'
U L' B' D' U2 B2 D2
U L' B' D' F U2 B2
U L' B' D' F' U2 B2
U L' B' D' F2 U2 B2
U L' B' D2 U' R2 U'
U L' B' F U L2 U
U L' B' F U2 D' B2
U L' B' F D F2 U2
U L' B' F D' U2 B2
U L' B' F' U L2 U
U L' B' F' U2 D' B2
U L' B' F' D F2 U2
U L' B' F' D' U2 B2
U L' B' F2 U L2 U
U L' B' F2 U2 D' B2
U L' B' F2 D F2 U2
U L' B' F2 D' U2 B2
U L' B2 D F2 B U2
U L' B2 D B F2 U2
U L' B2 D' B U2 B
B2 L2 R' B2 U' R' F'
L2 U L U2 D' F B2
L2 U L U2 D' B2 F
L2 U L U2 F D' B2
L2 U L D F2 U2 F'
L2 U L D' U2 F B2
L2 U L D' U2 B2 F
R' U L' U L2 U F
R' U L' D F2 B' U2
R' U L' D B' F2 U2
R' U L' D' B' U2 B'
R2 U L' U L2 U F
R' U L' B' U L2 U
R' U L' B' U2 D' B2
R' U L' B' D F2 U2
R' U L' B' D' U2 B2
R U L' U L2 U F
R2 U L' D F2 B' U2
R2 U L' D B' F2 U2
R2 U L' D' B' U2 B'
R U L' D F2 B' U2
R U L' D B' F2 U2
R U L' D' B' U2 B'
R2 U L' B' U L2 U
R2 U L' B' U2 D' B2
R2 U L' B' D F2 U2
R2 U L' B' D' U2 B2
L U L' B' L' U2 B
R U L' B' U L2 U
R U L' B' U2 D' B2
R U L' B' D F2 U2
R U L' B' D' U2 B2
L U' L2 R B U2 L2
L U' L2 R' U2 L2 F'
L U' L2 R' U2 F' L2
L U' L2 U2 L F L
L U' R L2 B U2 L2
L U' R B L2 U2 L2
L U' R' L2 U2 L2 F'
L U' R' L2 U2 F' L2
B2 R' L2 B2 U' R' F'
L' U2 L2 R U R' F'
L' U2 L2 B' R' U R
L' U2 R L2 U R' F'
B2 R' B2 U L' B' U2
L' U2 B' L2 R' U R
L' U2 B' R' L2 U R
D' U L' U L2 U F
D2 U L' U L2 U F
D' U L' D F2 B' U2
D' U L' D B' F2 U2
D2 U L' D F2 B' U2
D2 U L' D B' F2 U2
D' U L' D' B' U2 B'
D2 U L' D' B' U2 B'
D' U L' B' U L2 U
D' U L' B' U2 D' B2
D' U L' B' D F2 U2
D' U L' B' D' U2 B2
D2 U L' B' U L2 U
D2 U L' B' U2 D' B2
D2 U L' B' D F2 U2
D2 U L' B' D' U2 B2
D U L' U L2 U F
D U L' D F2 B' U2
D U L' D B' F2 U2
D U L' D' B' U2 B'
U D L' U L2 U F
U D L' D F2 B' U2
U D L' D B' F2 U2
D U L' B' U L2 U
D U L' B' U2 D' B2
D U L' B' D F2 U2
D U L' B' D' U2 B2
U D L' D' B' U2 B'
U D L' B' U L2 U
U D L' B' U2 D' B2
U D L' B' D F2 U2
U D L' B' D' U2 B2
L' D' L' U' B2 R' F'
U D' L' U L2 U F
U D' L' D F2 B' U2
U D' L' D B' F2 U2
U D' L' D' B' U2 B'
U D' L' B' U L2 U
U D' L' B' U2 D' B2
U D' L' B' D F2 U2
U D' L' B' D' U2 B2
F U' L R B U L'
L' D' F' L' U' B2 R'
F U' R L B U L'
U D2 L' U L2 U F
U D2 L' D F2 B' U2
U D2 L' D B' F2 U2
U D2 L' D' B' U2 B'
U D2 L' B' U L2 U
U D2 L' B' U2 D' B2
U D2 L' B' D F2 U2
U D2 L' B' D' U2 B2
F2 U2 L U D R F'
F2 U2 L D U R F'
F U2 L R B' U R'
F U2 L B' R U R2
F U2 R L B' U R'
F2 U2 D L U R F'
L F R U' L2 U2 L2
L' F U2 L2 R U R'
L' F U2 R L2 U R'
F2 D U2 L U R F'
F' D' L' U2 L2 B' U
F' D' L' D' F U' B2
F' D' L' D2 R2 F U'
F' D' L' D2 F R2 U'
F' D' L' F U' D' B2
F' D' L' F U2 L2 U
F' D' L' F D' U' B2
F' D' L' F D2 R2 U'
L' F' D' L' U' B2 R'
U B L' B' U L U
U B D L' F B' U2
U B D L' B' F U2
U B' L' B' U' R' U'
U2 B' R' U' L' U2 B'
