B L R' F2 U
B L F2 R' U
B R' L F2 U
B R' F2 L U
F2 B L R' U
F2 B R' L U
B F2 L R' U
B F2 R' L U
B L R F2 R2 U
B L R' U D' L2
B L R' D' U L2
B L R' F2 U D
B L R' F2 U D'
B L R' F2 U D2
B L R' F2 D U
B L R' F2 D' U
B L R' F2 D' U
B L R' F2 D2 U
B L D' R' U L2
B L F R' F U
B L F2 R' U D
B L F2 R' U D'
B L F2 R' U D2
B L F2 R' D U
B L F2 R' D' U
B L F2 R' D2 U
B L F2 D R' U
B L F2 D' R' U
F2 L B L R' U
F2 L B L R' U
B L F2 D2 R' U
F2 L B R' L U
B L' R' F2 L2 U
B L' F2 L2 R' U
F2 L' B L R' U
B L' F2 R' L2 U
F2 L' B R' L U
F2 L2 B L R' U
F2 L2 B R' L U
B R L F2 R2 U
B R F2 L R2 U
B R F2 R2 L U
B R' L U D' L2
B R' L D' U L2
B R' L F2 U D
B R' L F2 U D'
B R' L F2 U D2
B R' L F2 D U
B R' L F2 D' U
B R' L F2 D2 U
B R' L' F2 L2 U
B R' D' L U L
B R' F' L F' U
B R' F2 L U D
B R' F2 L U D'
B R' F2 L U D2
B R' F2 L D U
B R' F2 L D' U
B R' F2 L D2 U
B R' F2 D L U
B R' F2 D' L U
B R' F2 D2 L U
B D' L R' U L
B D' R' L U L
L' F2 B L R' U
L' F2 B R' L U
L' B L R' F2 U
L2 F2 B L R' U
L' B L F2 R' U
L2 F2 B R' L U
L F2 B L R' U
L F2 B R' L U
L2 B L R' F2 U
L B L R' F2 U
L2 B L F2 R' U
L' B R' L F2 U
L B L F2 R' U
L' B R' F2 L U
L2 B R' L F2 U
L B R' L F2 U
L2 B R' F2 L U
L B R' F2 L U
F' B L F' R' U
F2 B L R' U D
F2 B L R' U D'
F2 B L R' U D2
F2 B L R' D U
F2 B L R' D' U
F2 B L R' D2 U
F2 B L D R' U
F2 B L D' R' U
F2 B L D2 R' U
L' B F2 L R' U
L' B F2 R' L U
F2 B R' L U D
F2 B R' L U D'
F2 B R' L U D2
F2 B R' L D U
F2 B R' L D' U
F2 B R' L D2 U
F2 B R' D L U
F2 B R' D' L U
F2 B R' D2 L U
B F R' F L U
L2 B F2 L R' U
F B R' F L U
L2 B F2 R' L U
L B F2 L R' U
L B F2 R' L U
F2 B D L R' U
F2 B D R' L U
F2 B D' L R' U
F2 B D' R' L U
F2 B D2 L R' U
F2 B D2 R' L U
B F' L F' R' U
B F2 L R' U D
B F2 L R' U D'
B F2 L R' U D2
B F2 L R' U D2
B F2 L R' D U
B F2 L R' D' U
B F2 L R' D2 U
B F2 L D R' U
B F2 L D' R' U
B F2 L D2 R' U
B F2 R' L U D
B F2 R' L U D'
B F2 R' L U D2
B F2 R' L D U
B F2 R' L D' U
B F2 R' L D2 U
B F2 R' D L U
B F2 R' D' L U
B F2 R' D2 L U
B F2 D L R' U
B F2 D R' L U
B F2 D' L R' U
B F2 D' R' L U
B F2 D2 L R' U
B F2 D2 R' L U
B L R U D' L2 F2
B L R U D' F2 L2
B L R D' U L2 F2
B L R D' U F2 L2
B L R F R2 F U
B L R F2 R2 U D
B L R F2 R2 U D'
B L R F2 R2 U D2
B L R F2 R2 D U
B L R F2 R2 D' U
B L R F2 R2 D2 U
B L R F2 U D' F2
B L R F2 D' U F2
B' L R' U' D' L2 R2
B' L R' U' D' R2 L2
B L R' U L D' L2
B L R' U L' D' L2
B' L R' U2 F2 B2 U
B L R' U L2 D' L2
B' L R' U2 B2 F2 U
B L R' U D' L2 D
B L R' U D' L2 D'
B L R' U D' L2 D2
B L R' U' D R2 U2
B' L R' D' U' L2 R2
B' L R' D' U' R2 L2
B L R' U2 D2 B2 U'
B' L R' D2 F2 B2 U'
B' L R' D2 B2 F2 U'
B L R' D U' R2 U2
B L R' D' U L2 D
B L R' D' U L2 D'
B L R' D' U L2 D2
B L R' D' F U L2
B L R' D' F' U L2
B L R' D' F2 U L2
B L R' D2 U2 B2 U'
B L R' F D F U
B L R' F D' F U
B L R' F D2 F U
B L R' F' D F' U
B L R' F' D' F' U
B L R' F' D2 F' U
B L R2 D' R U L2
B L R2 F2 U2 L' U'
B L U2 D2 B2 L U'
B' L U2 F2 B2 L U
B' L U2 B2 L F2 U
B' L U2 B2 F2 L U
B L D R' U' R' U2
B' L D' R' U' L2 R'
B' L D' R' U' R' L2
B L D' R' U L2 D
B L D' R' U L2 D'
B L D' R' U L2 D2
B L D' R' D F2 U
B L D' R' F U L2
B L D' R' F' U L2
B L D' R' F2 U L2
B L D' F R' U L2
B L D' F' R' U L2
B L D' F2 R' U L2
B' L D2 R' F2 B2 U'
B' L D2 R' B2 F2 U'
B L D2 R' U D L2
B L D2 R' U2 B2 U'
B L D2 R' D U L2
B L D2 R' D2 F2 U
B L D2 U2 B2 L U'
B' L D2 F2 R' B2 U'
B L F R F R2 U
B L F R' D F U
B L F R' D' F U
B L F R' D2 F U
B L F R' F U D
B L F R' F U D'
B L F R' F U D2
B L F R' F D U
B L F R' F D' U
B L F R' F D2 U
B L F D R' F U
B L F D F R' U
B L F D' R' F U
B L F D' F R' U
B L F D2 R' F U
B L F D2 F R' U
F' L F' B L R' U
F' L F' B R' L U
B L F' D F' R' U
B L F' D' F' R' U
B L F' D2 F' R' U
B L F2 R U D' F2
B L F2 R D' U F2
B L F2 R2 D R U
B L F2 R2 D' R U
B L F2 R2 D2 R U
B L F2 D R' U D
B L F2 D R' U D'
B L F2 D R' U D2
B L F2 D R' D U
B L F2 D R' D' U
B L F2 D R' D2 U
B L F2 D' R' U D
B L F2 D' R' U D'
B L F2 D' R' U D2
B L F2 D' R' D U
B L F2 D' R' D' U
B L F2 D' R' D2 U
B L F2 D2 R' U D
B L F2 D2 R' U D'
B L F2 D2 R' U D2
B L F2 D2 R' D U
B L F2 D2 R' D' U
B L F2 D2 R' D2 U
F' L B L F' R' U
F2 L B L R' U D
F2 L B L R' U D'
F2 L B L R' U D2
F2 L B L R' D U
F2 L B L R' D' U
F2 L B L R' D2 U
F2 L B L D R' U
F2 L B L D' R' U
F2 L B L D2 R' U
F2 L B R' L U D
F2 L B R' L U D'
F2 L B R' L U D2
F2 L B R' L D U
F2 L B R' L D' U
F2 L B R' L D2 U
F2 L B R' D L U
F2 L B R' D' L U
F2 L B R' D2 L U
F2 L B D L R' U
F2 L B D R' L U
F2 L B D' L R' U
F2 L B D' R' L U
F2 L B D2 L R' U
F2 L B D2 R' L U
F' L B F' L R' U
F' L B F' R' L U
B' L B2 L F2 R U
B L' R F2 L2 R2 U
B L' R F2 R2 L2 U
B L' R' U D' L2 B2
B L' R' U D' B2 L2
B L' R' D' U L2 B2
B L' R' D' U B2 L2
B L' R' F' L2 F' U
B L' R' F2 L2 U D
B L' R' F2 L2 U D'
B L' R' F2 L2 U D2
B L' R' F2 L2 D U
B L' R' F2 L2 D' U
B L' R' F2 L2 D2 U
B L' R' F2 U D' B2
B L' R' F2 D' U B2
B L' D' R' U L2 B2
B L' D' R' U B2 L2
B L' F R' F L2 U
B L' F' L2 F' R' U
F' L' F' B L R' U
F' L' F' B R' L U
B L' F2 L2 R' U D
B L' F2 L2 R' U D'
B L' F2 L2 R' U D2
B L' F2 L2 R' D U
B L' F2 L2 R' D' U
B L' F2 L2 R' D2 U
B L' F2 L2 D R' U
B L' F2 L2 D' R' U
B L' F2 L2 D2 R' U
B L' F2 R' L2 U D
B L' F2 R' L2 U D'
B L' F2 R' L2 U D2
B L' F2 R' L2 D U
B L' F2 R' L2 D' U
B L' F2 R' L2 D2 U
B L' F2 R' U D' B2
B L' F2 R' D' U B2
U' L' F2 B R' U B2
B L' F2 D' R' U B2
F' L' B L F' R' U
F2 L' B L R' U D
F2 L' B L R' U D'
F2 L' B L R' U D2
F2 L' B L R' D U
F2 L' B L R' D' U
F2 L' B L R' D2 U
F2 L' B L D R' U
F2 L' B L D' R' U
F2 L' B L D2 R' U
F2 L' B R' L U D
F2 L' B R' L U D'
F2 L' B R' L U D2
F2 L' B R' L D U
F2 L' B R' L D' U
F2 L' B R' L D2 U
U' L' B R' F2 U B2
F L' B L R' F U
F2 L' B R' D L U
F2 L' B R' D' L U
F2 L' B R' D2 L U
F L' B L F R' U
F L' B R' L F U
F2 L' B D L R' U
F2 L' B D R' L U
F2 L' B D' L R' U
F2 L' B D' R' L U
F' L' B F' L R' U
F2 L' B D2 L R' U
F' L' B F' R' L U
F2 L' B D2 R' L U
U' L' B F2 R' U B2
B L2 R' D' L' U L'
B L2 R' F2 U2 R U'
B L2 D' L' R' U L'
B L2 D' R' L' U L'
F' L2 F' B L R' U
F' L2 F' B R' L U
B L2 F2 R' U D B2
B L2 F2 R' U2 R2 U'
B L2 F2 R' D U B2
B L2 F2 R' D2 L2 U
B' L2 F2 B2 L R U
B' L2 F2 B2 R L U
F' L2 B L F' R' U
F2 L2 B L R' U D
F2 L2 B L R' U D'
F2 L2 B L R' U D2
F2 L2 B L R' D U
F2 L2 B L R' D' U
F2 L2 B L R' D2 U
F2 L2 B L D R' U
F2 L2 B L D' R' U
F2 L2 B L D2 R' U
F2 L2 B R' L U D
F2 L2 B R' L U D'
F2 L2 B R' L U D2
F2 L2 B R' L D U
F2 L2 B R' L D' U
F2 L2 B R' L D2 U
F2 L2 B R' D L U
F2 L2 B R' D' L U
F2 L2 B R' D2 L U
F2 L2 B D L R' U
F2 L2 B D R' L U
F' L2 B F' L R' U
F' L2 B F' R' L U
F2 L2 B D' L R' U
F2 L2 B D' R' L U
F2 L2 B D2 L R' U
F2 L2 B D2 R' L U
B' L2 B2 F2 L R U
B' L2 B2 F2 R L U
B R L U D' L2 F2
B R L U D' F2 L2
B R L D' U L2 F2
B R L D' U F2 L2
B R L F R2 F U
B R L F2 R2 U D
B R L F2 R2 U D'
B R L F2 R2 U D2
B R L F2 R2 D U
B R L F2 R2 D' U
B R L F2 R2 D2 U
B R L F2 U D' F2
B R L F2 D' U F2
B R L' F2 L2 R2 U
B R L' F2 R2 L2 U
B R D' L U L F2
B R D' L U F2 L
B R F R2 F L U
B R F' L F' R2 U
B R F2 L R2 U D
B R F2 L R2 U D'
B R F2 L R2 U D2
B R F2 L R2 D U
B R F2 L R2 D' U
B R F2 L R2 D2 U
B R F2 L U D' F2
B R F2 L D' U F2
B R F2 R2 L U D
B R F2 R2 L U D'
B R F2 R2 L U D2
B R F2 R2 L D U
B R F2 R2 L D' U
B R F2 R2 L D2 U
B R F2 R2 D L U
B R F2 R2 D' L U
B R F2 R2 D2 L U
B2 R F2 B' L R' U
B2 R F2 B' R' L U
B R F2 D' L U F2
F2 R B L R' B U
F2 R B R' L B U
B2 R B' L R' F2 U
B2 R B' L F2 R' U
B2 R B' R' L F2 U
B2 R B' R' F2 L U
B2 R B' F2 L R' U
B2 R B' F2 R' L U
B' R' L U' D' L2 R2
B' R' L U' D' R2 L2
B' R' L U2 F2 B2 U
B' R' L U2 B2 F2 U
B' R' L D' U' L2 R2
B' R' L D' U' R2 L2
B' R' L D2 F2 B2 U'
B' R' L D2 B2 F2 U'
B R' L U L D' L2
B R' L U L' D' L2
B R' L U L2 D' L2
B R' L U D' L2 D
B R' L U D' L2 D'
B R' L U D' L2 D2
B R' L U' D R2 U2
B R' L U2 D2 B2 U'
B R' L D U' R2 U2
B R' L D' U L2 D
B R' L D' U L2 D'
B R' L D' U L2 D2
B R' L D' F U L2
B R' L D' F' U L2
B R' L D' F2 U L2
B R' L D2 U2 B2 U'
B R' L F D F U
B R' L F D' F U
B R' L F D2 F U
B R' L F' D F' U
B R' L F' D' F' U
B R' L F' D2 F' U
