B L U L2 D F' R
U' L U' L2 F' B' R'
U' L U' L2 B' F' R'
B L F U L2 R F2
B L F U R L2 F2
B L F U R F2 L2
B L F' L2 D' B2 R'
B L' D' F R F2 B2
B L' D' F R B2 F2
B L' D' F B2 R F2
B L' D' B2 F R F2
B' L' F R F2 D B2
B L' F R F2 D' B2
U' L' F' R B' D' R2
U2 L' F' U' L' B' U
U L' F' R B D' R2
U' L2 U' L F' B' R'
U' L2 U' L B' F' R'
U' L2 U' F' L B' R'
U L2 D L F' R B
U L2 D F' L R B
U L2 D F' R L B
L U L2 D F' R B
L2 F U L R F2 B
L2 F U L R B F2
L2 F U R L F2 B
L2 F U R L B F2
L2 F U R F2 L B
L F U L2 R F2 B
L F U L2 R B F2
L F U R L2 F2 B
L F U R L2 B F2
L F U R F2 L2 B
L F U R F2 B L2
L F U R B L2 F2
L F U R B F2 L2
L' F B' R F2 D B2
L F' L2 B2 D' R' B
U2 B' U L' F' R' B'
L' B' F R F2 D B2
