B2 L U F R U2 R2
R' L F U F2 U F2
L R F U R2 F' U
R L F U R2 F' U
R' L' D' F' B2 U B
L' R' D' F' B2 U B
R' L' D' B2 F' U B
L' R' D' B2 F' U B
R' L' D2 F' U R2 B'
R' L' D2 F' U B' R2
L' R' D2 F' U R2 B'
L' R' D2 F' U B' R2
L R' F U F2 U F2
R' L' F' U D2 R2 B'
R' L' F' U D2 B' R2
R' L' F' U B' D2 R2
R' L' F' U' L2 F U2
L' R' F' U D2 R2 B'
L' R' F' U D2 B' R2
L' R' F' U B' D2 R2
L' R' F' U' L2 F U2
R' L' F' D' B2 U B
R' L' F' D2 U R2 B'
R' L' F' D2 U B' R2
L' R' F' D' B2 U B
L' R' F' D2 U R2 B'
L' R' F' D2 U B' R2
U2 R' U' L F' U2 L'
U2 R' U' F' L U2 L2
L' D' R' F' B2 U B
L' D' R' B2 F' U B
L' D2 R' F' U R' B'
L F R U R2 F' U
L F R' U F' U F
L F R2 U R F' U
L F U R' F' U L'
L F U F' R' U L'
L F U' B U' L F
R' F' L' U D2 R2 B'
R' F' L' U D2 B' R2
R' F' L' U B' D2 R2
R' F' L' U' L2 F U2
R' F' L' D' B2 U B
R' F' L' D2 U R2 B'
R' F' L' D2 U B' R2
R' F' L2 U' L' F U2
R' F' U B2 D' R' B
R' F' B2 L' U R' B'
R' B2 L' F' U R' B'
R' B2 F' L' U R' B'
