U2 R B R2 U' F' R
R' U' F D2 F2 L' R
R' U' F D2 F2 R L'
R' U' F' L' R D2 F2
R' U' F' L' D2 R F2
R' U' F' R L' D2 F2
R' U' F' R D2 L' F2
R' U' F' D2 L' R F2
R' U' F' D2 R L' F2
F' R' B U' R2 F' L'
B R2 U F' R B L
B R2 U' F' L' R B'
B R2 U' F' L' B' R
B R2 U' F' R L' B'
B U' R2 F' L' R B'
B U' R2 F' L' B' R
B U' R2 F' R L' B'
L2 D2 R' B U' R' F2
L2 D2 R' B U' F2 R'
R' B U' R2 F' L' R
R' B U' R2 F' R L'
R B R2 U' F' L' R
R B R2 U' F' R L'
B2 F L' U L2 F U
D' B2 L R2 F B' U
D' B2 L R2 B' F U
D' B2 L F R2 B' U
D' B2 L F B' R2 U
D' B2 L B' R2 F U
D' B2 L B' F R2 U
D' B2 R2 L F B' U
D' B2 R2 L B' F U
F B2 L' U L2 F U
