B' L' F2 R U B
L2 R D' F U' L2 B
L2 R D' F U' B L2
L2 R D2 F B2 U' B'
L2 R D2 B2 F U' B'
L2 R F U2 F U B
F2 L' U2 L' F U' B'
B' L' F2 L R U B
B' L' F2 L' R U B
B' L' F2 L2 R U B
B' L' F2 R L U B
B' L' F2 R L' U B
B' L' F2 R L2 U B
B' L' F2 R U D B
B' L' F2 R U D' B
B' L' F2 R U D2 B
B' L' F2 R U B D
B' L' F2 R U B D'
B' L' F2 R U B D2
B' L' F2 R D U B
B' L' F2 R D' U B
B' L' F2 R D2 U B
B L' F2 R B2 U B'
B' L' F2 D R U B
B' L' F2 D' R U B
B' L' F2 D2 R U B
B2 L' F2 B R U B
B L' F2 B2 R U B
B2 L' B F2 R U B
R L2 D' F U' L2 B
R L2 D' F U' B L2
B L' B2 F2 R U B
F' L2 R F U' B L
F L2 R F B' U' B2
R L2 D2 F B2 U' B'
F L2 R B' F U' B2
R L2 D2 B2 F U' B'
R L2 F U2 F U B
U L2 D' F R U' L2
U L2 D2 F R B2 U'
U L2 D2 F B2 R U'
F2 L2 F R U' B L
U L2 D2 B2 F R U'
F L2 F R B' U' B2
U L2 F R U2 F U
F L2 F B' R U' B
F L2 B' R F U' B
F L2 B' F R U' B
F' R L2 F U' B L
F R L2 F B' U' B2
F R L2 B' F U' B2
F2 R U2 L2 F U' B
F2 R D B' U F2 B2
F2 R D B' U B2 F2
B R D' L2 B R2 F'
B R D' B L2 R2 F'
B R D' B R2 L2 F'
B R D' B R2 F' L2
F2 R D2 B' R2 U B2
B' R F2 U D F2 B
B' R F2 U D B F2
B' R F2 U B D F2
D R F2 L' D' B R'
B' R F2 U2 L2 U' B
B' R F2 D U F2 B
B' R F2 D U B F2
D' R B L2 D' R2 F'
D R F2 B L' D' R2
D R F2 B D' L' R2
D R F2 B D' R2 L'
D' R B' U L2 F B2
D' R B' U L2 B2 F
D R B F2 L' D' R2
D R B F2 D' L' R2
D R B F2 D' R2 L'
F2 R B' U B2 D F2
F2 R B' U2 L2 U' B2
D R B' U F2 L' B2
D R B' U F2 B2 L'
F2 R B' D L2 U F2
D R B' U B2 F2 L'
F2 R' D2 R2 B' U B2
F2 R' D2 B' R2 U B
L2 U2 L' F2 U B' R'
B' R' F2 U2 L2 U' B'
F2 R' B' D2 R2 U B
D2 R2 D B' L U L
F2 R2 D B' L U F2
F2 U L2 F R U' L2
F U L2 F R B' U'
F U L2 F B' R U'
F U L2 B' F R U'
L2 D' R F U' L2 B
L2 D' R F U' B L2
L2 D' F R U' L2 B
L2 D' F R U' B L2
F U' L2 F B' R' U'
F U' L2 B' R' F U'
F U' L2 B' F R' U'
R D' B L2 D' R2 F'
R D' B' U L2 F B2
R D' B' U L2 B2 F
L2 D2 R F B2 U' B'
L2 D2 R B2 F U' B'
L2 D2 F R B2 U' B'
L2 D2 F B2 R U' B
L2 D2 B2 R F U' B
L2 D2 B2 F R U' B
U' F L2 F B' R' U'
U' F L2 B' R' F U'
U' F L2 B' F R' U'
U F L2 R F B' U'
U F L2 R B' F U'
L2 F R U2 F U B
U F L2 B' R F U'
R F L2 F B' U' B2
U F R L2 F B' U'
U F R L2 B' F U'
R F L2 B' F U' B2
L2 F U2 F L' U B'
B' D R U F2 L' B
B' D R U F2 B L'
B' D R U B F2 L'
F2 D R B' U F2 B2
F2 D R B' U B2 F2
L2 F' R F2 U' B L
F2 D B' R U F2 B
F2 D B' R U B F2
L' F2 L R B' U B2
L' F2 L B' R U B
L' F2 R L B' U B2
L' F2 R U D' B R'
L' F2 R D' U B R'
U' F2 U2 L2 F R U'
R' F2 U2 L2 F U' B'
L' F2 D' R U B R'
R F2 U2 L2 F U' B
R2 F2 D B' L U F2
U' F2 B L B2 R' U
F2 D2 R B' R U B2
R F2 D B' U F2 B2
R F2 D B' U B2 F2
U' F2 B' U2 L2 R' U'
U' F2 B' U2 R' L2 U'
R' F2 B' U2 L2 U' B'
U F2 D2 R2 B' L U
F2 D2 R2 D B' L U
U F2 D2 B' L R2 U
U F2 D2 B' R2 L U
R F2 D2 B' R2 U B2
U' B L F2 B2 R' U
U' B L B2 R' F2 U
U' B L B2 F2 R' U
R F2 B' U B2 D F2
R F2 B' U2 L2 U' B2
R F2 B' D L2 U F2
R B D F2 D2 L2 R2
R B D F2 D2 R2 L2
R B D' L2 R2 D2 F2
R B D' R2 L2 D2 F2
U' B F2 L B2 R' U
U2 B' L' F2 R U B'
D' B' R U L2 F B
D' B' R U L2 B F
R B' L' F2 R U B2
D B' R U F2 L' B
D B' R U F2 B L'
D B' R U B F2 L'
F2 B' L' U2 L' U' B'
F2 B' R U D F2 B
F2 B' R U D B F2
F2 B' R U B D F2
F2 B' R U2 L2 U' B
F2 B' R D U F2 B
F2 B' R D U B F2
F2 B' R' D2 R2 U B
U' B' F2 U2 L2 R' U'
U' B' F2 U2 R' L2 U'
R' B' F2 U2 L2 U' B'
F2 B' D R U F2 B
F2 B' D R U B F2
R B' F2 U B2 D F2
R B' F2 U2 L2 U' B2
R B' F2 D L2 U F2
B' F2 L' U2 L' U' B'
B' F2 R U D F2 B
B' F2 R U D B F2
B' F2 R U B D F2
B' F2 R U2 L2 U' B
B' F2 R D U F2 B
B' F2 R D U B F2
B' F2 R' D2 R2 U B
B' F2 D R U F2 B
B' F2 D R U B F2
