F' U R2 B U' R'
B D F' R' B2 L
F' L U R2 B U' R'
B' L D R2 B U2 B
B L D F' R' B2 L
B' L D' F2 U2 F L2
F' L' U R2 B U' R'
B L' D F' R' B2 L
F' L2 U R2 B U' R'
D2 L2 U F' R D L2
D2 L2 U F' D L2 R
D2 L2 U F' D R L2
D2 L2 U2 B2 U' F' R
B L2 D F' R' B2 L
D' L2 D' F' R D' B2
D' L2 D' F' D' R B2
D' L2 D' F' D' B2 R
D' L2 D2 B2 D F' R
D' L2 F' D R2 B R'
R2 U B U F2 U R'
R2 U B U2 R' D' L2
R2 U B U2 D' L2 R'
R2 U B U2 D' R' L2
R2 U B D R2 U2 R
R2 U B D' U2 L2 R'
R2 U B D' U2 R' L2
F' R' U R' B U' R'
F2 R2 U F R2 B R'
R2 U2 F2 U' B U2 R'
F' R2 F B U' F' R'
F' R2 F' B U' R' F
F' R2 F' B U' F R'
F' R2 F2 B U' R' F2
F' R2 F2 B U' F2 R'
F' R2 B F U' F' R'
F' R2 B F' U' R' F
F' R2 B F' U' F R'
F' R2 B F2 U' R' F2
F' R2 B F2 U' F2 R'
D R2 B U2 D' B R'
D R2 B D' U2 B R'
F' U R2 F B U' R'
F' U R2 F' B U' R'
F' U R2 F2 B U' R'
F' U R2 B U' R' D
F' U R2 B U' R' D'
F' U R2 B U' R' D2
F' U R2 B U' D R'
F' U R2 B U' D' R'
F' U R2 B U' D2 R'
F' U R2 B D U' R'
F' U R2 B D' U' R'
F' U R2 B D2 U' R'
F' U R2 B F U' R'
F' U R2 B F' U' R'
F' U R2 B F2 U' R'
B U D F' R' B2 L
F2 U F B D R' B2
F2 U F B' D B2 R'
F' U B R2 B U' R
F2 U B D R' F B2
F2 U B D R' B2 F
F2 U B D F R' B2
F2 U B F D R' B2
F2 U B' D F B2 R'
F2 U B' D B2 R' F
F2 U B' D B2 F R'
F2 U B' F D B2 R'
B U' D F' R' B2 L
F' U' D2 L2 F' U R
F' U' D2 F' L2 U R
B U2 D F' R' B2 L
B' D L R2 B U2 B
B D L F' R' B2 L
B D L' F' R' B2 L
B D L2 F' R' B2 L
B' D R2 L B U2 B
B' D R2 B U2 B R'
B2 D R2 B L U2 B
B D R2 B U2 B R
B D U F' R' B2 L
B D U' F' R' B2 L
D' F' L2 D R2 B R'
B D U2 F' R' B2 L
B' D F' R' B2 L R'
B' D F' R' B2 R' L
B D F R' F2 B2 L
B D F R' B2 L F2
B D F R' B2 F2 L
D2 F' R D L2 D2 B2
B' D F' B2 D2 L2 R'
B' D F' B2 D2 R' L2
D2 F' R D' B2 D2 L2
B D F' L R' B2 L
B D F' L' R' B2 L
B D F' L2 R' B2 L
B D F' R' L B2 L
B D F' R' L' B2 L
B D F' R' L2 B2 L
B D F' R' B2 L D
B D F' R' B2 L D'
B D F' R' B2 L D2
B D F' R' B2 D L
B D F' R' B2 D' L
B D F' R' B2 D2 L
B D F2 R' F B2 L
B D F2 R' B2 F L
D2 F' R2 D' R' B2 L
U' F' U R2 B U' R'
L' F' U R2 B U' R'
U2 F' U R2 B U' R'
L2 F' U R2 B U' R'
B' D B2 D2 L2 F' R'
B' D B2 D2 F' L2 R'
B' D B2 D2 F' R' L2
B' D B2 F' D2 L2 R'
B' D B2 F' D2 R' L2
B2 D B2 D2 L2 F' R
B2 D B2 D2 F' L2 R
B2 D B2 D2 F' R L2
B' D' L F2 U2 F L
U F' U R2 B U' R'
L F' U R2 B U' R'
D2 F' D L2 R D2 B2
D2 F' D L2 D2 R B2
D2 F' D L2 D2 B2 R
D2 F' D R L2 D2 B2
D2 F' D' R' B2 L R2
D2 F' D' R' B2 R2 L
D2 F' D' B2 D2 L2 R
D2 F' D' B2 D2 R L2
B D' L2 D2 F' R' B2
B D' L2 F' R2 B R
B' D' F L2 F2 R B'
B' D' F L2 F2 B' R
B' D' F L2 B' F2 R
B2 D' F L2 F2 B' R'
B2 D' F L2 B' R' F2
B2 D' F L2 B' F2 R'
B D' F L2 R' F2 B'
B D' F L2 R' B' F2
B D' F L2 F2 R' B'
B D' F R' L2 F2 B'
B D' F R' L2 B' F2
B D' F' L2 R2 B R
B D' F' R2 L2 B R
B D' F' R2 B L2 R
B D' F' R2 B R L2
B2 D' F2 U2 F L2 R
B2 D' F2 U2 F R L2
B D' F2 U2 R' F L2
B D' F2 U2 F L2 R'
B D' F2 U2 F R' L2
R2 F2 U' B U2 R' B'
D2 F2 D F L2 R B'
D2 F2 D F L2 B' R
D2 F2 D F R L2 B'
F' D2 L2 F' U R F
F' D2 U' L2 F' U R
F' D2 U' F' L2 U R
B D2 F' D' R' B2 L
U' B D F' R' B2 L
L' B D F' R' B2 L
R2 B U2 F2 U R' F2
R2 B U2 F2 U F2 R'
U2 B D F' R' B2 L
L2 B D F' R' B2 L
U B D F' R' B2 L
L B D F' R' B2 L
F' B R' U R' B U'
F' B U R2 B U' R
F2 B U D R' F B2
F2 B U D R' B2 F
F2 B U D F R' B2
F2 B U F D R' B2
F2 B U2 R2 U' R F
D2 B' L2 F U F2 R
F2 B D U R' F B2
F2 B D U R' B2 F
F2 B D U F R' B2
B F' R' U R' B U'
F2 B' U D F B2 R'
F2 B' U D B2 R' F
F2 B' U D B2 F R'
F2 B' U F D B2 R'
B F' U R2 B U' R
R2 B' D2 B2 U' R' F2
R2 B' D2 B2 U' F2 R'
F2 B' D U F B2 R'
F2 B' D U B2 R' F
F2 B' D U B2 F R'
D2 B2 U' F' R D' B2
D2 B2 U' F' D' R B2
D2 B2 U' F' D' B2 R
D2 B2 U2 L2 U F' R
B' F2 U D F B2 R'
B' F2 U D B2 R' F
B' F2 U D B2 F R'
B' F2 U F D B2 R'
B F2 U D R' F B2
B F2 U D R' B2 F
B F2 U D F R' B2
B F2 U F D R' B2
D B2 D F' R D L2
D B2 D F' D L2 R
D B2 D F' D R L2
B' F2 D U F B2 R'
B' F2 D U B2 R' F
B' F2 D U B2 F R'
B F2 U2 R2 U' R F
D B2 D2 L2 D' F' R
B F2 D U R' F B2
B F2 D U R' B2 F
B F2 D U F R' B2
