D L2 B U F L'
B' U2 D' R2 B' L
B' U2 D' B' L R2
B' U2 D' B' R2 L
B' D L2 F U2 L'
B' D' U2 R2 B' L
B' D' U2 B' L R2
B' D' U2 B' R2 L
B' D' B' L R2 F'
B' D' B' R2 L F'
B' D' B' R2 F' L
L2 B U F B L
L2 B U B F L
B L' D2 F U F B
B L' D2 F U B F
B L' F U D2 F2 B
B L' F U D2 B F2
B L' F U' B2 U2 B'
B L' F D2 U F2 B
B L' F D2 U B F2
D L' B L' U F L'
D L2 R' U F L' R
D L2 R' U F R L'
B L2 U D2 F2 B L
B L2 U D2 B L F2
B L2 U D2 B F2 L
B L2 D2 U F2 B L
B L2 D2 U B L F2
B L2 D2 U B F2 L
D L2 F' B U F2 L'
F' L2 B U F B L
F' L2 B U B F L
U' L2 B U F B L
U' L2 B U B F L
D L2 B R U F L'
D L2 B R' U F L'
U2 L2 B U F B L
F2 L2 B U F B L
U2 L2 B U B F L
F2 L2 B U B F L
D L2 B R2 U F L'
D L2 B U F L' D
D L2 B U F L' D'
D L2 B U F L' D2
D L2 B U F D L'
D L2 B U F D' L'
D L2 B U F D2 L'
F L2 B U F B L
F L2 B U B F L
U L2 B U F B L
U L2 B U B F L
D L2 B F' U F2 L'
L2 U B U F L B
B' R U2 D' R2 B' L
B' R U2 D' B' L R2
B' R U2 D' B' R2 L
B' R D L2 F U2 L'
B' R D' U2 R2 B' L
B' R D' U2 B' L R2
B' R D' U2 B' R2 L
B' R D' B' L R2 F'
B' R D' B' R2 L F'
B' R D' B' R2 F' L
D R' L2 U F L' R
D R' L2 U F R L'
B' R' U2 D' R2 B' L
B' R' U2 D' B' L R2
B' R' U2 D' B' R2 L
B' R' D L2 F U2 L'
B' R' D' U2 R2 B' L
B' R' D' U2 B' L R2
B' R' D' U2 B' R2 L
B' R' D' B' L R2 F'
B' R' D' B' R2 L F'
B' R' D' B' R2 F' L
B' R2 U2 D' R2 B' L
B' R2 U2 D' B' L R2
B' R2 U2 D' B' R2 L
B' R2 D L2 F U2 L'
B' R2 D' U2 R2 B' L
B' R2 D' U2 B' L R2
B' R2 D' U2 B' R2 L
B' R2 D' B' L R2 F'
B' R2 D' B' R2 L F'
B' R2 D' B' R2 F' L
R' D L2 U F L' R
R' D L2 U F R L'
D' R2 F' U B' U2 L
U' D L2 B U F L'
U2 D L2 B U F L'
D U L2 B U F L'
U D L2 B U F L'
B' U B2 L' F U B
