L R U D R2 B'
L R U D B' R2
R L U D R2 B'
R L U D B' R2
L R U B' D R2
R L U B' D R2
L R U2 F2 U' B'
R L U2 F2 U' B'
L R D U R2 B'
L R D U B' R2
R L D U R2 B'
R L D U B' R2
L R D2 B2 U B
R L D2 B2 U B
F2 L' U' D' L2 B'
F2 L' D' U' L2 B'
U2 L2 F2 L' U' B'
D2 R U D' R2 B
D2 R D' U R2 B
D2 R B2 U' F' U2
D2 R' B2 R2 U B'
L D R U R B'
L D R U B' R
L D2 R B2 U B
R2 D2 R' B2 U B'
U2 F2 L' U F U2
D2 B2 R U' F' U2
B' L R U D R2 B'
B' L R U D B' R2
B' L R U B' D R2
D2 L R U D' R2 B
B2 L R U D R2 B'
B2 L R U D B' R2
B2 L R U B' D R2
B' L R U2 F2 U' B'
B L R U D R2 B'
B L R U D B' R2
B L R U B' D R2
B' L R D U R2 B'
B' L R D U B' R2
B2 L R U2 F2 U' B'
B2 L R D U R2 B'
B2 L R D U B' R2
L R U R D R2 B'
L R U R D B' R2
D2 L R D' U R2 B
B L R U2 F2 U' B'
L R U R B' D R2
L R U R' D R2 B'
B' L R D2 B2 U B
L R U R' D B' R2
B L R D U R2 B'
B L R D U B' R2
L R U R' B' D R2
L R U R2 D R2 B'
L R U R2 D B' R2
B2 L R D2 B2 U B
L R U R2 B' D R2
R L U R D R2 B'
L R U D R B' R
R L U R D B' R2
L R U D R2 D B'
L R U D R2 D' B'
L R U D R2 D2 B'
L R U D R2 B' D
L R U D R2 B' D'
L R U D R2 B' D2
L R U D B R2 B2
R L U R B' D R2
L R U D B' R2 D
L R U D B' R2 D'
L R U D B' R2 D2
B L R D2 B2 U B
R L U R' D R2 B'
R L U R' D B' R2
L R U D' B' D2 R2
R L U R' B' D R2
R L U R2 D R2 B'
R L U R2 D B' R2
R L U R2 B' D R2
R L U D R B' R
R L U D R2 D B'
R L U D R2 D' B'
R L U D R2 D2 B'
R L U D R2 B' D
R L U D R2 B' D'
R L U D R2 B' D2
R L U D B R2 B2
R L U D B' R2 D
R L U D B' R2 D'
R L U D B' R2 D2
R L U D' B' D2 R2
D2 L R B2 U' F' U2
L R U B' R D R2
L R U B' R' D R2
L R U B' R2 D R2
L R U B' U F2 U'
L R U B' D R2 D
L R U B' D R2 D'
L R U B' D R2 D2
L R U B2 D B R2
R L U B' R D R2
R L U B' R' D R2
R L U B' R2 D R2
R L U B' U F2 U'
R L U B' D R2 D
R L U B' D R2 D'
R L U B' D R2 D2
R L U B2 D B R2
L' R U' D F U2 R2
L' R U' D' L2 U2 B'
L' R U' D' F L2 U2
L' R U' F U' F U'
L R U' D' L2 F U2
D2 L R' B2 R2 U B'
R L U' D' L2 F U2
L2 R U2 R F2 U' B
L R U2 R F2 U' B'
L R U2 R' F2 U' B'
L R U2 R2 F2 U' B'
R L U2 R F2 U' B'
L' R U2 F2 R2 U' B
L' R U2 F2 U F' U2
R L U2 R' F2 U' B'
R L U2 R2 F2 U' B'
L2 R U2 F2 R U' B
L R U2 F2 R U' B'
L R U2 F2 R' U' B'
L R U2 F2 R2 U' B'
L R U2 F2 U' D B'
L R U2 F2 U' D' B'
L R U2 F2 U' D2 B'
L R U2 F2 U' B' D
L R U2 F2 U' B' D'
L R U2 F2 U' B' D2
L R U2 F2 D U' B'
L R U2 F2 D' U' B'
L R U2 F2 D2 U' B'
L' R D L2 U R2 B'
L' R D L2 U B' R2
R L U2 F2 R U' B'
R L U2 F2 R' U' B'
R L U2 F2 R2 U' B'
R L U2 F2 U' D B'
R L U2 F2 U' D' B'
R L U2 F2 U' D2 B'
R L U2 F2 U' B' D
R L U2 F2 U' B' D'
R L U2 F2 U' B' D2
R L U2 F2 D U' B'
R L U2 F2 D' U' B'
R L U2 F2 D2 U' B'
L2 R D L' U R2 B'
L2 R D L' U B' R2
L' R D U' F U2 R2
R2 L D R' U R' B'
L R D U R B' R
L R D U R2 D B'
L R D U R2 D' B'
L R D U R2 D2 B'
L R D U R2 B' D
L R D U R2 B' D'
L R D U R2 B' D2
L R D U B R2 B2
L R D U B' R2 D
L R D U B' R2 D'
L R D U B' R2 D2
R L D U R B' R
R L D U R2 D B'
R L D U R2 D' B'
R L D U R2 D2 B'
R L D U R2 B' D
R L D U R2 B' D'
R L D U R2 B' D2
R L D U B R2 B2
R L D U B' R2 D
R L D U B' R2 D'
R L D U B' R2 D2
L R D B U R2 B2
L R D B U B2 R2
L R D B2 U B R2
R L D B U R2 B2
R L D B U B2 R2
F2 L U' D' B' L2 F
R L D B2 U B R2
L' R D' U' L2 U2 B'
L' R D' U' F L2 U2
L R D' U B' D2 R2
L R D' U' L2 F U2
R L D' U B' D2 R2
R L D' U' L2 F U2
L' R D2 L2 B2 U B
L2 R D2 L' B2 U B
R2 L D2 R' B2 U B
B' L D R U R B'
B' L D R U B' R
B2 L D R U R B'
B2 L D R U B' R
L' R D2 B2 L2 U B'
L' R D2 B2 U' F U2
B L D R U R B'
B L D R U B' R
L R D2 B2 L U B
L R D2 B2 L' U B
L R D2 B2 L2 U B
L2 R D2 B2 L' U B'
L R D2 B2 U D B
L R D2 B2 U D' B
L R D2 B2 U D2 B
L R D2 B2 U B D
L R D2 B2 U B D'
L R D2 B2 U B D2
L R D2 B2 D U B
L R D2 B2 D' U B
L R D2 B2 D2 U B
R L D2 B2 L U B
R L D2 B2 L' U B
R L D2 B2 L2 U B
R L D2 B2 U D B
R L D2 B2 U D' B
R L D2 B2 U D2 B
R L D2 B2 U B D
R L D2 B2 U B D'
R L D2 B2 U B D2
