U F L U' R B
U' B' L' U R' F'
F2 L R U2 B U L'
L R U2 B L2 U L
R L U2 B L2 U L
U2 L U2 L2 B' U L2
U L U2 L2 B' U R'
U L U2 B' L2 U R'
U L D' F U' R B2
U L D' F U' B2 R
U L D2 R2 F U' R
U L D2 F R2 U' R'
U2 L F U2 L2 U L2
U L F U' R D' B2
U L F U' D' R B2
U L F U' D' B2 R
U L F U2 L2 U R
U L F D' U' R B2
U L F D' U' B2 R
U L F D2 R2 U' R'
L' R' U2 F' L2 U' L'
R' L' U2 F' L2 U' L'
B2 L' R' U2 F' U' L
U' L' U2 L2 F U' R
U2 L' U2 L2 F U' L2
U' L' U2 F L2 U' R
U' L' D B' U R' F2
U' L' D B' U F2 R'
U' L' D2 R2 B' U R'
U' L' D2 B' R2 U R
U' L' B' U R' D F2
U' L' B' U D R' F2
U' L' B' U D F2 R'
U' L' B' U2 L2 U' R'
U' L' B' D U R' F2
U' L' B' D U F2 R'
U2 L' B' U2 L2 U' L2
U' L' B' D2 R2 U R
L' U L U L F U'
R' U L D' F' U' B2
R' U L D2 F' R2 U'
R' U L F' U' D' B2
R' U L F' U2 L2 U
R' U L F' D' U' B2
R' U L F' D2 R2 U'
R U L U2 L2 B U
R U L U2 B L2 U
R U L D2 R2 F' U'
L' U D L F R F
L' U D F R F L
F2 R L U2 B U L'
L' U F R D L F2
L' U F R D F2 L
L' U F D L R F2
L' U F D R L F2
L' U F D R F2 L
R' U F' D' L U' B'
L' U F' D F2 L R
L' U F' D F2 R L
R' U F2 R F L U'
R2 U F2 L R F' U'
R2 U F2 R L F' U'
R2 U F2 R F' L U'
B2 R U' L' B R2 U
B R U' L' B R' U
B2 R U' B L' R2 U
B2 R U' B R2 L' U
B R U' B L' R' U
B R U' B R' L' U
R' U' L' U2 L2 F' U'
R' U' L' U2 F' L2 U'
R' U' L' D2 R2 B U
L U' L' U' L' B' U
R U' L' D B U F2
U R F L U' R B
R U' L' D2 B R2 U
R U' L' B U D F2
R U' L' B U2 L2 U'
R U' L' B D U F2
R U' L' B D2 R2 U
B2 R B L' R2 U L
B2 R B R2 L' U L
B R B L' R' U L
B R B R' L' U L
U' R B' L' U R' F'
L U' D' L' B' R' B'
L U' D' B' R' B' L'
B2 R' L' U2 F' U' L
F' R' U L F' R U'
F2 R' U L F' R2 U'
F' R' U F' L R U'
F' R' U F' R L U'
F2 R' U F' L R2 U'
F2 R' U F' R2 L U'
R U' B D L' U F
L U' B D' B2 L' R'
L U' B D' B2 R' L'
L U' B' R' D' L' B2
L U' B' R' D' B2 L'
L U' B' D' L' R' B2
L U' B' D' R' L' B2
L U' B' D' R' B2 L'
R2 U' B2 L' R' B U
R2 U' B2 R' L' B U
R2 U' B2 R' B L' U
R U' B2 R' B' L' U
L' U2 L F L U' L'
U R' F L U' R B
F' R' F' L R U' L'
L U2 L' B' L' U L
F' R' F' R L U' L'
F2 R' F' L R2 U' L'
F2 R' F' R2 L U' L'
U' R' B' L' U R' F'
U R2 F L U' R B
U' R2 B' L' U R' F'
L' D U L F R F
L' D U F R F L
F2 U L R F U' R
L' D F U F L R
L' D F U F R L
F2 U R L F U' R
L2 D F2 L R B U
L2 D F2 R L B U
F2 U R F L U' R
D' U F L U' R B
D2 U F L U' R B
D U F L U' R B
U D F L U' R B
U' D B' L' U R' F'
L D' U' L' B' R' B'
B2 U' L' R' B' U R'
L D' U' B' R' B' L'
B2 U' R' L' B' U R'
U D' F L U' R B
B2 U' R' B' L' U R'
L2 D' B2 L' R' F' U'
L2 D' B2 R' L' F' U'
L D' B' U' B' L' R'
L D' B' U' B' R' L'
U' D' B' L' U R' F'
D' U' B' L' U R' F'
D2 U' B' L' U R' F'
D U' B' L' U R' F'
U D2 F L U' R B
U' D2 B' L' U R' F'
L2 F L U L F R
U F L U' R D B
U F L U' R D' B
U F L U' R D2 B
U F L U' R B D
U F L U' R B D'
U F L U' R B D2
U F L U' D R B
U F L U' D' R B
U F L U' D2 R B
U F L U' B R B
U F L U' B' R B
U F L U' B2 R B
U F L D U' R B
U F L D' U' R B
U F L D2 U' R B
B D L' U F L R
B D L' U F R L
U F D L U' R B
U F D' L U' R B
U F D2 L U' R B
F' D' L U' B' L' R'
F' D' L U' B' R' L'
R' F' D' L U' B' L'
U F2 L R F' U' R
U F2 L D R F' U'
U F2 L F' U' R B
R' F2 R F L U' L'
R2 F2 R F' L U' L'
U F2 R L F' U' R
U F2 R F' L U' R
R' F2 U R F L U'
R2 F2 U L R F' U'
R2 F2 U R L F' U'
R2 F2 U R F' L U'
U F2 D L R F' U'
U F2 D R L F' U'
U F2 D R F' L U'
R B D L' U F L
U' B' L' U R' D F'
U' B' L' U R' D' F'
U' B' L' U R' D2 F'
U' B' L' U R' F' D
