F R U F' B'
F R U B' F'
R F U F2 B'
R F U B' F2
F2 R U F' B' L'
F2 R U B' F' L'
R U F' D' B' L2
R U F' B' D' L2
F R U D F' B'
F R U D B' F'
F R U D' F' B'
F R U D' B' F'
F R U D2 F' B'
F R U D2 B' F'
F R U F' D B'
F R U F' D' B'
F R U F' D2 B'
F R U F' B' D
F R U F' B' D'
F R U F' B' D2
F R U B' D F'
F R U B' D' F'
F R U B' D2 F'
F R U B' F' D
F R U B' F' D'
F R U B' F' D2
R U B' F' D' L2
F R D U F' B'
F R D U B' F'
F R D' U F' B'
F R D' U B' F'
F R D2 U F' B'
F R D2 U B' F'
F' R F2 U F B'
F' R F2 U B' F
F R' U B' D2 F2
F R' U' B U2 B2
R D F U F2 B'
R D F U B' F2
F U R F' R' B'
F U B' R F' R'
R D' F U F2 B'
R D' F U B' F2
R D2 F U F2 B'
R D2 F U B' F2
F U2 R U' F' B'
F U2 R U' B' F'
R' F R2 U F' B'
R' F R2 U B' F'
R2 F R' U F' B'
R2 F R' U B' F'
R' F U B' D2 F2
R F R U F2 B'
R F R U B' F2
R' F U' B U2 B2
R F R' U F2 B'
R F R' U B' F2
R F R2 U F2 B'
R F R2 U B' F2
R F U F2 D B'
R F U F2 D B'
R F U F2 D' B'
R F U F2 D2 B'
R F U F2 B' D
R F U F2 B' D'
R F U F2 B' D2
R F U B' F2 D
R F U B' F2 D'
R F U B' F2 D2
R F D R2 U B'
D' F' R F2 U B'
F2 D' F' R U B'
L' R U F' B L B'
L' R U B L F' B'
L' R U B L B' F'
L' R U B F' L B'
F L U2 R U' F' B
F L U2 R U' B F'
F L D2 L' U F B'
F L D2 L' U B' F
R L' U F' B L B'
R L' U B L F' B'
R L' U B L B' F'
R L' U B F' L B'
D2 L' U F B L B'
D2 L' U B F L B'
F L2 R U F' D2 B2
F L2 R U' F U2 F2
F L2 R' U' F B U2
F L2 R' U' B F U2
R U D F' D' B' L2
R U D F' B' D' L2
R U D B' F' D' L2
R U D' F' D' B' L2
R U D' F' B' D' L2
R U D' B' F' D' L2
R U D2 F' D' B' L2
R U D2 F' B' D' L2
R U D2 B' F' D' L2
R2 U F R U R' B'
F R L2 U F' D2 B2
F R L2 U' F U2 F2
F2 R U L F' L' B'
R U F' L2 D' L2 B'
F' R U D' F' B' L2
F' R U D' B' L2 F'
F' R U D' B' F' L2
U' R U F U F2 B'
U' R U F U B' F2
F2 R U D F' B' L'
F2 R U D B' F' L'
F R U L' F' L B'
F2 R U D' F' B' L'
F2 R U D' B' F' L'
F2 R U D2 F' B' L'
R U F' U' F2 U B'
F2 R U D2 B' F' L'
F' R U B' D' L2 F'
F' R U B' D' F' L2
F2 R U F' D B' L'
F2 R U F' D' B' L'
F2 R U F' D2 B' L'
F2 R U F' B L' B2
F2 R U F' B' L' D
F2 R U F' B' L' D'
F2 R U F' B' L' D2
F2 R U F' B' D L'
F2 R U F' B' D' L'
F2 R U F' B' D2 L'
F2 R U F' B2 L' B
F R U R' B' R F'
R U F' D B' D2 L2
R U F' D' B L2 B2
R U F' D' B' L2 D
R U F' D' B' L2 D'
R U F' D' B' L2 D2
R U F' D' B2 L2 B
F R U D F' D B'
F R U D F' D' B'
F R U D F' D2 B'
F R U D F' B' D
F R U D F' B' D'
F R U D F' B' D2
F R U D B' D F'
F R U D B' D' F'
F R U D B' D2 F'
F R U D B' F' D
F R U D B' F' D'
F R U D B' F' D2
F2 R U B F' L' B2
F2 R U B' L F' L'
F2 R U B' L' F' L'
F2 R U B' L2 F' L'
F R U D' F' D B'
F R U D' F' D' B'
F R U D' F' D2 B'
F R U D' F' B' D
F R U D' F' B' D'
F R U D' F' B' D2
F R U D' B' D F'
F R U D' B' D' F'
F R U D' B' D2 F'
F2 R U B' D F' L'
F R U D' B' F' D
F R U D' B' F' D'
F R U D' B' F' D2
F2 R U B' D' F' L'
F2 R U B' D2 F' L'
F2 R U B' F' L' D
F2 R U B' F' L' D'
F2 R U B' F' L' D2
R U F' B' L D' L2
F2 R U B' F' D L'
F2 R U B' F' D' L'
F2 R U B' F' D2 L'
R U F' B' L' D' L2
R U F' B' L2 D' L2
F R U D2 F' D B'
F R U D2 F' D' B'
F R U D2 F' D2 B'
F R U D2 F' B' D
F R U D2 F' B' D'
F R U D2 F' B' D2
R U F' B' U' F2 U
F R U D2 B' D F'
F R U D2 B' D' F'
F R U D2 B' D2 F'
F R U D2 B' F' D
F R U D2 B' F' D'
F R U D2 B' F' D2
R U F' B' D' L2 D
R U F' B' D' L2 D'
R U F' B' D' L2 D2
F2 R U B2 F' L' B
R U F' B2 D' L2 B
R U F' B2 D' B L2
F R U F' R' B' R
F R U F' R2 B' R2
F R U F' D B' D
F R U F' D B' D'
F R U F' D B' D2
F R U F' D' B' D
F R U F' D' B' D'
F R U F' D' B' D2
F R U F' D2 B' D
F R U F' D2 B' D'
F R U F' D2 B' D2
F R U F' B2 D B
F R U F' B2 D' B
F R U F' B2 D2 B
F R U F2 D F B'
F R U F2 D B' F
F R U F2 D' F B'
F R U F2 D' B' F
F R U F2 D2 F B'
F R U F2 D2 B' F
F R U F2 B' D F
F R U F2 B' D' F
F R U F2 B' D2 F
F R U B' L' F' L
F R U B' L2 F' L2
F R U B' D F' D
F R U B' D F' D'
F R U B' D F' D2
F R U B' D' F' D
F R U B' D' F' D'
F R U B' D' F' D2
F R U B' D2 F' D
F R U B' D2 F' D'
F R U B' D2 F' D2
F R U B' F2 D F
F R U B' F2 D' F
F R U B' F2 D2 F
F R U B2 D F' B
F R U B2 D B F'
F R U B2 D' F' B
F R U B2 D' B F'
F R U B2 D2 F' B
F R U B2 D2 B F'
F R U B2 F' D B
F R U B2 F' D' B
F R U B2 F' D2 B
U2 R U' F' D' B' L2
U2 R U' F' B' D' L2
U2 R U' B' F' D' L2
F R U' F U2 F2 B'
F R U' F U2 B' F2
F R U' F2 U2 F B'
F R U' F2 U2 B' F
F R U' B U2 F' B2
F R U' B U2 B2 F'
F R U' B2 U2 F' B
F R U' B2 U2 B F'
U' R U2 F' D' B' L2
U' R U2 F' B' D' L2
U2 R U2 F U F2 B'
U2 R U2 F U B' F2
U' R U2 B' F' D' L2
F2 R D U F' B' L'
F2 R D U B' F' L'
R U B' U' F U F2
R U B' D F' D' L2
R U B' D' F' D' L2
R U B' D2 F' D' L2
F R D U F' D B'
F R D U F' D' B'
F R D U F' D2 B'
F R D U F' B' D
F R D U F' B' D'
F R D U F' B' D2
F R D U B' D F'
F R D U B' D' F'
F R D U B' D2 F'
F R D U B' F' D
F R D U B' F' D'
F R D U B' F' D2
R U B' F' L D' L2
R U B' F' L' D' L2
R U B' F' L2 D' L2
R U B' F' U' F2 U
R U B' F' D' L2 D
R U B' F' D' L2 D'
R U B' F' D' L2 D2
F' R D' U F' B' L2
F' R D' U B' L2 F'
F' R D' U B' F' L2
B' R D' F' R D' L2
B' R D' F' D' L2 R
B' R D' F' D' R L2
F2 R D' U F' B' L'
F2 R D' U B' F' L'
F R D' U F' D B'
F R D' U F' D' B'
F R D' U F' D2 B'
F R D' U F' B' D
F R D' U F' B' D'
F R D' U F' B' D2
F R D' U B' D F'
F R D' U B' D' F'
F R D' U B' D2 F'
F R D' U B' F' D
F R D' U B' F' D'
F R D' U B' F' D2
R U B2 F' D' L2 B
R U B2 F' D' B L2
F2 R D2 U F' B' L'
F2 R D2 U B' F' L'
F R D2 U F' D B'
F R D2 U F' D' B'
F R D2 U F' D2 B'
F R D2 U F' B' D
F R D2 U F' B' D'
F R D2 U F' B' D2
F R D2 U B' D F'
F R D2 U B' D' F'
F R D2 U B' D2 F'
F R D2 U B' F' D
F R D2 U B' F' D'
F R D2 U B' F' D2
D' R F' R F2 U B'
U R F U R' F2 B'
U R F U R' B' F2
U R F U F2 R' B'
B R F B' U F2 B'
B R F B' U B' F2
U R F' R' D' B' L2
U R F' R' B' D' L2
F' R F2 R U F B'
F' R F2 R U B' F
F' R F2 R' U F B'
F' R F2 R' U B' F
F' R F2 R2 U F B'
F' R F2 R2 U B' F
F' R F2 U D F B'
F' R F2 U D B' F
F' R F2 U D' F B'
F' R F2 U D' B' F
F' R F2 U D2 F B'
F' R F2 U D2 B' F
F' R F2 U F D B'
F' R F2 U F D' B'
F' R F2 U F D2 B'
F' R F2 U F B' D
F' R F2 U F B' D'
F' R F2 U F B' D2
F' R F2 U B' D F
F' R F2 U B' D' F
F' R F2 U B' D2 F
F' R F2 U B' F D
F' R F2 U B' F D'
F' R F2 U B' F D2
U R F' D' R' B' L2
F' R F2 D U F B'
F' R F2 D U B' F
F' R F2 D' U F B'
F' R F2 D' U B' F
F' R F2 D2 U F B'
F' R F2 D2 U B' F
B R B' F U F2 B'
B R B' F U B' F2
F R' L2 U' F B U2
F R' L2 U' B F U2
F R' U R2 F' R2 B'
F R' U R2 F' B' R2
F R' U R2 B' F' R2
F R' U D B' D2 F2
F R' U D' B' D2 F2
F R' U D2 B' D2 F2
F R' U F B' D2 F2
F R' U F' B' D2 F2
F R' U F2 B' D2 F2
R' U' B U F U B2
F R' U B' U2 B2 U2
F R' U B' D2 F2 D
F R' U B' D2 F2 D'
F R' U B' D2 F2 D2
F R' U B' F D2 F2
F R' U B' F' D2 F2
F R' U B' F2 D2 F2
F R' U' D B U2 B2
F R' U' D' B U2 B2
F R' U' D2 B U2 B2
F R' U' F B U2 B2
F R' U' F' B U2 B2
F R' U' F2 B U2 B2
F R' U' B U2 B2 D
F R' U' B U2 B2 D'
F R' U' B U2 B2 D2
F R' U' B D2 F2 U2
F R' U' B F U2 B2
F R' U' B F' U2 B2
F R' U' B F2 U2 B2
F R' U2 R2 U' F' B'
F R' U2 R2 U' B' F'
F R' D R2 U F' B'
F R' D R2 U B' F'
F R' D U B' D2 F2
F R' D U' B U2 B2
F R' D' R2 U F' B'
F R' D' R2 U B' F'
F R' D' U B' D2 F2
F R' D' U' B U2 B2
F R' D2 R2 U F' B'
F R' D2 R2 U B' F'
F R' D2 U B' D2 F2
F R' D2 U' B U2 B2
D' R' F' R F2 U B'
F' R' F2 R2 U F' B'
F' R' F2 R2 U B' F'
F' R' F2 U B' D2 F2
F' R' F2 U' B U2 B2
U' R' B U F U B2
U' R2 U F R U B'
F R2 D R' U F' B'
F R2 D R' U B' F'
F R2 D' R' U F' B'
F R2 D' R' U B' F'
F R2 D2 R' U F' B'
F R2 D2 R' U B' F'
D' R2 F' R F2 U B'
F' R2 F2 R' U F' B'
F' R2 F2 R' U B' F'
R2 D R' F U F2 B'
R2 D R' F U B' F2
R' D R2 F U F2 B'
R' D R2 F U B' F2
R D U F' D' B' L2
R D U F' B' D' L2
R D U B' F' D' L2
R' D F R2 U F' B'
R' D F R2 U B' F'
R' D F U B' D2 F2
R' D F U' B U2 B2
F U L D2 L' F B'
F U L D2 L' B' F
R2 D F R' U F' B'
R2 D F R' U B' F'
R D F R U F2 B'
R D F R U B' F2
R D F R' U F2 B'
R D F R' U B' F2
R D F R2 U F2 B'
R D F R2 U B' F2
R D F U F2 D B'
R D F U F2 D' B'
R D F U F2 D2 B'
R D F U F2 B' D
R D F U F2 B' D'
R D F U F2 B' D2
R D F U B' F2 D
R D F U B' F2 D'
R D F U B' F2 D2
R D F D R2 U B'
F U R D F' R' B'
F U R D' F' R' B'
F U R D2 F' R' B'
F U R F R' F2 B'
F U R F R' B' F2
F U R F' R B' R2
F U R F' R' D B'
F U R F' R' D' B'
F U R F' R' D2 B'
F U R F' R' B' D
F U R F' R' B' D'
F U R F' R' B' D2
F U R F' R2 B' R
F U R F' D R' B'
F U R F' D' R' B'
F U R F' D2 R' B'
F U R F2 R' F B'
F U R F2 R' B' F
F U R B' D2 F' R
F U R' B' R D2 F2
F U R' B' D2 R F2
F U R2 B' R' F' R'
F U D B' U L U'
F U D2 L' F L B'
F U D2 B' L' F L
F U F R F' R' B'
F U F B' R F' R'
F U F' R F' R' B'
F U F' B' R F' R'
F U F2 R F' R' B'
R' D' R2 F U F2 B'
R' D' R2 F U B' F2
R2 D' R' F U F2 B'
R2 D' R' F U B' F2
F U F2 B' R F' R'
F U B R F' R' B2
F U B' L D2 L' F
F U B' R D F' R'
F U B' R D' F' R'
F U B' R D2 F' R'
F U B' R F R' F2
F U B' R F' R' D
F U B' R F' R' D'
F U B' R F' R' D2
F U B' R F' D R'
F U B' R F' D' R'
F U B' R F' D2 R'
F U B' R F2 R' F
F U B' U' R U F'
F U B' D2 L' F L
F U B' F R F' R'
F U B' F' R F' R'
F U B' F2 R F' R'
R D' U F' D' B' L2
R D' U F' B' D' L2
F U B2 R F' R' B
R D' U B' F' D' L2
R' D' F R2 U F' B'
R' D' F R2 U B' F'
R' D' F U B' D2 F2
R' D' F U' B U2 B2
R2 D' F R' U F' B'
R2 D' F R' U B' F'
R D' F R U F2 B'
R D' F R U B' F2
R D' F R' U F2 B'
R D' F R' U B' F2
R D' F R2 U F2 B'
R D' F R2 U B' F2
R D' F U F2 D B'
R D' F U F2 D' B'
R D' F U F2 D2 B'
R D' F U F2 B' D
R D' F U F2 B' D'
R D' F U F2 B' D2
R D' F U B' F2 D
R D' F U B' F2 D'
R D' F U B' F2 D2
R D' F D R2 U B'
F U' R' B R U2 B2
B' U' D F B R' U
B' U' D B R' F U
B' U' D B F R' U
B' U' F D B R' U
B' U' F B R U F'
B' U' B R F U F2
B' U' B F R U F'
R' D2 R2 F U F2 B'
R' D2 R2 F U B' F2
R2 D2 R' F U F2 B'
R2 D2 R' F U B' F2
R D2 U F' D' B' L2
R D2 U F' B' D' L2
R D2 U B' F' D' L2
R' D2 F R2 U F' B'
R' D2 F R2 U B' F'
R' D2 F U B' D2 F2
R' D2 F U' B U2 B2
R2 D2 F R' U F' B'
R2 D2 F R' U B' F'
R D2 F R U F2 B'
R D2 F R U B' F2
R D2 F R' U F2 B'
R D2 F R' U B' F2
R D2 F R2 U F2 B'
R D2 F R2 U B' F2
R D2 F U F2 D B'
R D2 F U F2 D' B'
R D2 F U F2 D2 B'
R D2 F U F2 B' D
R D2 F U F2 B' D'
R D2 F U F2 B' D2
R D2 F U B' F2 D
R D2 F U B' F2 D'
R D2 F U B' F2 D2
R D2 F D R2 U B'
F U2 R U' D F' B'
F U2 R U' D B' F'
F U2 R U' D' F' B'
F U2 R U' D' B' F'
F U2 R U' D2 F' B'
F U2 R U' D2 B' F'
F U2 R U' F' D B'
F U2 R U' F' D' B'
F U2 R U' F' D2 B'
F U2 R U' F' B' D
F U2 R U' F' B' D'
F U2 R U' F' B' D2
F U2 R U' B' D F'
F U2 R U' B' D' F'
F U2 R U' B' D2 F'
F U2 R U' B' F' D
F U2 R U' B' F' D'
F U2 R U' B' F' D2
F U2 R D U' F' B'
F U2 R D U' B' F'
F U2 R D' U' F' B'
F U2 R D' U' B' F'
F U2 R D2 U' F' B'
F U2 R D2 U' B' F'
F U2 R' U B U2 B2
F U2 R' U' B' D2 F2
R' F L2 U' F B U2
R' F L2 U' B F U2
R F L2 U' F U2 F
R2 F R U B' D2 F2
R2 F R U' B U2 B2
U F R U F' R' B'
R' F R2 U D F' B'
R' F R2 U D B' F'
R' F R2 U D' F' B'
R' F R2 U D' B' F'
R' F R2 U D2 F' B'
R' F R2 U D2 B' F'
R' F R2 U F' D B'
R' F R2 U F' D' B'
R' F R2 U F' D2 B'
R' F R2 U F' B' D
R' F R2 U F' B' D'
R' F R2 U F' B' D2
R' F R2 U B' D F'
R' F R2 U B' D' F'
R' F R2 U B' D2 F'
R' F R2 U B' F' D
R' F R2 U B' F' D'
R' F R2 U B' F' D2
R F R U F2 D B'
R F R U F2 D' B'
R F R U F2 D2 B'
R F R U F2 B' D
R F R U F2 B' D'
