B2 L U R U B L
U' R U2 B R' U' R'
U R B' L F U R2
D' R' D' F' L' F' B
D' R' D' F' L' B F'
D' R' D' F' B L' F'
D' R' D' B F' L' F'
D' R' F D' F2 L' B
D' R' F D' F2 B L'
D' R' F D' B F2 L'
D' R' F B D' F2 L'
D' R' F' L' D' F2 B
D' R' F' L' D' B F2
D' R' F' L' B D' F2
D' R' F' D' L' F2 B
D' R' F' D' L' B F2
D' R' F' D' B L' F2
D' R' F' B L' D' F2
D' R' F' B D' L' F2
D' R' B D' F' L' F'
D' R' B F D' F2 L'
D' R' B F' L' D' F2
D' R' B F' D' L' F2
R U2 B R' U' L R'
R U2 B R' U' R' L
R' D F' L B' L2 F
D' U R U R2 B L
F' U' L' D' R' F' B
F' U' L' D' R' B F'
U D' R U R2 B L
U2 D' R' D' F2 B L
U2 D' R' D' B L F2
U2 D' R' D' B F2 L
U2 D' R' B L D' F2
U2 D' R' B D' L F2
U2 D' R' B D' F2 L
R' D' F2 D2 L B' L
R' D' F2 D2 B' L B'
F' U' D' L' R' F' B
F' U' D' L' R' B F'
F' U' D' R' L' F' B
F' U' D' R' L' B F'
F' U' D' R' B L' F'
D' U2 R' D' F2 B L
D' U2 R' D' B L F2
D' U2 R' D' B F2 L
D' U2 R' B L D' F2
D' U2 R' B D' L F2
D' U2 R' B D' F2 L
D' F' U' L' R' F' B
D' F' U' L' R' B F'
D' F' U' R' L' F' B
D' F' U' R' L' B F'
D' F' U' R' B L' F'
R' F' D L B' L2 F
R' F' B' L' D' F2 B2
R' F' B' L' D' B2 F2
F' D' U' L' R' F' B
F' D' U' L' R' B F'
F' D' U' R' L' F' B
F' D' U' R' L' B F'
F' D' U' R' B L' F'
R F' B' L U L2 R2
R F' B' L U R2 L2
F D' F2 L' R' F B
F D' F2 L' R' B F
F D' F2 L' F R' B
F D' F2 R' L' F B
F D' F2 R' L' B F
F D' F2 R' B L' F
R B' L F' U L' R2
R B' L F' U R2 L'
R' B' F' L' D' F2 B2
R' B' F' L' D' B2 F2
R B' F' L U L2 R2
R B' F' L U R2 L2
