F' R F' R U' L'
L' R U2 F' L U' L'
R L' U2 F' L U' L'
F2 L' R F' L U' L'
F2 L' R F' L U' L'
F2 L' U L R F' U'
F2 L' U R L F' U'
F2 L' U R F' L U'
U2 L' U' R U' F' U'
F2 L2 R F' L2 U' L'
R U L' U2 F' U' F
R2 U R' U L' B' U
F2 R L' F' L U' L'
F2 R L2 F' L2 U' L'
U R U L' U2 F' U'
F2 R U' L' U F' U'
U R U' F2 R F U'
F' R F' R U' L' D
F' R F' R U' L' D'
F' R F' R U' L' D2
F' R F' R U' D L'
F' R F' R U' D' L'
F' R F' R U' D2 L'
F' R F' R D U' L'
F' R F' R D' U' L'
F' R F' R D2 U' L'
F' R F' R B U' L'
F' R F' R B' U' L'
F' R F' R B2 U' L'
F' R F' D R U' L'
L' U' R U' L F' U'
F' R F' D' R U' L'
L' U' R U' F' L U'
F2 R F' U' F L' F'
F' R F' D2 R U' L'
F2 R F' U2 F U L'
F' R F' B R U' L'
F' R F' B' R U' L'
F' R F' B2 R U' L'
F2 R F' D2 B' U' L
U R F2 U' R F U'
F' R B F' R U' L'
F' R B' F' R U' L'
F' R B2 F' R U' L'
R U' F2 R F U' F
R' U2 L' D' F2 B U
R' U2 L' D' B F2 U
R' U2 L' D2 B U L2
R' U2 L' B U D2 L2
R' U2 L' B U' R2 U2
R' U2 L' B D' F2 U
R' U2 L' B D2 U L2
F2 R' F R2 F' U' L'
R U2 L' U2 F' U' L
R' U2 D' L' F2 B U
R' U2 D' L' B F2 U
R' U2 D' B L' F2 U
R' U2 D2 L' B U L'
R' U2 D2 B L' U L'
R' U2 B L' U D2 L2
R' U2 B L' U' R2 U2
R' U2 B L' D' F2 U
R' U2 B L' D2 U L2
R' U2 B D' L' F2 U
R' U2 B D2 L' U L'
R2 U2 B' L' B' U L
R2 U2 B2 L' B' U L2
F2 R2 F R' F' U' L'
F2 R2 B U' L' B' R'
R' D B2 U2 B' L' U
R' D' U2 L' F2 B U
R' D' U2 L' B F2 U
R' D' U2 B L' F2 U
F2 U' L' U R F' U'
F2 U' R F' U' F L'
R' D2 U2 L' B U L'
R' D2 U2 B L' U L'
F2 D R B U' L' R'
F2 D R B U' R' L'
F2 D B R U' L' R2
F2 D B R U' R2 L'
R F' U2 F L' U L
D F2 R B U' L' R'
D F2 R B U' R' L'
R F2 R F U R' U2
R F2 R F B2 U' L
R F2 R B2 F U' L
R F2 U' R F U' F'
D F2 B R U' L' R2
D F2 B R U' R2 L'
L' F2 B2 R' B U L'
F' B R F' R U' L'
D B F2 R U' L' R2
D B F2 R U' R2 L'
B' F' R F' R U' L'
F' B' R F' R U' L'
B2 F' R F' R U' L'
R2 B' U2 L' B' U L
B F' R F' R U' L'
R' B' D2 F2 R U' L2
L' B2 R' D' F2 B U
L' B2 R' D' B F2 U
L' B2 R' D2 B U L2
L' B2 R' B U D2 L2
L' B2 R' B U' R2 U2
L' B2 R' B D' F2 U
L' B2 R' B D2 U L2
F' B2 R F' R U' L'
R2 B2 U2 L' B' U L2
L' B2 F2 R' B U L'
