L2 U' R U' F' L'
L2 R' U' R2 U' F' L'
L2 R' D B U2 L B
L2 R' D' F2 B U2 L
L2 R' D' B F2 U2 L
L2 R' B U' R2 U' L
L2 R' B U2 L D B2
L2 R' B U2 D L B2
L2 R' B D U2 L B2
L2 R' B D' F2 U2 L
R' L2 U' R2 U' F' L'
R' L2 D B U2 L B
R' L2 D' F2 B U2 L
R' L2 D' B F2 U2 L
B' L2 R' U' R2 U' F'
B' L2 R' D B U2 B
B' L2 R' D' F2 B U2
B' L2 R' D' B F2 U2
B' L2 R' B U' R2 U'
B' L2 R' B U2 D B2
B' L2 R' B D U2 B2
B' L2 R' B D' F2 U2
U2 L2 U' R B U' F'
B L2 U' R U' L' F'
R' L2 B U' R2 U' L
R' L2 B U2 L D B2
R' L2 B U2 D L B2
R' L2 B D U2 L B2
R' L2 B D' F2 U2 L
B' R U L2 R2 B U2
U' R U L2 U2 F' L'
B' R U R2 L2 B U2
B' R U R2 B L2 U2
B R U L2 U2 L' F'
B' R U' D2 L2 F' R2
B' R U' D2 F' L2 R2
B' R U' D2 F' R2 L2
U' R U' D2 F' L' R2
U' R U' D2 F' R2 L'
B' R U' F' D2 L2 R2
B' R U' F' D2 R2 L2
U' R U' F' D2 L' R2
U' R U' F' D2 R2 L'
B R U' D2 L F' R2
B R U' D2 F' L R2
B R U' D2 F' R2 L
B R U' F' D2 L R2
B R U' F' D2 R2 L
B' R D F2 B2 U' F
B' R D B2 F2 U' F
U2 R D F2 U' F L'
B R D F2 U' F L
U R D F2 B U' F
U R D B F2 U' F
B' R D2 U' L2 F' R2
B' R D2 U' F' L2 R2
B' R D2 U' F' R2 L2
U' R D2 U' F' L' R2
U' R D2 U' F' R2 L'
L2 U' L' R B' U' F'
B R D2 U' L F' R2
B R D2 U' F' L R2
B R D2 U' F' R2 L
U R D2 B U' F' R2
L2 U' L' B' R U' F'
L2 U' R L' B' U' F'
L2 U' R U' L F' L'
L2 U' R U' L' F' L'
L2 U' R U' L2 F' L'
L2 U' R U' D F' L'
L2 U' R U' D' F' L'
L2 U' R U' D2 F' L'
L2 U' R U' F' L' D
L2 U' R U' F' L' D'
L2 U' R U' F' L' D2
L2 U' R U' F' D L'
L2 U' R U' F' D' L'
L2 U' R U' F' D2 L'
L2 U' R D U' F' L'
L2 U' R D' U' F' L'
L2 U' R D2 U' F' L'
L2 U' R B U' F' L'
L2 U' R B' U' F' L'
L2 U' R B2 U' F' L'
U R B U L2 U2 F'
U R B U' D2 F' R2
U R B U' F' D2 R2
U R B D F2 U' F
U R B D2 U' F' R2
B' R' L2 U' R2 U' F'
B' R' L2 D B U2 B
B' R' L2 D' F2 B U2
B' R' L2 D' B F2 U2
B' R' L2 B U' R2 U'
B' R' L2 B U2 D B2
B' R' L2 B D U2 B2
B' R' L2 B D' F2 U2
L2 U' B R U' F' L'
L2 U' B' R U' F' L'
L2 U' B2 R U' F' L'
B' R' B L2 U' R2 U'
B' R' B L2 U2 D B2
B' R' B L2 D U2 B2
B' R' B L2 D' F2 U2
R D F2 B U' F L
R D B F2 U' F L
R D2 B U' L F' R2
R D2 B U' F' L R2
R D2 B U' F' R2 L
R' B L2 U' R2 U' L'
R' B L2 U2 L' D B2
R' B L2 U2 D L' B2
R' B L2 U2 D B2 L'
R' B L2 D U2 L' B2
R' B L2 D U2 B2 L'
R' B L2 D' F2 R U2
R' B U2 L D B2 R'
L2 B U' R U' L F'
L2 B U' R U' F' L
R B U L2 U2 L' F'
R B U' D2 L F' R2
R B U' D2 F' L R2
R B U' D2 F' R2 L
R B U' F' D2 L R2
R B U' F' D2 R2 L
R B D F2 U' F L
R B D2 U' L F' R2
R B D2 U' F' L R2
R B D2 U' F' R2 L
L2 B' R' U' R2 U' F'
L2 B' R' D B U2 B
L2 B' R' D' F2 B U2
L2 B' R' D' B F2 U2
L2 B' R' B U' R2 U'
L2 B' R' B U2 D B2
L2 B' R' B D U2 B2
L2 B' R' B D' F2 U2
