B' L U' R B2 U'
B' L U' B2 R U'
B R U B2 U2 R2
B R U' R2 D2 F2
B' U' R B2 U' R'
B' U' B2 R U' R2
B D L2 R U' R2
B D R L2 U' R2
B D2 R U' R2 F2
B D2 R U' F2 R2
L2 B R U' R2 F
L2 B R U' F R2
B' L R U' B2 U' B2
B L R U B2 U2 R2
B L R U' R2 D2 F2
B' L R' U' R2 B2 U'
B' L R' U' B2 R2 U'
B' L R' U2 D L2 B2
B' L R' U2 D B2 L2
B' L R' D U2 L2 B2
B' L R' D U2 B2 L2
B' L R' D' R2 F2 U2
B' L R' D' F2 R2 U2
B' L R2 U' R' B2 U'
B' L U D2 F2 L' U
B' L U' R U' D L2
B' L U' R D U' L2
B' L U' R B2 U' D
B' L U' R B2 U' D'
B' L U' R B2 U' D2
B' L U' R B2 D U'
B' L U' R B2 D' U'
B' L U' R B2 D2 U'
B' L U' R' B2 R2 U'
B' L U' D R U' L2
B' L U' B' R B' U'
B' L U' B2 R U' D
B' L U' B2 R U' D'
B' L U' B2 R U' D2
B' L U' B2 R D U'
B' L U' B2 R D' U'
B' L U' B2 R D' U'
B' L U' B2 R D2 U'
B' L U' B2 D R U'
B' L U' B2 D' R U'
B' L U' B2 D2 R U'
B L D L2 R U' R2
B L D R L2 U' R2
B' L D U' R U' L2
B' L D' R2 U' R' U'
B L D2 R U' R2 F2
B L D2 R U' F2 R2
B' L D2 U F2 L' U
B L' R U B2 U2 R2
B L' R U' R2 D2 F2
B L' D L2 R U' R2
B L' D R L2 U' R2
B L' D2 R U' R2 F2
B L' D2 R U' F2 R2
B L2 R U B2 U2 R2
B L2 R U' R2 D2 F2
B L2 D L2 R U' R2
B L2 D R L2 U' R2
B L2 D2 R U' R2 F2
B L2 D2 R U' F2 R2
D' L2 B R F' U' F2
U' L2 B R U' R2 F
U' L2 B R U' F R2
U2 L2 B R U' R2 F
U2 L2 B R U' F R2
D L2 B R U' F R
U L2 B R U' R2 F
U L2 B R U' F R2
B' R L U' B2 U' B2
B R L U B2 U2 R2
B R L U' R2 D2 F2
B R L' U B2 U2 R2
B R L' U' R2 D2 F2
B R L2 U B2 U2 R2
B R L2 U' R2 D2 F2
B R U L B2 U2 R2
B R U L' B2 U2 R2
B R U L2 B2 U2 R2
B R U D2 L2 U2 F2
B R U B U2 R2 F'
B R U B2 L U2 R2
B R U B2 L' U2 R2
B R U B2 L2 U2 R2
B R U B2 U2 R2 D
B R U B2 U2 R2 D'
B R U B2 U2 R2 D2
B R U B2 D2 L2 U2
B R U' R D2 R F2
B R U' R' D2 R' F2
B R U' R' D2 F2 R'
B R U' R2 U2 B2 U2
B R U' R2 D2 F2 D
B R U' R2 D2 F2 D'
B R U' R2 D2 F2 D2
B R U' R2 F D2 F2
B R U' R2 F' D2 F2
B R U' R2 F2 D2 F2
B' R U' B2 U' R' B2
B R U' D2 F2 D2 R2
L2 U B R U' R2 F
B R U' F R2 D2 F2
L2 U B R U' F R2
B R U' F' R2 D2 F2
L U B L R U' R2
B R U' F2 R2 D2 F2
B R U' B R2 F' B'
B R U' B R2 B' F'
L U B R L U' R2
B R U2 B U R2 F'
B R D L2 U' D' R2
B R D L2 U2 B2 U
B R D L2 D' U' R2
B R D L2 D2 F2 U'
B2 R D B' L U' R'
B R D' F2 U' D' F2
B R D' F2 U2 R2 U
B R D' F2 D' U' F2
B R D' F2 D2 L2 U'
B R D2 L' U' F2 R
B R D2 U L2 U2 F2
B R D2 U' F2 D2 R2
B R F U B2 U2 R2
B R F U' R2 D2 F2
B R F' U B2 U2 R2
B R F' U' R2 D2 F2
B R F2 U B2 U2 R2
B R F2 U' R2 D2 F2
B2 R B' U' R F' R2
B' R B2 U B2 L U2
B' R B2 U' R' D2 F2
B' R B2 U' D2 R' F2
B' R B2 U' D2 F2 R'
B' R B2 D L2 U' R'
B' R B2 D2 U' R' F2
B' R B2 D2 U' F2 R'
B' R' L U' R2 B2 U'
B' R' L U' B2 R2 U'
B' R' L U2 D L2 B2
B' R' L U2 D B2 L2
B' R' L D U2 L2 B2
B' R' L D U2 B2 L2
B' R' L D' R2 F2 U2
B' R' L D' F2 R2 U2
B' R' U' R2 B2 U' R'
B' R' U' B2 R2 U' R
L2 U' B R U' R2 F
L2 U' B R U' F R2
B' R' U2 D B2 L2 R'
B' R' U2 D B2 R' L2
B' R' D L U2 L B2
B' R' D U2 B2 L2 R'
B' R' D U2 B2 R' L2
B' R' D' L R2 F2 U2
B' R' D' L F2 R2 U2
B' R' D' R2 L F2 U2
B' R' D' R2 F2 L U2
B R' D B2 D L2 F2
B R' D B2 D F2 L2
B' R' D' F2 L R2 U2
B' R' D' F2 R2 L U2
B2 R' B' R2 U' R F'
B' R2 L U' R' B2 U'
B' R2 U' R' B2 U' R'
L2 U2 B R U' R2 F
L2 U2 B R U' F R2
L U2 B R U' R2 F'
B R2 D L2 R' U' R2
B R2 D R' L2 U' R2
B R2 D2 R' U' R2 F2
B R2 D2 R' U' F2 R2
B' U R B2 L U' R'
B U B2 L U' R U'
B' U' R F B2 U' R'
B' U' R F' B2 U' R'
B' U' R F2 B2 U' R'
B' U' R B2 U' R' D
B' U' R B2 U' R' D'
B' U' R B2 U' R' D2
B' U' R B2 U' D R'
B' U' R B2 U' D' R'
B' U' R B2 U' D2 R'
B' U' R B2 D U' R'
B' U' R B2 D' U' R'
B' U' R B2 D2 U' R'
B' U' R B2 F U' R'
B' U' R B2 F' U' R'
B' U' R B2 F2 U' R'
L2 D' B R F' U' F2
B' U' R' B2 R2 U' R
B U' R' D B2 D F2
B U' R' D2 F2 D' B2
B U' D R' D F2 B2
B U' D R' D B2 F2
B U' D2 R' F2 D B2
B' U' B' R B' U' R'
B' U' B2 R U' R2 D
B' U' B2 R U' R2 D'
B' U' B2 R U' R2 D2
