U B L F U' B
F L R B2 D' F L'
R2 L F R B2 D' L2
R2 L F B2 R D' L2
R2 L F B2 D' L2 R
R2 L F B2 D' R L2
R2 L F' U F2 R B2
R2 L F' U F2 B2 R
R2 L F' U B2 F2 R
U L F B L U' B
B L F' U' F2 B R
B L F' U' B F2 R
B L F2 U' F' B R
B L F2 U' B F' R
L R B2 D' F L' R
L R B2 D' F R L'
R L B2 D' F L' R
R L B2 D' F R L'
R2 L B2 F R D' L2
R2 L B2 F D' L2 R
R2 L B2 F D' R L2
F L B U' B R F
U L B F L U' B
B2 L' D L2 F L' R
B2 L' D L2 F R L'
F' L' B' U' B2 U' B
F' L' B' U2 D B' L2
F' L' B' D U2 B' L2
F' L' B' D' R2 U2 B'
L R2 F R B2 D' L2
L R2 F B2 R D' L2
L R2 F B2 D' L2 R
L R2 F B2 D' R L2
L R2 F' U F2 R B2
L R2 F' U F2 B2 R
L R2 F' U B2 F2 R
L R2 B2 F R D' L2
L R2 B2 F D' L2 R
L R2 B2 F D' R L2
F R L B2 D' F L'
L U B U' F B R
L U B U' B F R
F R B' D B' L F
F R B2 L D' F L'
F R B2 D' L F L'
D' U B L R2 F U'
D' U B L F R2 U'
D' U B R2 L F U'
B2 U B L F B2 U'
B2 U B L B2 F U'
F U B L U' B R
U D' B L R2 F U'
U D' B L F R2 U'
U D' B R2 L F U'
B' U2 D B' L2 R' F'
B' U2 D B' R' L2 F'
B' U2 D B' R' F' L2
L F R B' D B' L
L F U B U' B R
U F B L F U' B
L F B' R D B' L2
L F B' D R B' L2
L F B' D B' L2 R
L F B' D B' R L2
L F B2 R U B' U'
B' D U2 B' L2 R' F'
B' D U2 B' R' L2 F'
B' D U2 B' R' F' L2
L F B2 U B' U' R
B' D B' L F L R
B' D B' L F R L
B' D' R2 U2 B' R' F'
U F' B L F U' B
L F' B U' F2 B R
L F' B U' B F2 R
U F2 B L F U' B
L F2 B U' F' B R
L F2 B U' B F' R
U B L D F U' B
U B L D' F U' B
U B L D2 F U' B
U B L F U' D B
U B L F U' D' B
U B L F U' D2 B
U B L F U' B D
U B L F U' B D'
U B L F U' B D2
U B L F D U' B
U B L F D' U' B
U B L F D2 U' B
U' B U' B' R' F' B2
U' B U' B' R' B2 F'
B F L U' B R F
F B L U' B R F
U B D L F U' B
U B D' L F U' B
U B D2 L F U' B
U B F L F U' B
U B F' L F U' B
L B F' U' F2 B R
L B F' U' B F2 R
U B F2 L F U' B
L B F2 U' F' B R
L B F2 U' B F' R
U2 B' R' D F' B' L2
U2 B' R' D B' L2 F'
U2 B' R' D B' F' L2
U2 B' R' F' D B' L2
L' B' U2 D B' L2 R'
L' B' U2 D B' R' L2
L' B' D U2 B' L2 R'
L' B' D U2 B' R' L2
U2 B' D R' F' B' L2
U2 B' D R' B' L2 F'
U2 B' D R' B' F' L2
L' B' D' R2 U2 B' R'
L B' D F R B' L2
L B' D F B' L2 R
L B' D F B' R L2
L B' D B' F L2 R
L B' D B' F R L2
R B' D B' L F R
L B' F R D B' L2
L B' F D R B' L2
L B' F D B' L2 R
L B' F D B' R L2
R2 B2 L F R D' L2
R2 B2 L F D' L2 R
R2 B2 L F D' R L2
L2 B2 L' D F L' R
L2 B2 L' D F R L'
R B2 L D' F L' R
R B2 L D' F R L'
L B2 U B' U' F R
U B2 U B' L U' R'
R B2 D' L F L' R
R B2 D' L F R L'
L B2 F R U B' U'
L B2 F U B' U' R
