U L U F' L' F2 R
U L U' L2 B' R' U2
U' L' U L2 F R U
L' U L2 U F' L' F
B2 R' U L' B' U2 L
B' U L' R' F' B' U2
B' U L' R' B' F' U2
B' U R' L' F' B' U2
B' U R' L' B' F' U2
B' U' L' R' U2 F' B'
B' U' L' R' U2 B' F'
F U' L R F B U
F U' L R B F U
B' U' R' L' U2 F' B'
B' U' R' L' U2 B' F'
F U' R L F B U
F U' R L B F U
L D2 B U L R2 F
L D2 B U L F R2
L D2 B U R2 L F
L' B U L2 U L' F
L B U D2 L R2 F
L B U D2 L F R2
L B U D2 R2 L F
L B D2 U L R2 F
L B D2 U L F R2
L B D2 U R2 L F
F2 B D L R F' B'
F2 B D L R B' F'
F2 B D L B' R F'
F2 B D R L F' B'
F2 B D R L B' F'
F2 B D R F' L B'
L B' U' L2 R' U2 F'
L B' U' R' L2 U2 F'
L B' D' B2 U L F
B F2 D L R F' B'
B F2 D L R B' F'
B F2 D L B' R F'
B F2 D R L F' B'
B F2 D R L B' F'
B F2 D R F' L B'
