F' U L' R F2 U2
F' U L' F2 U2 L'
F' U R L' F2 U2
F' U R F2 U2 R
F' U F2 U2 L' R
F' U F2 U2 R L'
F L U' L' U' L' R
F L U' L' U' R L'
F' L' R F2 U' L U'
F' L' F2 U' L U' L2
F' L' F2 U2 L' D F2
F L2 U' L2 U' L' R
F L2 U' L2 U' R L'
F L2 U2 R D L F2
F L2 U2 R D F2 L
F L2 U2 D L R F2
F L2 U2 D R L F2
F L2 U2 D R F2 L
F L2 D U2 L R F2
F L2 D U2 R L F2
F L2 D U2 R F2 L
L' U L F U' L' B'
F L2 D' B2 R' U2 R2
F' R L' F2 U' L U'
F' R' U L' R2 F2 U2
F' R' U L' F2 R2 U2
F' R' U R2 L' F2 U2
F' R' U R2 F2 U2 R
F' R' U F2 R2 U2 R'
F' R' U' D2 L2 B2 R'
F R' U' L' R2 D B2
F R' U' R2 L' D B2
F R' U' R2 D L' B2
F R' U' R2 D B2 L'
F R' U2 L' R2 D' F2
F R' U2 R2 L' D' F2
F R' U2 R2 D' L' F2
F' R' D2 U' L2 B2 R'
F' R2 U L' R' F2 U2
F' R2 U L' F2 R' U2
F' R2 U R' L' F2 U2
F' R2 U R' F2 U2 R
F' R2 U F2 R' U2 R2
F2 R2 F' U' L' B R
F2 R2 F' U' B L' R
F2 R2 F' U' B R L'
F' U L R F2 L2 U2
F' U L F2 L2 U2 L
F' U L' R U2 D2 B2
F' U L' R D2 U2 B2
F' U L' R F2 U2 D
F' U L' R F2 U2 D'
F' U L' R F2 U2 D2
F' U L' R F2 D U2
F' U L' R F2 D' U2
F' U L' R F2 D2 U2
F' U L' R' F2 R2 U2
F' U L' R2 F2 R' U2
F' U L' D2 R U2 B2
F' U L' F2 R U2 L'
F' U L' F2 R' U2 L'
F' U L' F2 R2 U2 L'
F' U L' F2 U2 L' D
F' U L' F2 U2 L' D'
F' U L' F2 U2 L' D2
F' U L' F2 U2 D L'
F' U L' F2 U2 D' L'
F' U L' F2 U2 D2 L'
F' U L' F2 D U2 L'
F' U L' F2 D' U2 L'
F' U L' F2 D2 U2 L'
F' U L2 R F2 L U2
F' U L2 F2 L U2 L2
F' U R L F2 L2 U2
F' U R L' U2 D2 B2
F' U R L' D2 U2 B2
F' U R L' F2 U2 D
F' U R L' F2 U2 D'
F' U R L' F2 U2 D2
F' U R L' F2 D U2
F' U R L' F2 D' U2
F' U R L' F2 D2 U2
F' U R L2 F2 L U2
F' U R D2 L' U2 B2
F' U R F2 L U2 R
F' U R F2 L' U2 R
F' U R F2 L2 U2 R
F' U R F2 U2 R D
F' U R F2 U2 R D'
F' U R F2 U2 R D2
F' U R F2 U2 D R
F' U R F2 U2 D' R
F' U R F2 U2 D2 R
F' U R F2 D U2 R
F' U R F2 D' U2 R
F' U R F2 D2 U2 R
F' U R' L' F2 R2 U2
F' U R' F2 R2 U2 R'
F' U R2 L' F2 R' U2
F' U R2 F2 R' U2 R2
F' U D2 L' R U2 B2
F' U D2 R L' U2 B2
F' U F2 L U2 L2 R
F' U F2 L U2 R L2
F' U F2 L2 U2 L R
F' U F2 L2 U2 R L
F' U F2 R' U2 L' R2
F' U F2 R' U2 R2 L'
F' U F2 R2 U2 L' R'
F' U F2 R2 U2 R' L'
F' U F2 U2 L' R D
F' U F2 U2 L' R D'
F' U F2 U2 L' R D2
F' U F2 U2 L' D R
F' U F2 U2 L' D' R
F' U F2 U2 L' D2 R
F' U F2 U2 R L' D
F' U F2 U2 R L' D'
F' U F2 U2 R L' D2
F' U F2 U2 R D L'
F' U F2 U2 R D' L'
F' U F2 U2 R D2 L'
F' U F2 U2 D L' R
F' U F2 U2 D R L'
F' U F2 U2 D' L' R
F' U F2 U2 D' R L'
F' U F2 U2 D2 L' R
F' U F2 U2 D2 R L'
F' U F2 D U2 L' R
F' U F2 D U2 R L'
F' U F2 D' U2 L' R
F' U F2 D' U2 R L'
F' U F2 D2 U2 L' R
F' U F2 D2 U2 R L'
F' U' L D2 R2 B2 L
F' U' L' R F2 U2 F2
F' U' L' F2 U2 L' F2
F U' L' R U R' U'
F U' L' R2 D R' B2
F' U' R L' F2 U2 F2
F' U' R F2 U2 R F2
F U' R L' U R' U'
F' U' R' D2 L2 B2 R'
F U' R U R' U' L'
F U' R B2 L' D' B2
F U' R2 L' D R' B2
F U' R2 D L' R' B2
F U' R2 D R' L' B2
F U' R2 D R' B2 L'
F' U' F2 U2 L' R F2
F' U' F2 U2 R L' F2
F U' F2 U' F2 L' R
F U' F2 U' F2 R L'
F U2 L' R U' R' U
F U2 L' R2 D' R' F2
F U2 L' R2 D' F2 R'
F U2 R L' U' R' U
F U2 R U' R' U L'
F U2 R2 L' D' R' F2
F U2 R2 L' D' F2 R'
F U2 R2 D' L' R' F2
F U2 R2 D' L' F2 R'
F U2 R2 D' R' L' F2
L' F L U' L2 R B'
L' F L U' L2 B' R
L' F L U' R L2 B'
L' F L' R D F2 B'
L' F L' R D B' F2
L' F L' R B' D F2
L' F L' D R F2 B'
L' F L' D R B' F2
L' F L' D B' R F2
U F L U' F U' L2
L' F L' B' R D F2
L' F L' B' D R F2
L' F R L' D F2 B'
L' F R L' D B' F2
L' F R L' B' D F2
L2 F R D B' L' F2
L2 F R B' D L' F2
F U2 B U R B' L'
F U2 B U B' L' R
F U2 B U B' R L'
F U2 B' U L' B R
F U2 B' U B L' R
F U2 B' U B R L'
F U2 B2 U L' R B2
F U2 B2 U L' B2 R
F U2 B2 U R L' B2
F U2 B2 U R B2 L'
F U2 B2 U B2 L' R
F U2 B2 U B2 R L'
U F U B' U L' R'
U F U B' U R' L'
L2 F D R B' L' F2
L2 F D B' L' R F2
L2 F D B' R L' F2
F' D R2 U L' R' U2
F' D R2 U R' L' U2
L2 F B' R D L' F2
L2 F B' D L' R F2
L2 F B' D R L' F2
F' D F2 R2 U' L' R'
F' D F2 R2 U' R' L'
R' F' U L' R F2 U2
R' F' U L' F2 U2 L'
R' F' U R L' F2 U2
R' F' U R F2 U2 R
R' F' U F2 U2 L' R
R' F' U F2 U2 R L'
R2 F' U L' R F2 U2
R2 F' U L' F2 U2 L'
R2 F' U R L' F2 U2
R2 F' U R F2 U2 R
R2 F' U F2 U2 L' R
R2 F' U F2 U2 R L'
R F' U L' R F2 U2
R F' U L' F2 U2 L'
R F' U R L' F2 U2
R F' U R F2 U2 R
R F' U F2 U2 L' R
R F' U F2 U2 R L'
L2 F' D F2 R B' L'
L2 F' D F2 B' L' R
L2 F' D F2 B' R L'
L2 F' D B' F2 L' R
L2 F' D B' F2 R L'
L2 F' B' D F2 L' R
L2 F' B' D F2 R L'
F' D2 U L' R U2 B2
F' D2 U R L' U2 B2
F' D2 F2 U' L' R B2
F' D2 F2 U' L' B2 R
F' D2 F2 U' R L' B2
F' D2 F2 U' R B2 L'
F' D2 F2 U' B2 L' R
F' D2 F2 U' B2 R L'
U2 B U' F L U2 L2
F' B U L' R F2 U2
F' B U L' F2 U2 L'
F' B U R L' F2 U2
F' B U R F2 U2 R
F' B U F2 U2 L' R
F' B U F2 U2 R L'
U2 B' U' F U2 L' R'
U2 B' U' F U2 R' L'
B' F' U L' R F2 U2
B' F' U L' F2 U2 L'
B' F' U R L' F2 U2
B' F' U R F2 U2 R
F' B' U L' R F2 U2
F' B' U L' F2 U2 L'
F' B' U R L' F2 U2
F' B' U R F2 U2 R
B2 F' U L' R F2 U2
B2 F' U L' F2 U2 L'
B' F' U F2 U2 L' R
B' F' U F2 U2 R L'
B2 F' U R L' F2 U2
B2 F' U R F2 U2 R
F' B' U F2 U2 L' R
F' B' U F2 U2 R L'
B2 F' U F2 U2 L' R
B2 F' U F2 U2 R L'
