D' R' B U' F2 R
D' L' U' R' B U' F2
D L' B2 U F L U
L' U' D' R' B U' F2
D' R' F' B U' F' R
D' R' B U L' U2 F2
D' R' B U' R F2 R
D' R' B U' R' F2 R
D' R' B U' R2 F2 R
D' R' B U' F2 R D
D' R' B U' F2 R D'
D' R' B U' F2 R D2
D' R' B U' F2 D R
D' R' B U' F2 D' R
D' R' B U' F2 D2 R
D' R' B F' U' F' R
B R2 U' L' R U2 B'
B R2 U' R L' U2 B'
B R2 F2 U L' R B
B R2 F2 U R L' B
B R2 F2 U R B L'
D' U R' B U' F2 R
L' D' U' R' B U' F2
U' D' R' B U' F2 R
D' U' R' B U' F2 R
U2 D' R' B U' F2 R
U D' R' B U' F2 R
D' U2 R' B U' F2 R
B' D L D2 R2 F2 B'
B' D L D2 R2 B' F2
B' D L D2 F2 R2 B'
B' D L D2 F2 B' R2
B' D L D2 B' R2 F2
B' D L D2 B' F2 R2
B' D L' F B2 U2 L2
B' D L' B2 U2 L2 B'
B' D L' B2 F U2 L2
B' D B2 L' R' F U2
B' D B2 L' F R' U2
B' D B2 R' L' F U2
B' D' R' F2 L B R
F2 D' R' B U' R2 F2
F2 D' R' B U' F2 R2
B' D' R2 F2 L R B
B' D' R2 F2 R L B
R2 F2 L' B' U L R
R2 F2 L' B' U R L
D' F2 R U R2 B U'
B' D' F2 L R' B R2
B' D' F2 R' L B R2
B' D' F2 D2 L R B'
B' D' F2 D2 L B' R
B' D' F2 D2 R L B'
D' F2 U R' B U' R2
R2 F2 B' L' U L2 R
R2 F2 B' L' U R L2
R' B U L' R' U2 F'
R' B U R' L' U2 F'
R2 B' F2 L' U L2 R
R2 B' F2 L' U R L2
D B2 L' U F L2 U
