F R' U' L' R2 B
F R' U' R2 L' B
F R' U' R2 B L'
F R2 U' L' R' B
F R2 U' R' L' B
F R2 U' R' B L'
R F U' L' B R
R F U' B L' R
R F U' B R L'
F' L' R U' L U' B
F L' R U L U' B
F L' U L U' R B
F L' B D' R F' B
F L' B D' R B F'
F L' B2 R D' F2 B
F L' B2 R D' B F2
F L' B2 R B D' F2
F L2 R D L F2 B
F L2 R D L B F2
F L2 R D F2 L B
F L2 D L R F2 B
F L2 D L R B F2
F L2 D R L F2 B
F L2 D R L B F2
F L2 D R F2 L B
L' U L F R U' L'
F' R L' U' L U' B
F R L' U L U' B
F R L2 D L F2 B
F R L2 D L B F2
F R L2 D F2 L B
B' R F U' L' B R
B' R F U' B L' R
B' R F U' B R L'
B2 R F U' L' B R
B2 R F U' B L' R
B2 R F U' B R L'
B R F U' L' B R
B R F U' B L' R
B R F U' B R L'
F2 R F' U' L' B R
F2 R F' U' B L' R
F2 R F' U' B R L'
F R B L' U L U'
F R B L2 D L F2
F R B L2 D F2 L
F' R' U L' R2 U2 B
F' R' U L' F' R2 U2
F' R' U R2 L' U2 B
F R' U' L R2 B L2
F R' U' L' R2 D B
F R' U' L' R2 D' B
F R' U' L' R2 D2 B
F R' U' L' R2 B D
F R' U' L' R2 B D'
F R' U' L' R2 B D2
F R' U' L' B R2 B
F R' U' L' B' R2 B
F R' U' L' B2 R2 B
F R' U' R2 L B L2
F R' U' R2 L' D B
F R' U' R2 L' D' B
F R' U' R2 L' D2 B
F R' U' R2 L' B D
F R' U' R2 L' B D'
F R' U' R2 L' B D2
F R' U' R2 D L' B
F R' U' R2 D B L'
F R' U' R2 D' L' B
F R' U' R2 D' B L'
F R' U' R2 D2 L' B
F R' U' R2 D2 B L'
F R' U' R2 B L' D
F R' U' R2 B L' D'
F R' U' R2 B L' D2
F R' U' R2 B D L'
F R' U' R2 B D' L'
F R' U' R2 B D2 L'
F R' U' R2 B' L' B2
F R' U' B L' R2 B
F R' U' B R2 L' B
F R' U' B R2 B L'
F R' U' B' L' R2 B
F R' U' B' R2 L' B
F R' U' B' R2 B L'
F R' U' B2 L' R2 B
F R' U' B2 R2 L' B
F R' U' B2 R2 B L'
F R' B U' L' R2 B
F R' B U' R2 L' B
F R' B U' R2 B L'
F R' B' U' L' R2 B
F R' B' U' R2 L' B
F R' B' U' R2 B L'
F R' B2 U' L' R2 B
F R' B2 U' R2 L' B
F R' B2 U' R2 B L'
F' R2 U L' R' U2 B
F' R2 U R' L' U2 B
F R2 U' L R' B L2
F R2 U' L' R' D B
F R2 U' L' R' D' B
F R2 U' L' R' D2 B
F R2 U' L' R' B D
F R2 U' L' R' B D'
F R2 U' L' R' B D2
F R2 U' R' L B L2
F R2 U' R' L' D B
F R2 U' R' L' D' B
F R2 U' R' L' D2 B
F R2 U' R' L' B D
F R2 U' R' L' B D'
F R2 U' R' L' B D2
F R2 U' R' D L' B
F R2 U' R' D B L'
F R2 U' R' D' L' B
F R2 U' R' D' B L'
F R2 U' R' D2 L' B
F R2 U' R' D2 B L'
F R2 U' R' B L' D
F R2 U' R' B L' D'
F R2 U' R' B L' D2
F R2 U' R' B D L'
F R2 U' R' B D' L'
F R2 U' R' B D2 L'
F R2 U' R' B' L' B2
F U' L' B' R D B2
F U' R B L' D' B2
F U' B L' R D' B2
F U' B L' D' R B2
F U' B L' D' B2 R
F U' B R L' D' B2
F U' B' L' R D B2
F U' B' R L' D B2
F U' B' R D L' B2
F U' B' R D B2 L'
F U2 L U L2 R B'
F U2 L U L2 B' R
F U2 L U R L2 B'
F U2 L2 U L R B'
F U2 L2 U L B' R
F U2 L2 U R L B'
L' F L' R D F2 B
L' F L' R D B F2
L' F L' R B D F2
L' F L' D R F2 B
L' F L' D R B F2
L' F R L' D F2 B
L' F R L' D B F2
L' F R L' B D F2
R F L' B D' R F'
L' F R B D L' F
L2 F R D L' F2 B
L2 F R D L' B F2
L2 F R D B L' F2
L2 F R B D L' F2
R2 F R' U' L' B R2
R2 F R' U' B L' R2
R2 F R' U' B R2 L'
D F R' B U' R2 B
D F R2 U' R' B L
R' F U F2 L' R U2
R' F U F2 R L' U2
U' F U' L' F' B' R'
U' F U' L' B' F' R'
R' F U' L' R D2 B2
R' F U' L' D2 R B2
R' F U' L' D2 B2 R
R' F U' R L' D2 B2
R' F U' R D2 L' B2
R' F U' R D2 B2 L'
R' F U' D2 L' R B2
R' F U' D2 L' B2 R
R' F U' D2 R L' B2
R' F U' D2 R B2 L'
R' F U' D2 B2 L' R
R' F U' D2 B2 R L'
R2 F U' L' R' B R2
R2 F U' R' L' B R2
R2 F U' R' B L' R2
R2 F U' R' B R2 L'
R F U' L B L2 R
R F U' L B R L2
R F U' L' D B R
R F U' L' D' B R
R F U' L' D2 B R
R F U' L' B R D
R F U' L' B R D'
R F U' L' B R D2
R F U' L' B D R
R F U' L' B D' R
R F U' L' B D2 R
R F U' L' B' R B2
R F U' L' B2 R B'
R' F D R2 U' L' R'
R' F D R2 U' R' L'
R F U' D L' B R
R F U' D B L' R
R F U' D B R L'
R F U' D' L' B R
R F U' D' B L' R
R F U' D' B R L'
R F U' D2 L' B R
R F U' D2 B L' R
R F U' D2 B R L'
L2 F D L' R F2 B
L2 F D L' R B F2
R F U' B L' R D
R F U' B L' R D'
R F U' B L' R D2
R F U' B L' D R
R F U' B L' D' R
R F U' B L' D2 R
R F U' B R L' D
R F U' B R L' D'
R F U' B R L' D2
R F U' B R D L'
R F U' B R D' L'
R F U' B R D2 L'
R F U' B D L' R
R F U' B D R L'
R F U' B D' L' R
R F U' B D' R L'
R F U' B D2 L' R
R F U' B D2 R L'
