D' L' R F R B
D' L' R2 F B R
D' L' R2 B F R
D' L' F R D2 B2
D' L' F D2 R B2
D' L' F D2 B2 R
D' R L' F R B
D' R2 L' F B R
D' R2 L' B F R
D' R2 B L' F R
R2 D' L' F B R
R2 D' L' B F R
R D' L' F R B
R2 D' B L' F R
D' F' L' U2 F L'
R2 B D' L' F R
L' R D F R F' B
L' R D F R B F'
D' L F' L' U2 L' F
D' L F' B' L' U2 L'
D' L B' F' L' U2 L'
D' L' R D F R B
D' L' R D' F R B
D' L' R D2 F R B
D' L' R F R D B
D' L' R F R D' B
D' L' R F R D2 B
D' L' R F R B D
D' L' R F R B D'
D' L' R F R B D2
D' L' R F D R B
D' L' R F D' R B
D' L' R F D2 R B
D' L' R F B R B
D' L' R F B' R B
D' L' R F B2 R B
D L' R F R F2 B
D L' R F R B F2
D' L' R B F R B
D' L' R B' F R B
D' L' R B2 F R B
R2 L' D F B R F'
D' L' R' F R' B R2
R L' D F R F' B
R L' D F R B F'
R2 L' D B F R F'
D' L' R2 D F B R
D' L' R2 D B F R
D' L' R2 D' F B R
D' L' R2 D' B F R
D' L' R2 D2 F B R
D' L' R2 D2 B F R
D' L' R2 F D B R
D' L' R2 F D' B R
D' L' R2 F D2 B R
D' L' R2 F B R D
D' L' R2 F B R D'
D' L' R2 F B R D2
D' L' R2 F B D R
D' L' R2 F B D' R
D' L' R2 F B D2 R
D' L' R2 F B' R B2
D' L' R2 F B2 R B'
D' L' R2 B R F R
D' L' R2 B R' F R
D' L' R2 B R2 F R
D' L' R2 B D F R
D' L' R2 B D' F R
D' L' R2 B D2 F R
D' L' R2 B F R D
D' L' R2 B F R D'
D' L' R2 B F R D2
D' L' R2 B F D R
D' L' R2 B F D' R
D' L' R2 B F D2 R
D' L' R2 B' F R B2
D' L' R2 B2 F R B'
F' L' U R F U L'
F' L' U D R F' U
F' L' U2 F D' L' F
D' L' D R F R B
D' L' D R2 F B R
D' L' D R2 B F R
F' L' D U R F' U
D' L' D F R D2 B2
D' L' D F D2 R B2
D' L' D F D2 B2 R
D' L' D' R F R B
D' L' D' R2 F B R
D' L' D' R2 B F R
D' L' D' F R D2 B2
D' L' D' F D2 R B2
D' L' D' F D2 B2 R
R2 L' B D F R F'
D' L' D2 R F R B
D' L' D2 R2 F B R
D' L' D2 R2 B F R
D' L' D2 F R D2 B2
D' L' D2 F D2 R B2
D' L' D2 F D2 B2 R
D' L' F R U2 F2 U2
D' L' F R D2 B2 D
D' L' F R D2 B2 D'
D' L' F R D2 B2 D2
D' L' F R B D2 B2
D' L' F R B' D2 B2
D' L' F R B2 D2 B2
D' L' F R2 D2 R' B2
D L' F R D2 F' B2
D L' F R D2 B2 F'
D' L' F U2 F2 L' U2
D' L' F D' R D' B2
D' L' F D2 R B2 D
D' L' F D2 R B2 D'
D' L' F D2 R B2 D2
D' L' F D2 R' B2 R2
D' L' F D2 B' R B'
D' L' F D2 B2 R D
D' L' F D2 B2 R D'
D' L' F D2 B2 R D2
D' L' F D2 B2 D R
D' L' F D2 B2 D' R
D' L' F D2 B2 D2 R
D' L' F B R D2 B2
D' L' F B D2 R B2
D' L' F B D2 B2 R
D' L' F B' R D2 B2
D' L' F B' D2 R B2
D' L' F B' D2 B2 R
D' L' F B2 R D2 B2
D' L' F B2 D2 R B2
D' L' F B2 D2 B2 R
D' L' F' L' U2 L F2
D' L' F' L' U2 F2 L
D' L' B R F R B
D' L' B R2 F B R
D' L' B R2 B F R
D' L' B F R D2 B2
D' L' B F D2 R B2
D' L' B F D2 B2 R
D' L' B' R F R B
D' L' B' R2 F B R
D' L' B' R2 B F R
L' R2 D F B R F'
L' R2 D B F R F'
D' L' B' F R D2 B2
D' L' B' F D2 R B2
D' L' B' F D2 B2 R
D' L' B2 R F R B
D' L' B2 R2 F B R
D' L' B2 R2 B F R
D' L' B2 F R D2 B2
D' L' B2 F D2 R B2
D' L' B2 F D2 B2 R
L' R2 B D F R F'
D' L2 F' L' U2 L2 F
D' L2 F' L' B' U2 L2
D' R L' D F R B
D' R L' D' F R B
D' R L' D2 F R B
D' R L' F R D B
D' R L' F R D' B
D' R L' F R D2 B
D' R L' F R B D
D' R L' F R B D'
D' R L' F R B D2
D' R L' F D R B
D' R L' F D' R B
D' R L' F D2 R B
D' R L' F B R B
D' R L' F B' R B
D' R L' F B2 R B
D' R L' B F R B
D' R L' B' F R B
D' R L' B2 F R B
D R L' F R F2 B
D R L' F R B F2
D' R U2 L' F B' R'
D' R U2 L' B' R' F
D' R U2 L' B' F R'
D R U2 L' F' B' R'
D R U2 L' B' F' R'
D2 R D L' F R B
B' R D' L' F R B
B2 R D' L' F R B
B R D' L' F R B
F2 R F L' U R U
D' R B L' F R B
D' R B' L' F R B
D' R B2 L' F R B
D' R' L' F R' B R2
R U2 D' L' F B' R'
R U2 D' L' B' R' F
R U2 D' L' B' F R'
D' R2 L' D F B R
D' R2 L' D B F R
D' R2 L' D' F B R
D' R2 L' D' B F R
D' R2 L' D2 F B R
D' R2 L' D2 B F R
D' R2 L' F D B R
D' R2 L' F D' B R
D' R2 L' F D2 B R
D' R2 L' F B R D
D' R2 L' F B R D'
D' R2 L' F B R D2
D' R2 L' F B D R
D' R2 L' F B D' R
D' R2 L' F B D2 R
D' R2 L' F B' R B2
D' R2 L' F B2 R B'
D' R2 L' B R F R
D' R2 L' B R' F R
D' R2 L' B R2 F R
D' R2 L' B D F R
D' R2 L' B D' F R
D' R2 L' B D2 F R
D' R2 L' B F R D
D' R2 L' B F R D'
D' R2 L' B F R D2
D' R2 L' B F D R
D' R2 L' B F D' R
D' R2 L' B F D2 R
D' R2 L' B' F R B2
D' R2 L' B2 F R B'
L' U2 F' U R B U
D2 R2 D L' F B R
D2 R2 D L' B F R
D2 R2 D B L' F R
B' R2 D' L' F B R
B' R2 D' L' B F R
B2 R2 D' L' F B R
B2 R2 D' L' B F R
B' R2 D' B L' F R
B R2 D' L' F B R
B R2 D' L' B F R
B2 R2 D' B L' F R
B R2 D' B L' F R
R2 D L' F B R F'
R2 D L' B F R F'
R D L' F R F' B
R D L' F R B F'
L' D R F R F2 B
L' D R F R B F2
D' R2 B L' R F R
D' R2 B L' R' F R
D' R2 B L' R2 F R
D' R2 B L' D F R
D' R2 B L' D' F R
D' R2 B L' D2 F R
D' R2 B L' F R D
D' R2 B L' F R D'
D' R2 B L' F R D2
D' R2 B L' F D R
D' R2 B L' F D' R
D' R2 B L' F D2 R
D' R2 B R L' F R
D' R2 B R' L' F R
D' R2 B R2 L' F R
B' R2 B D' L' F R
B2 R2 B D' L' F R
D' R2 B' L' F R B2
D' R2 B' L' F B2 R
D' R2 B' L' B2 F R
B R2 B D' L' F R
L' D F R D2 F' B2
L' D F R D2 B2 F'
R2 D F B R F' L'
R D F R F' L' B
R D F R F' B L'
R D F R B F' L'
F2 U R F L' B' U2
R2 D B L' F R F'
R2 D B D2 L' F R
R2 D B F R F' L'
R2 D' L' R' F R B
R2 D' L' D F B R
R2 D' L' D B F R
R2 D' L' D' F B R
R2 D' L' D' B F R
R2 D' L' D2 F B R
R2 D' L' D2 B F R
R2 D' L' F D B R
R2 D' L' F D' B R
R2 D' L' F D2 B R
R2 D' L' F B R D
R2 D' L' F B R D'
R2 D' L' F B R D2
R2 D' L' F B D R
R2 D' L' F B D' R
R2 D' L' F B D2 R
R2 D' L' F B' R B2
R2 D' L' F B2 R B'
R D' L' R F B R
R D' L' R B F R
R2 D' L' B R F R
R2 D' L' B R' F R
R2 D' L' B R2 F R
R2 D' L' B D F R
R2 D' L' B D' F R
R2 D' L' B D2 F R
R2 D' L' B F R D
R2 D' L' B F R D'
R2 D' L' B F R D2
R2 D' L' B F D R
R2 D' L' B F D' R
R2 D' L' B F D2 R
R2 D' L' B' F R B2
R2 D' L' B2 F R B'
R D' L' D F R B
R D' L' D' F R B
R D' L' D2 F R B
R D' L' F R D B
R D' L' F R D' B
R D' L' F R D2 B
R D' L' F R B D
R D' L' F R B D'
R D' L' F R B D2
R D' L' F D R B
R D' L' F D' R B
R D' L' F D2 R B
R D' L' F B R B
R D' L' F B' R B
R D' L' F B2 R B
R D' L' B F R B
R D' L' B' F R B
R D' L' B2 F R B
R D' R L' F B R
R D' R L' B F R
R2 D' R' L' F R B
R D' R B L' F R
L' D' F D2 R F' B2
L' D' F D2 R B2 F'
L' D' F D2 B2 R F'
R D' U2 L' F B' R'
R D' U2 L' B' R' F
R D' U2 L' B' F R'
L' D' F' L' U2 F L
L2 D' F' L' U2 F L2
F2 U' R F L' B U2
F2 U' R F B L' U2
F2 U' R B F L' U2
R2 D' B L' R F R
R2 D' B L' R' F R
R2 D' B L' R2 F R
R2 D' B L' D F R
R2 D' B L' D' F R
R2 D' B L' D2 F R
R2 D' B L' F R D
R2 D' B L' F R D'
R2 D' B L' F R D2
R2 D' B L' F D R
R2 D' B L' F D' R
R2 D' B L' F D2 R
R2 D' B R L' F R
R2 D' B R' L' F R
R2 D' B R2 L' F R
R D' B L' F R B
R2 D' B' L' F R B2
R2 D' B' L' F B2 R
R2 D' B' L' B2 F R
R D' B' L' F R B
R D' B2 L' F R B
F' U2 F D' L' F R
D F R D2 F' L' B2
D F R D2 F' B2 L'
D F R D2 B2 F' L'
F' D L' U R F' U
D' F D2 R F' L' B2
D' F D2 R F' B2 L'
D' F D2 R B2 F' L'
D' F D2 B2 R F' L'
D' F' L' R U2 F L'
D' F' L' R' U2 F L'
D' F' L' R2 U2 F L'
D' F' L' U2 F L' D
D' F' L' U2 F L' D'
D' F' L' U2 F L' D2
D' F' L' U2 F D L'
D' F' L' U2 F D' L'
D' F' L' U2 F D2 L'
L' F' L' U R U L
D' F' L' B U2 F L'
D' F' L' B' U2 F L'
L2 F' L' U R U L2
D' F' L' B2 U2 F L'
D' F' R L' U2 F L'
L F' L' U R U L'
D' F' R' L' U2 F L'
D' F' R2 L' U2 F L'
B' D' L' R F R B
D' F' U2 F L' F R
B' D' L' R2 F B R
B' D' L' R2 B F R
F' D' L' U R F U
B2 D' L' R F R B
B' D' L' F R D2 B2
B2 D' L' R2 F B R
B2 D' L' R2 B F R
B' D' L' F D2 R B2
B' D' L' F D2 B2 R
B2 D' L' F R D2 B2
B2 D' L' F D2 R B2
B2 D' L' F D2 B2 R
B D' L' R F R B
B D' L' R2 F B R
B D' L' R2 B F R
D F' U2 F2 R F' L'
B D' L' F R D2 B2
B D' L' F D2 R B2
B D' L' F D2 B2 R
B' D' R L' F R B
B2 D' R L' F R B
B D' R L' F R B
D' F' B L' U2 F L'
B' D' R2 L' F B R
B' D' R2 L' B F R
D' F' B' L' U2 F L'
B2 D' R2 L' F B R
B2 D' R2 L' B F R
B' D' R2 B L' F R
B2 D' R2 B L' F R
D' F' B2 L' U2 F L'
B D' R2 L' F B R
B D' R2 L' B F R
B D' R2 B L' F R
B' D' F' L' U2 F L'
B2 D' F' L' U2 F L'
D' F2 R F L' U2 F
B D' F' L' U2 F L'
D F2 R F L' U2 F2
D F2 R F U2 F2 R
D' B L' R F R B
D' B L' R2 F B R
D' B L' R2 B F R
D' B L' F R D2 B2
D' B L' F D2 R B2
D' B L' F D2 B2 R
R2 B L' D F R F'
D' B R L' F R B
R2 B R D' L' F R
D' B R2 L' F B R
D' B R2 L' B F R
R2 B R' D' L' F R
D' B R2 B L' F R
R2 B R2 D' L' F R
R2 B D L' F R F'
R2 B D F R F' L'
R2 B D' L' R F R
R2 B D' L' R' F R
R2 B D' L' R2 F R
R2 B D' L' D F R
R2 B D' L' D' F R
R2 B D' L' D2 F R
R2 B D' L' F R D
R2 B D' L' F R D'
R2 B D' L' F R D2
R2 B D' L' F D R
R2 B D' L' F D' R
R2 B D' L' F D2 R
R2 B D' R L' F R
R2 B D' R' L' F R
R2 B D' R2 L' F R
R B D' L' F R B
D' B F' L' U2 F L'
D' B' L' R F R B
