F' R U L B R'
D L R F' B D' R2
F L R B R' D F2
D L R B D' F' R2
F L R B D R' F2
D L R B F' D' R2
F L R B D F2 R'
L R F' B R' D' F2
R L F' B R' D' F2
L2 R B R' D' L' F
L R B R2 D R F'
R L B R2 D R F'
L R B D R F' R2
L2 R B D' L' R' F
L2 R B D' L' F R'
R L B D R F' R2
L2 R B D' R' L' F
L R B F' R' D' F2
R L B F' R' D' F2
D2 L F' D' R F' B
D2 L F' D' R B F'
F' L' R U L2 B R'
F' L' R U B L2 R'
F' L' R U B R' L2
F L' R U' L2 B R'
F L' R U' B L2 R'
F L' R U' B R' L2
F' L2 R U L' B R'
F' L2 R U B L' R'
F' L2 R U B R' L'
R L2 B R' D' L' F
R L2 B D' L' R' F
R L2 B D' L' F R'
R L2 B D' R' L' F
F' R L' U L2 B R'
F' R L' U B L2 R'
F' R L' U B R' L2
D R L F' B D' R2
D R L B D' F' R2
D R L B F' D' R2
F R L B R' D F2
F R L B D R' F2
F R L B D F2 R'
F R L' U' L2 B R'
F R L' U' B L2 R'
F R L' U' B R' L2
F' R L2 U L' B R'
F' R L2 U B L' R'
F' R L2 U B R' L'
F' R U L B R' D
F' R U L B R' D'
F' R U L B R' D2
F' R U L B D R'
F' R U L B D' R'
F' R U L B D2 R'
F' R U L' B L2 R'
F' R U L' B R' L2
F' R U L2 B L' R'
F' R U L2 B R' L'
F2 R U L F B R'
F2 R U L B R' F
F2 R U L B F R'
F2 R U' L B R' F'
D R D L F' B R
D R D L B F' R
D R D F' L B R
D R D' L F' B R'
D R D' L B F' R'
D R D' F' L B R'
F' R F U L B R'
F' R F' U L B R'
D R F' L B D' R2
D R F' D' L B R'
F' R F2 U L B R'
B2 R' F' U R B U
L D R D F' B R
L D R D B F' R
L D R D' F' B R'
L D R D' B F' R'
L D R F' D' B R'
L D R B D F' R
L D2 F' D' R F' B
L D2 F' D' R B F'
R F L B R' D F2
R F L B D R' F2
R F L B D F2 R'
R F L' U' L2 B R'
R F L' U' B L2 R'
R F L' U' B R' L2
B2 D R' F' B L U2
B2 D R' B L F' U2
B2 D R' B F' L U2
D2 F' L D' R F' B
D2 F' L D' R B F'
R F' L B R' D' F2
L' F' R U L2 B R'
L' F' R U B L2 R'
L' F' R U B R' L2
B' D' L B' R' F' U2
D2 F' D' L R F' B
D2 F' D' L R B F'
D2 F' D' R L F' B
D2 F' D' R L B F'
D2 F' D' R F' L B
R F2 U L F B R'
R F2 U L B R' F
R F2 U L B F R'
R F2 U' L B R' F'
L B D R F' B R2
L B D R B F' R2
