D F L' U R F'
F L U R D F2 B'
F L U R D B' F2
F L U R B' D F2
F L U D R F2 B'
F L U D R B' F2
F L U D B' R F2
F L U B' R D F2
F L U B' D R F2
F L D U R F2 B'
F L D U R B' F2
F L D U B' R F2
F L D2 R2 U R' B'
F L' U' F U2 F' R
D R F L' U R F2
F' R F2 L U R B'
F' R F2 L U B' R
R' D F L' U R F'
R2 D F L' U R F'
R D F L' U R F'
L D F R B' L' F'
L D F B' L' R F'
L D F B' R L' F'
L D B' F L' R F'
L D B' F R L' F'
L D' B' L' F L2 R
L D' B' L' F R L2
D F L' R' U R2 F'
D F L' U R D F'
D F L' U R D' F'
D F L' U R D2 F'
D F L' U R F' D
D F L' U R F' D'
D F L' U R F' D2
D F L' B U R F'
D F L' B' U R F'
D F L' B2 U R F'
D F R' L' U R2 F'
D2 F B R' U B R2
D F D2 L' U R F
D F B L' U R F'
L2 F B' L' U' R B'
L2 F B' L' U' B' R
D F B' L' U R F'
D F B2 L' U R F'
B' D F L' U R F'
B2 D F L' U R F'
B D F L' U R F'
D2 B R' F U B R
D2 B F R' U B R2
D B F L' U R F'
L B' D F L' R F'
L B' D F R L' F'
L2 B' F L' U' R B'
L2 B' F L' U' B' R
D B' F L' U R F'
D B2 F L' U R F'
