U' R2 B U L B'
U2 L R2 F B U B2
U' L R2 B U L B2
U2 L R2 B F U B2
R2 L D B U B2 L
R' L F' R' B U B2
L R' F' R' B U B2
L R2 D B U B2 L
D2 L2 D' F' R B U'
D' R B R' F' U' F'
L U' R2 B U L B2
U' R2 L B U L B2
U2 R2 L F B U B2
U2 R2 L B F U B2
U' R2 F B U L B'
U' R2 F' B U L B'
U' R2 F2 B U L B'
U' R2 B L' U L2 B'
U' R2 B U L D B'
U' R2 B U L D' B'
U' R2 B U L D2 B'
U' R2 B U L B' D
U' R2 B U L B' D'
U' R2 B U L B' D2
U2 R2 B L F U B'
U' R2 B F U L B'
U2 R2 B U B L B'
U' R2 B F' U L B'
U' R2 B F2 U L B'
B' U' R2 B U L B'
B2 U' R2 B U L B'
B U' R2 B U L B'
F' U' B L D' F2 B'
F' U' B L D' B' F2
F' U' B L B' D' F2
F' U2 L R2 F U B'
F' U2 L F R2 U B'
F' U2 R2 L F U B'
F' U2 R2 U B L B'
R' F' L R' B U B2
D' F' R B R' U' F'
R' F' R' L B U B2
R' F' R' B L U B'
D F' R D L2 B U'
D F' R D B L2 U'
D F' R D2 B U' F2
D F' R B U B U2
D F' D L2 R B U'
D F' D R L2 B U'
D F' D R B L2 U'
F' D' R B R' U' F2
D F' D2 R B U' F2
R2 B L U D B' L
R2 B L D U B' L
R2 B U L D B' L
L B' U' R2 B U L
