R' U D L2 F' B'
R' U D L2 B' F'
D R' U L2 F' B'
D R' U L2 B' F'
R' D U L2 F' B'
R' D U L2 B' F'
D L R' U L F' B'
D L R' U L B' F'
D L R' U F' L B'
L2 R' U D F' B' L2
L2 R' U D B' L2 F'
L2 R' U D B' F' L2
L2 R' U F' D B' L2
L2 R' U2 B2 U' F' B
L2 R' U2 B2 U' B F'
L2 R' D U F' B' L2
L2 R' D U B' L2 F'
L2 R' D U B' F' L2
L2 R' D2 F2 U F B'
L2 R' D2 F2 U B' F
R' L2 U D F' B' L2
R' L2 U D B' L2 F'
R' L2 U D B' F' L2
R' L2 U F' D B' L2
R' L2 U2 B2 U' F' B
R' L2 U2 B2 U' B F'
R' L2 D U F' B' L2
R' L2 D U B' L2 F'
R' L2 D U B' F' L2
R' L2 D2 F2 U F B'
R' L2 D2 F2 U B' F
D2 L2 R' F2 U F B'
D2 L2 R' F2 U B' F
R' U L2 D F' B' L2
R' U L2 D B' L2 F'
R' U L2 D B' F' L2
R' U L2 F' D B' L2
D2 L2 F2 R' U F' B'
D2 L2 F2 R' U B' F'
R' U D L F' L B'
R' U D L2 D F' B'
R' U D L2 D B' F'
R' U D L2 D' F' B'
R' U D L2 D' B' F'
R' U D L2 D2 F' B'
R' U D L2 D2 B' F'
R' U D L2 F' D B'
R' U D L2 F' D' B'
R' U D L2 F' D2 B'
R' U D L2 F' B' D
R' U D L2 F' B' D'
R' U D L2 F' B' D2
R' U D L2 B' D F'
R' U D L2 B' D' F'
R' U D L2 B' D2 F'
R' U D L2 B' F' D
R' U D L2 B' F' D'
R' U D L2 B' F' D2
R' U D F' L2 D2 B2
R' U D B L2 F' B'
R' U D B L2 B' F'
R' U D B' L2 F' B'
R' U D B' L2 B' F'
R' U D B2 L2 F' B'
R' U D B2 L2 B' F'
U2 L2 B2 L' U' F B
U2 L2 B2 L' U' B F
R U D L2 B' D2 F2
R' U D' F' D2 L2 B2
R' U D' F' D2 B2 L2
R U D B2 L2 F B'
R U D B2 L2 B' F
R' U F' D L2 D B2
R' U F' D2 B2 D' L2
D R U L2 B' D2 F2
D R U B2 L2 F B'
D R U B2 L2 B' F
D' R U' B R F U2
D R U' F B U2 L2
D R U' B U2 L2 B'
D R U' B F U2 L2
D2 R F2 R2 U F' B
D2 R F2 R2 U B F'
D2 R F2 U' F' B U2
D2 R F2 U' B F' U2
R' U' D F U2 L2 F2
R' U' D F U2 F2 L2
R' U' D' R2 F B U2
R' U' D' R2 B F U2
R' U' D' F R2 U2 F2
R U' D F B U2 L2
R U' D B U2 L2 B'
R U' D B F U2 L2
D R' L U L F' B'
D R' L U L B' F'
D R' L U F' L B'
R U' D' R2 F U2 F2
R U' D' F R2 U2 F'
R U' D' F B R2 U2
R U' D' B R2 F U2
R U' D' B F R2 U2
R' U' F U' B2 U' F2
R' U' F U2 F2 D L2
D2 R' L2 F2 U F B'
D2 R' L2 F2 U B' F
R U' F D B U2 L2
R U' F D' R2 U2 F'
R U' F D' B R2 U2
R U' F B U' B U'
D2 R' U D' L2 F' B'
D2 R' U D' L2 B' F'
D R' U L F' L B'
D' R' U F' D2 B2 L
D R' U L2 D F' B'
D R' U L2 D B' F'
D R' U L2 D' F' B'
D R' U L2 D' B' F'
D R' U L2 D2 F' B'
D R' U L2 D2 B' F'
D R' U L2 F' D B'
D R' U L2 F' D' B'
D R' U L2 F' D2 B'
D R' U L2 F' B' D
D R' U L2 F' B' D'
D R' U L2 F' B' D2
D R' U L2 B' D F'
D R' U L2 B' D' F'
D R' U L2 B' D2 F'
D R' U L2 B' F' D
D R' U L2 B' F' D'
D R' U L2 B' F' D2
D R' U F' L2 D2 B2
D R' U B L2 F' B'
D R' U B L2 B' F'
D R' U B' L2 F' B'
D R' U B' L2 B' F'
D R' U B2 L2 F' B'
D R' U B2 L2 B' F'
D' R' U' F R' U2 F2
D R' U' F U2 L2 F2
D R' U' F U2 F2 L2
R U' B F U' B U'
F R' U2 B2 U' F' B2
F R' U2 B2 U' B2 F'
D2 R' D' U L2 F' B'
D2 R' D' U L2 B' F'
F' R' D2 F2 U F B2
F' R' D2 F2 U B2 F
L U2 L B2 U' F B
L U2 L B2 U' B F
R' U2 L2 B2 U' F' B
R' U2 L2 B2 U' B F'
D2 R' F2 R2 U F B
D2 R' F2 R2 U B F
D2 R' F2 U F D2 B2
D2 R' F2 U' F' U2 F2
R' U2 B2 L2 U' F' B'
R' U2 B2 L2 U' B' F'
R' U2 B2 U F U2 F2
R' U2 B2 U' F' D2 B2
L2 U2 B2 L U' F B
L2 U2 B2 L U' B F
R' D L U L F' B'
R' D L U L B' F'
R' D L U F' L B'
L U2 B2 L U' F B'
