U' L D L B' U L
L2 R D2 F' U R F
L2 R F' B U R' F
L2 R F' B U F R'
L2 R B F' U R' F
L2 R B F' U F R'
L2 R' U B U' R' B'
R' L2 U B U' R' B'
B L2 R F' U R2 F
B L2 R F' U F R2
R L2 D2 F' U R F
B L2 R' U B U' B'
R L2 F' B U R' F
R L2 F' B U F R'
R L2 B F' U R' F
R L2 B F' U F R'
L2 U R' B U' R' B'
B R L2 F' U R2 F
B R L2 F' U F R2
B R U' L2 F' U R2
R' U B U' R' D' B2
R' U B U' D' R' B2
R' U B U2 L2 U R'
B R U' F' L2 U R2
R' U B D' U' R' B2
R' U B D2 R2 U' R
R' U' L2 U2 B U' R'
R2 U' L2 B U L R'
R2 U' L2 B U R' L
R U' L2 D2 F' U R
R U' L2 F' B U R'
R U' L2 B F' U R'
L U' D L B' U L
B R' L2 U B U' B'
R U' F' L2 B U R'
B R' U D' B U' B
B R' U D2 B R2 U'
R U' F' B L2 U R'
B R' U B U' D' B2
B R' U B U2 L2 U
B R' U B D' U' B2
B R' U B D2 R2 U'
B R' U' L2 U2 B U'
R2 U' B L2 U L' R'
R2 U' B L2 U R' L'
R U' B L2 F' U R'
R U' B F' L2 U R'
B R' D' U B U' B
B R' D' B' D B' L2
B R' D' B2 U B' U'
B R' D2 U B R2 U'
B R' D2 B' D L2 B2
B R' D2 B' D B2 L2
B R' B U' L2 U L2
B R' B D' B2 D L2
U R' B U' R' D' B2
U R' B U' D' R' B2
U R' B U2 L2 U R'
U R' B D' U' R' B2
U R' B D2 R2 U' R
B2 R' B' D' R' B2 L
B R' B' D L2 D2 B2
B R' B' D' B2 D2 L2
B R' B2 U' L2 F U
L D U' L B' U L
D' F L' B2 D' F' R
B D R' B D2 B2 L
B D R' B' L D2 B2
B D R' B' D2 L B2
D' F B2 L' D' F' R
D' F B2 D' L' F' R
R F' L2 U' B' L U2
B2 D B D2 B2 L R'
B2 D B D2 B2 R' L
B2 D B' L R' D2 B2
B2 D B' L D2 R' B2
B2 D B' R' L D2 B2
B2 D B' R' D2 L B2
B2 D B' D2 L R' B2
B2 D B' D2 R' L B2
D2 F' D R F L' B2
D2 F' D R F B2 L'
D2 F' D R B2 F L'
D2 F' D B2 R F L'
B D' R' F L' F' B2
B D' R' F L' B2 F'
B D' R' F B2 L' F'
B D' R' B' D2 B' L
B D' R' B2 F L' F'
B' D' F B2 L' F' R'
B D' F L' F' R' B2
B' D' B' D2 B' L R'
B' D' B' D2 B' R' L
B2 D' B' R' D2 B' L
B2 D' B' D2 R' B' L
B' D' B2 R' F L' F'
B' D' B2 F L' F' R'
R' B R' U' L2 U L2
R' B R' D' B2 D L2
L2 B R F' U R2 F
L2 B R F' U F R2
L2 B R' U B U' B'
R B L2 F' U R' F
R B L2 F' U F R'
R2 B R' U' L2 F' U
R2 B R' U' F' L2 U
L B R' U B R' U'
R' B U' L2 U L2 R'
R' B U' L2 U R' L2
R B U' L2 F' U R'
R B U' F' L2 U R'
R' B D' R' B2 D L2
L B D L R' B' L
L B D R' L B' L
L B D R' B' L B'
F' B D' R' F L' B2
F' B D' R' F B2 L'
F' B D' R' B2 F L'
F' B D' F L' R' B2
F' B D' F R' L' B2
F' B D' F R' B2 L'
R' B' D' R' B2 L R'
R' B' D' R' B2 R' L
R' B' D' B2 D2 L2 R'
R' B' D' B2 D2 R' L2
B' F' D' F B2 L' R'
B' F' D' F B2 R' L'
B' F' D' B2 R' F L'
B' F' D' B2 F L' R'
B' F' D' B2 F R' L'
F' B' D' F B2 L' R'
F' B' D' F B2 R' L'
F' B' D' B2 R' F L'
F' B' D' B2 F L' R'
F' B' D' B2 F R' L'
B F' D' R' F L' B2
B F' D' R' F B2 L'
B F' D' R' B2 F L'
B F' D' F L' R' B2
B F' D' F R' L' B2
B F' D' F R' B2 L'
L B2 U R' F' B U'
L B2 U R' B F' U'
D' B2 F L' D' F' R
D' B2 F D' L' F' R
