D2 B2 L R'
D2 B2 R' L
U2 L R' F2 U2
F2 L R' U2 F2
B2 L R' D2 B2
R' L F2 U2 F2
B2 L D2 R' B2
U2 L F2 R' U2
L R' F2 U2 F2
B2 R' L D2 B2
U2 R' L F2 U2
F2 R' L U2 F2
B2 R' D2 L B2
U2 R' F2 L U2
L' D2 B2 L R2
L' D2 B2 R2 L
R D2 B2 L2 R'
R D2 B2 R' L2
R' F2 L U2 F2
U2 F2 L R' U2
L F2 R' U2 F2
U2 F2 R' L U2
B2 D2 L R' B2
B2 D2 R' L B2
D2 B2 L R' D
D2 B2 L R' D'
D2 B2 L R' D2
D2 B2 L D R'
D2 B2 L D' R'
D2 B2 L D2 R'
D2 B2 R' L D
D2 B2 R' L D'
D2 B2 R' L D2
D2 B2 R' D L
D2 B2 R' D' L
D2 B2 R' D2 L
D2 B2 D L R'
D2 B2 D R' L
D2 B2 D' L R'
D2 B2 D' R' L
D2 B2 D2 L R'
D2 B2 D2 R' L
U2 L R F2 R2 U2
F2 L R' U2 F2 D
F2 L R' U2 F2 D'
F2 L R' U2 F2 D2
U2 L R' U2 D2 B2
F2 L R' D2 B2 U2
B2 L R' U2 F2 U2
U2 L R' D2 U2 B2
B2 L R' D2 B2 D
B2 L R' D2 B2 D'
B2 L R' D2 B2 D2
F2 L R' B U2 F2
F2 L R' B' U2 F2
U2 L R' F2 U2 D
U2 L R' F2 U2 D'
U2 L R' F2 U2 D2
U2 L R' F2 D U2
U2 L R' F2 D' U2
U2 L R' F2 D2 U2
F2 L R' B2 U2 F2
B2 L R' B D2 B2
B2 L R' B' D2 B2
F2 L R2 U2 F2 L'
B2 L R' B2 D2 B2
B2 L R2 D2 R B2
B2 L R2 D2 B2 R
U2 L R2 F2 U2 L'
L' R D2 L2 R2 B2
L' R D2 L2 B2 R2
L' R D2 R2 L2 B2
L' R D2 R2 B2 L2
U2 L U2 D2 B2 L
L2 R D2 L2 B2 R'
B2 L U2 F2 U2 R'
L' R D2 B2 L2 R2
L' R D2 B2 R2 L2
B2 L D' R' D' B2
F2 L D2 R' B2 U2
U2 L D2 R' U2 B2
B2 L D2 R B2 R2
B2 L D2 R' B2 D
B2 L D2 R' B2 D'
B2 L D2 R' B2 D2
R' L F2 U2 F2 D
R' L F2 U2 F2 D'
R' L F2 U2 F2 D2
B2 L D2 R2 B2 R
U2 L D2 U2 B2 L
R' L F2 D2 B2 U2
R' L F2 B U2 F2
F2 L D2 B2 U2 L
R' L F2 B' U2 F2
R' L F2 B2 U2 F2
L R F2 R2 U2 F2
R2 L F2 U2 L' F2
R L F2 R2 U2 F2
U2 L F R' F U2
R' L B F2 U2 F2
R' L B' F2 U2 F2
U2 L F2 R' U2 D
U2 L F2 R' U2 D'
U2 L F2 R' U2 D2
U2 L F2 R' D U2
U2 L F2 R' D' U2
U2 L F2 R' D2 U2
U2 L F2 D R' U2
R' L B2 F2 U2 F2
U2 L F2 D' R' U2
U2 L F2 D2 R' U2
F2 L B2 U2 L F2
F2 L B2 U2 F2 L
B2 L B2 D2 B2 R'
U2 L' R' F2 L2 U2
R2 L' D2 R2 B2 L
R L' D2 L2 R2 B2
R L' D2 L2 B2 R2
R L' D2 R2 L2 B2
R L' D2 R2 B2 L2
R L' D2 B2 L2 R2
R L' D2 B2 R2 L2
L' R' F2 L2 U2 F2
R' L' F2 L2 U2 F2
L2 R' F2 U2 R F2
L R' F2 U2 F2 D
L R' F2 U2 F2 D'
L R' F2 U2 F2 D2
L R' F2 D2 B2 U2
L R' F2 B U2 F2
L R' F2 B' U2 F2
L R' F2 B2 U2 F2
L R' B F2 U2 F2
B2 L' D2 R' B2 L
L R' B' F2 U2 F2
L R' B2 F2 U2 F2
U2 L' F2 L2 R' U2
U2 L' F2 R' L2 U2
L' R2 D2 R2 B2 L
D2 L' B2 D2 L R2
D2 L' B2 D2 R2 L
R L2 D2 L2 B2 R'
F2 L2 R' U2 F2 R
B2 L2 R' D2 L' B2
B2 L2 R' D2 B2 L'
U2 L2 R' F2 U2 R
R' L2 F2 U2 R F2
L R2 F2 U2 L' F2
B2 L2 D2 L' R' B2
B2 L2 D2 R' L' B2
B2 L2 D2 R' B2 L'
U2 L2 F2 R' U2 R2
D2 L2 B2 L D2 R2
U2 R L F2 R2 U2
B2 R D2 L B2 R'
U2 R F2 L R2 U2
U2 R F2 R2 L U2
D2 R B2 D2 L2 R'
D2 R B2 D2 R' L2
