L' U2 F B U
L' U2 B F U
B' L B' L2 F U'
B' L' U2 F B2 U
B' L' U2 B2 F U
L' U2 D F B U
L' U2 D B F U
L' U2 D' F B U
L' U2 D' B F U
L' U2 D2 F B U
L' U2 D2 B F U
L' U2 F D B U
L' U2 F D' B U
L' U2 F D2 B U
L' U2 F B U D
L' U2 F B U D'
L' U2 F B U D2
L' U2 F B D U
L' U2 F B D' U
L' U2 F B D2 U
L' U2 B D F U
L' U2 B D' F U
L' U2 B D2 F U
L' U2 B F U D
L' U2 B F U D'
L' U2 B F U D2
L' U2 B F D U
L' U2 B F D' U
L' U2 B F D2 U
L' D U2 F B U
L' D U2 B F U
L' D' U2 F B U
L' D' U2 B F U
L' D2 U2 F B U
L' D2 U2 B F U
L' F' U2 F2 B U
L' F' U2 B F2 U
L' F2 U2 F' B U
L' F2 U2 B F' U
L B' L2 U' D' R2
L B' L2 U2 B2 U
L B' L2 D' U' R2
L B' L2 D2 F2 U'
L' B' U2 F B2 U
L' B' U2 B2 F U
L B2 L2 F B U'
L B2 L2 B F U'
L' B2 U2 F B' U
L' B2 U2 B' F U
R2 L F' R2 B' L2 U'
R2 L F' B' L2 R2 U'
R2 L F' B' R2 L2 U'
B' L F B' L2 F U'
R2 L B' L2 F' R2 U'
B' L F' B' L2 F U'
R2 L B' F' L2 R2 U'
R2 L B' F' R2 L2 U'
B' L F2 B' L2 F U'
B L B L2 F B2 U'
B L B L2 B2 F U'
B2 L B' L F L U'
B' L B' L2 D F U'
B' L B' L2 D' F U'
B' L B' L2 D2 F U'
B' L B' L2 F U' D
B' L B' L2 F U' D'
B' L B' L2 F U' D2
B' L B' L2 F D U'
B' L B' L2 F D' U'
B' L B' L2 F D2 U'
B L B' L2 U2 B U
F2 L B' U2 R B2 U
F2 L B' U2 B2 R U
F2 L B' D2 F2 L' U'
B' L B' F L2 F U'
B' L B' F' L2 F U'
B' L B' F2 L2 F U'
D L B2 L2 F U' L'
U' L' U' F B U F'
U' L' U' B F U F'
R2 L' F' R2 U' D' L2
R2 L' F' R2 U2 F2 U
R2 L' F' R2 D' U' L2
R2 L' F' R2 D2 B2 U'
B' L' U2 D' F U R2
B' L' U2 F U D' R2
B' L' U2 F D' U R2
U2 L' U2 F L B U
B' L' U2 F B2 U D
B' L' U2 F B2 U D'
B' L' U2 F B2 U D2
B' L' U2 F B2 D U
B' L' U2 F B2 D' U
B' L' U2 F B2 D2 U
D' L' U2 B U' R' U2
D L' U2 F B U L'
F2 L' U2 B R F U
B L' U2 F U2 F' U'
B' L' U2 B2 D F U
B' L' U2 B2 D' F U
D L' U2 B F U L'
B' L' U2 B2 D2 F U
B' L' U2 B2 F U D
B' L' U2 B2 F U D'
B' L' U2 B2 F U D2
B' L' U2 B2 F D U
B' L' U2 B2 F D' U
B' L' U2 B2 F D2 U
U L' U2 F B U B'
U L' U2 B F U B'
R2 L' F2 R2 F B U'
R2 L' F2 R2 B F U'
B' L' D' U2 F U R2
B' L' D2 F2 U2 F' U
D L' F U2 B U L'
B' L' F' U' D' L2 R2
B' L' F' U' D' R2 L2
B' L' F' U2 F2 B2 U
B' L' F' U2 B2 F2 U
B' L' F' D' U' L2 R2
B' L' F' D' U' R2 L2
B' L' F' D2 F2 B2 U'
B' L' F' D2 B2 F2 U'
B' L' F2 U2 F' B2 U
B' L' F2 U2 B2 F' U
D L' F2 U2 B U L
D' L' B U R' U2 R
B' L' B U2 F B U
B' L' B U2 B F U
B L' B U2 F B' U
B L' B U2 B' F U
D' L' B' U' L D' R2
D' L' B' U' D' L R2
D' L' B' U' D' R2 L
B' L' B' U2 F B' U
B' L' B' U2 B' F U
D' L' B' D' U' L R2
D' L' B' D' U' R2 L
D' L' B' D2 F2 U' L
B L' B' U2 F B U
B L' B' U2 B F U
B L' B2 U2 F B2 U
B L' B2 U2 B2 F U
L' R2 F' R2 U' D' L2
L' R2 F' R2 U2 F2 U
L' R2 F' R2 D' U' L2
L' R2 F' R2 D2 B2 U'
L R2 F' R2 B' L2 U'
L R2 F' B' L2 R2 U'
L R2 F' B' R2 L2 U'
L' R2 F2 R2 F B U'
L' R2 F2 R2 B F U'
B' L2 U2 B2 R' F' U
L R2 B' L2 F' R2 U'
L R2 B' F' L2 R2 U'
L R2 B' F' R2 L2 U'
L' U L' U B U L
B2 L2 F L U2 F U
B2 L2 F L' B' L2 U'
L' U R' U F U R
L' U' F B U F' B'
L' U' F B U B' F'
L' U' B F U F' B'
L' U' B F U B' F'
L' U2 L B L' F U
L' U2 R F R' B U
B R' F2 L' R F U
B R' F2 R L' F U
L' U2 D F D B U
L' U2 D F D' B U
L' U2 D F D2 B U
L' U2 D F B U D
L' U2 D F B U D'
L' U2 D F B U D2
L' U2 D F B D U
L' U2 D F B D' U
L' U2 D F B D2 U
L' U2 D B D F U
L' U2 D B D' F U
L' U2 D B D2 F U
L' U2 D B F U D
L' U2 D B F U D'
L' U2 D B F U D2
L' U2 D B F D U
L' U2 D B F D' U
L' U2 D B F D2 U
L' U2 D' F D B U
L' U2 D' F D' B U
L' U2 D' F D2 B U
L' U2 D' F B U D
L' U2 D' F B U D'
L' U2 D' F B U D2
L' U2 D' F B D U
L' U2 D' F B D' U
L' U2 D' F B D2 U
L' U2 D' B D F U
L' U2 D' B D' F U
L' U2 D' B D2 F U
L' U2 D' B F U D
L' U2 D' B F U D'
L' U2 D' B F U D2
L' U2 D' B F D U
L' U2 D' B F D' U
L' U2 D' B F D2 U
L' U2 D2 F D B U
L' U2 D2 F D' B U
L' U2 D2 F D2 B U
L' U2 D2 F B U D
L' U2 D2 F B U D'
L' U2 D2 F B U D2
L' U2 D2 F B D U
L' U2 D2 F B D' U
L' U2 D2 F B D2 U
L' U2 D2 B D F U
L' U2 D2 B D' F U
L' U2 D2 B D2 F U
L' U2 D2 B F U D
L' U2 D2 B F U D'
L' U2 D2 B F U D2
L' U2 D2 B F D U
L' U2 D2 B F D' U
L' U2 D2 B F D2 U
L' U2 F L B L' U
L' U2 F L2 B L2 U
L' U2 F D B U D
L' U2 F D B U D'
L' U2 F D B U D2
L' U2 F D B D U
L' U2 F D B D' U
L' U2 F D B D2 U
L' U2 F D' B U D
L' U2 F D' B U D'
L' U2 F D' B U D2
L' U2 F D' B D U
L' U2 F D' B D' U
L' U2 F D' B D2 U
L' U2 F D2 B U D
L' U2 F D2 B U D'
L' U2 F D2 B U D2
L' U2 F D2 B D U
L' U2 F D2 B D' U
L' U2 F D2 B D2 U
L' U2 F B' U D' R2
L' U2 F B' D' U R2
L' U2 F B2 D B' U
L' U2 F B2 D' B' U
