D2 L U2 L2 F U R
U' L D' F U' L' B2
U' L D' F U' B2 L'
D2 L D' B' U' R' B'
D2 L D2 R2 B' U' R'
D2 L D2 B' R2 U' R
R' L B U' D' B2 R'
R' L B D' U' B2 R'
D2 L B' U' R' D' B2
D2 L B' U' D' R' B2
D2 L B' U2 L2 U R'
D2 L B' D' U' R' B2
D2 L B' D2 R2 U' R
B2 L' R' U2 B U' R'
U' L' D B' U L F2
U' L' D B' U F2 L
L R' B U' D' B2 R'
L R' B D' U' B2 R'
B2 R' L' U2 B U' R'
L' D B' U L R' F2
L' D B' U L F2 R'
L' D B' U R' L F2
L' D B' U R' F2 L
L' D B' U F2 L R'
L' D B' U F2 R' L
D2 F2 L R B' U' R'
D2 F2 L B' R U' R2
D2 F2 R L B' U' R'
F2 D2 L R B' U' R'
F2 D2 L B' R U' R2
B' D2 L' F U R' F'
F2 D2 R L B' U' R'
D2 B' L' F U R' F'
R2 B' L' U R' F' L'
D B' L' U L2 R' F'
D B' L' U R' L2 F'
D B' L' U R' F' L2
R B' L' F' U R' F'
L2 B2 L' R' B U' R'
L2 B2 R' L' B U' R'
L2 B2 R' B L' U' R'
