U2 B' U2 R' B
L2 R' F L2 B R
L2 R' F B L2 R
L2 R' F B R L2
L2 R' B F L2 R
L2 R' B F R L2
R' L2 F L2 B R
L2 R2 F L2 R B
L2 R2 F R L2 B
R' L2 F B L2 R
R' L2 F B R L2
R2 L2 F L2 R B
L2 R2 F R B L2
R2 L2 F R L2 B
R2 L2 F R B L2
R' L2 B F L2 R
R' L2 B F R L2
F R U2 F' B' U2
F R U2 B' F' U2
B' R F' L' U2 L
F' R' B D2 F2 R
F R' B R2 D2 F2
F R' B2 R2 F' B'
F R' B2 R2 B' F'
R U2 F' B' U2 R'
R' U2 B' U2 R' B2
R U2 B' F' U2 R'
B2 R2 F R F2 B
B2 R2 F R B F2
L2 F L2 R' B R2
R2 F R B D2 F2
L2 F R' L2 B R2
L2 F R' B L2 R2
L2 F R' B R2 L2
R' F B R D2 F2
R' F B D2 R F2
U2 F B' U2 R' B
R' F' B D2 F2 R
U2 F' B' U2 R' B
R F' B' L' U2 L
U2 F2 B' U2 R' B
R' B D2 F R F
R' B F R D2 F2
R' B F D2 R F2
R' B F' D2 F2 R
B F R' B R2 F'
F B R' B R2 F'
U2 B' L U2 R' B
U2 B' L' U2 R' B
U2 B' L2 U2 R' B
U2 B' U2 R' D B
U2 B' U2 R' D' B
U2 B' U2 R' D2 B
U2 B' U2 R' B D
U2 B' U2 R' B D'
U2 B' U2 R' B D2
U2 B' F U2 R' B
U2 B' F' U2 R' B
U2 B' F2 U2 R' B
R B' F' L' U2 L
B2 F2 R2 F' R B
F2 B2 R2 F' R B
B' L R2 U2 L' B' R'
R2 L U2 L' B' R' F'
B' L U2 L' B' R' B
B' L U2 B' L' R' B
D2 L U2 B' L' R' F'
B' L U2 B' R' L' B
B' L U2 B' R' B L'
D2 L U2 B' R' L' F'
L2 R F L2 R D2 B2
L2 R F L2 D2 R B2
L2 R F L2 D2 B2 R
L2 R F R L2 D2 B2
L' R F' L' U2 F L2
L2 R F' L' U2 L' F2
L2 R F' U2 F2 L2 R
L2 R F' U2 F2 R L2
L2 R F2 L2 F' R B'
L2 R F2 L2 F' B' R
L2 R F2 L2 B' F' R
R' L B L F L2 R
R' L B L F R L2
B' L F2 R F' U2 R
D2 L B' L F L2 R
D2 L B' L F R L2
U2 L B' U2 R' F' B
U2 L B' U2 R' B F'
B' L' R F' L' U2 L2
L2 R' F L' B L' R
L2 R' F L' B R L'
L2 R' F L2 D B R
L2 R' F L2 D' B R
L2 R' F L2 D2 B R
L2 R' F L2 B R D
L2 R' F L2 B R D'
L2 R' F L2 B R D2
L2 R' F L2 B D R
L2 R' F L2 B D' R
L2 R' F L2 B D2 R
L2 R' F L2 B' R B2
L2 R' F L2 B2 R B'
L2 R' F B L2 R D
L2 R' F B L2 R D'
L2 R' F B L2 R D2
L2 R' F B L2 D R
L2 R' F B L2 D' R
L2 R' F B L2 D2 R
L2 R' F B R L2 D
L2 R' F B R L2 D'
L2 R' F B R L2 D2
L2 R' F B' L2 R B2
L2 R' F B' L2 B2 R
L2 R' F B' R L2 B2
L2 R' F B' R B2 L2
L2 R' F B2 R B' L2
B' L' U2 L B' R' B
R L' F' L' U2 F L2
B' L' U2 D2 L B' R'
B' L' U2 B' R' B L
L2 R' F2 L2 F' B R
L2 R' F2 L2 B F' R
L2 R' F2 B L2 F' R
L R' B L F L2 R
L R' B L F R L2
L2 R' B R F L2 R
L2 R' B R F R L2
L2 R' B R' F L2 R
L2 R' B R' F R L2
L2 R' B R2 F L2 R
L2 R' B R2 F R L2
L2 R' B F L2 R D
L2 R' B F L2 R D'
L2 R' B F L2 R D2
L2 R' B F L2 D R
L2 R' B F L2 D' R
L2 R' B F L2 D2 R
L2 R' B F R L2 D
L2 R' B F R L2 D'
L2 R' B F R L2 D2
L2 R' B F2 L2 F' R
F L' D2 L R F' B'
F L' D2 L R B' F'
F L' D2 L B' R F'
F L' D2 R L F' B'
F L' D2 R L B' F'
B' L' D2 U2 L B' R'
F L' D2 R F' L B'
L2 R' B' F L2 R B2
L2 R' B' F L2 B2 R
L2 R' B' F R L2 B2
L2 R' B' F R B2 L2
L2 R' B2 F R B' L2
L R2 U2 L' B' R' F'
B' L2 R F' L' U2 L'
F L2 R F L2 D2 B2
R' L2 F L' B L' R
R' L2 F L' B R L'
R' L2 F L2 D B R
R' L2 F L2 D' B R
R' L2 F L2 D2 B R
R' L2 F L2 B R D
R' L2 F L2 B R D'
R' L2 F L2 B R D2
R' L2 F L2 B D R
R' L2 F L2 B D' R
R' L2 F L2 B D2 R
R' L2 F L2 B' R B2
R' L2 F L2 B2 R B'
F L2 R F2 L2 F' B'
F L2 R F2 L2 B' F'
L2 R2 F L' R B L'
R2 L2 F L' R B L'
L2 R2 F L2 R D B
L2 R2 F L2 R D' B
L2 R2 F L2 R D2 B
L2 R2 F L2 R B D
L2 R2 F L2 R B D'
L2 R2 F L2 R B D2
L2 R2 F L2 D R B
L2 R2 F L2 D' R B
L2 R2 F L2 D2 R B
L2 R2 F L2 B R B
R2 L2 F L2 R D B
R2 L2 F L2 R D' B
R2 L2 F L2 R D2 B
L2 R2 F L2 B' R B
R2 L2 F L2 R B D
R2 L2 F L2 R B D'
R2 L2 F L2 R B D2
L2 R2 F L2 B2 R B
L2 R2 F R L' B L'
L2 R2 F R L2 D B
L2 R2 F R L2 D' B
L2 R2 F R L2 D2 B
L2 R2 F R L2 B D
L2 R2 F R L2 B D'
L2 R2 F R L2 B D2
R2 L2 F L2 D R B
R2 L2 F L2 D' R B
R2 L2 F L2 D2 R B
R2 L2 F L2 B R B
B' L2 R' B L2 F R
R2 L2 F L2 B' R B
L2 R2 F R B L2 D
L2 R2 F R B L2 D'
L2 R2 F R B L2 D2
R2 L2 F L2 B2 R B
L2 R2 F R B' L2 B2
R2 L2 F R L' B L'
R2 L2 F R L2 D B
R2 L2 F R L2 D' B
R2 L2 F R L2 D2 B
R2 L2 F R L2 B D
R2 L2 F R L2 B D'
R2 L2 F R L2 B D2
R2 L2 F R B L2 D
R2 L2 F R B L2 D'
R2 L2 F R B L2 D2
R2 L2 F R B' L2 B2
R L2 F L2 R D2 B2
R' L2 F B L2 R D
R' L2 F B L2 R D'
R' L2 F B L2 R D2
R' L2 F B L2 D R
R' L2 F B L2 D' R
R' L2 F B L2 D2 R
R' L2 F B R L2 D
R' L2 F B R L2 D'
R' L2 F B R L2 D2
R L2 F L2 D2 R B2
R L2 F L2 D2 B2 R
R' L2 F B' L2 R B2
F L2 R' F L2 B R2
R L2 F R L2 D2 B2
R' L2 F B' L2 B2 R
R' L2 F B' R L2 B2
R' L2 F B' R B2 L2
F L2 R' F B L2 R2
F L2 R' F B R2 L2
R' L2 F B2 R B' L2
F L2 R' B R2 F L2
F L2 R' B F L2 R2
F L2 R' B F R2 L2
L2 R2 F B L2 R B
L2 R2 F B R L2 B
L2 R2 F B R B L2
R2 L2 F B L2 R B
L2 R2 F B' L2 R B
R2 L2 F B R L2 B
R2 L2 F B R B L2
L2 R2 F B' R L2 B
L2 R2 F B' R B L2
R2 L2 F B' L2 R B
R2 L2 F B' R L2 B
L2 R2 F B2 L2 R B
R2 L2 F B' R B L2
L2 R2 F B2 R L2 B
L2 R2 F B2 R B L2
R2 L2 F B2 L2 R B
R2 L2 F B2 R L2 B
R2 L2 F B2 R B L2
R L2 F' L' U2 L' F2
U' L2 U R' F B R
U' L2 U R' B F R
U' L2 U R2 F R B
R' L2 F2 L2 F' B R
R' L2 F2 L2 B F' R
R L2 F' U2 F2 L2 R
R L2 F' U2 F2 R L2
U' L2 U F R' B R2
L2 R2 F2 L2 F' R B
R2 L2 F2 L2 F' R B
R' L2 F2 B L2 F' R
R L2 F2 L2 F' R B'
R L2 F2 L2 F' B' R
R L2 F2 L2 B' F' R
R' L2 B R F L2 R
R' L2 B R F R L2
R' L2 B R' F L2 R
R' L2 B R' F R L2
R' L2 B R2 F L2 R
R' L2 B R2 F R L2
R' L2 B F L2 R D
R' L2 B F L2 R D'
R' L2 B F L2 R D2
R' L2 B F L2 D R
R' L2 B F L2 D' R
R' L2 B F L2 D2 R
R' L2 B F R L2 D
R' L2 B F R L2 D'
R' L2 B F R L2 D2
B' L2 U2 L2 B' R' B
R' L2 B F2 L2 F' R
U2 L2 U2 R' F B R
U2 L2 U2 R' B F R
L2 R2 B F L2 R B
L2 R2 B F R L2 B
L2 R2 B F R B L2
U2 L2 U2 R2 F R B
R2 L2 B F L2 R B
R2 L2 B F R L2 B
R2 L2 B F R B L2
U2 L2 U2 F R' B R2
B' L2 U2 B' L2 R' B
B' L2 U2 B' R' L2 B
B' L2 U2 B' R' B L2
R' L2 B' F L2 R B2
R' L2 B' F L2 B2 R
R' L2 B' F R L2 B2
R' L2 B' F R B2 L2
L2 R2 B' F L2 R B
L2 R2 B' F R L2 B
L2 R2 B' F R B L2
R2 L2 B' F L2 R B
R2 L2 B' F R L2 B
R2 L2 B' F R B L2
R' L2 B2 F R B' L2
L2 R2 B2 F L2 R B
L2 R2 B2 F R L2 B
L2 R2 B2 F R B L2
R2 L2 B2 F L2 R B
R2 L2 B2 F R L2 B
R2 L2 B2 F R B L2
D2 L2 F L' R B' L'
D2 L2 F L' B' L' R
D2 L2 F L' B' R L'
D2 L2 F R L' B' L'
F2 L2 F L2 B2 R' B
F' L2 F B2 L2 R' B
F' L2 F B2 R' L2 B
F' L2 F B2 R' B L2
F2 L2 F' R F2 L2 B'
U2 L2 B' U2 R' F B
U2 L2 B' U2 R' B F
U2 L2 B' U2 F R' B
F' L2 B2 R' F L2 B
F' L2 B2 R' F B L2
F' L2 B2 R' B F L2
F' L2 B2 F L2 R' B
F' L2 B2 F R' L2 B
F' L2 B2 F R' B L2
B' R L' F' L' U2 L2
B' R L2 F' L' U2 L'
F R L2 F L2 D2 B2
F R L2 F2 L2 F' B'
F R L2 F2 L2 B' F'
U R U F' B' U2 R'
U R U B' F' U2 R'
B' R U2 F' U2 F R
F' R U2 B' L' F' U2
F2 R U2 F' B' U2 R
F R U2 D F' B' U2
F R U2 D B' F' U2
F R U2 D' F' B' U2
F R U2 D' B' F' U2
F2 R U2 B' F' U2 R
F R U2 D2 F' B' U2
F R U2 D2 B' F' U2
F R U2 F' D B' U2
F R U2 F' D' B' U2
F R U2 F' D2 B' U2
F R U2 F' B' U2 D
F R U2 F' B' U2 D'
F R U2 F' B' U2 D2
F R U2 F' B' D U2
F R U2 F' B' D' U2
F R U2 F' B' D2 U2
F R U2 B' D F' U2
F R U2 B' D' F' U2
F R U2 B' D2 F' U2
F R U2 B' F' U2 D
F R U2 B' F' U2 D'
F R U2 B' F' U2 D2
F R U2 B' F' D U2
F R U2 B' F' D' U2
F R U2 B' F' D2 U2
B' R D F' L' U2 L
F R D U2 F' B' U2
F R D U2 B' F' U2
B' R D' F' L' U2 L
F R D' U2 F' B' U2
F R D' U2 B' F' U2
B' R D2 F' L' U2 L
F R D2 U2 F' B' U2
F R D2 U2 B' F' U2
B2 R F R D2 F' B2
B2 R F R D2 B2 F'
R' U' L2 U F B R
R' U' L2 U B F R
B R F R D2 F2 B2
B R F R D2 B2 F2
F R F L2 F L2 B'
B' R F' L' R U2 L
B' R F' L' R' U2 L
B' R F' L' R2 U2 L
B' R F' L' U2 L D
B' R F' L' U2 L D'
B' R F' L' U2 L D2
B' R F' L' U2 D L
B' R F' L' U2 D' L
B' R F' L' U2 D2 L
B' R F' L' D U2 L
B' R F' L' D' U2 L
B' R F' L' D2 U2 L
B' R F' R L' U2 L
R2 U' L2 U F R B
B' R F' R' L' U2 L
B R F D2 R F2 B2
B R F D2 R B2 F2
F R F U2 F2 B' U2
F R F U2 B' F2 U2
B' R F' R2 L' U2 L
B R F D2 B2 R F2
F R F B D2 F2 B2
F R F B D2 B2 F2
B' R F' D L' U2 L
B R F' L' B2 R' U2
U2 R F' R' B' U2 R'
B' R F' D' L' U2 L
B' R F' D2 L' U2 L
F R F' U2 B' U2 B
B R F' B2 L' U2 L
F R F2 L2 F B' L2
F R F2 L2 B' F L2
F R F2 U2 F B' U2
F R F2 U2 B' F U2
U' R B U' F' B2 U2
U' R B U' B2 F' U2
U' R B D' R2 U B
F R B R2 B R2 F'
F' R B' L' F' U2 L
F R B U2 F' B2 U2
F R B U2 B2 F' U2
F R B F D2 F2 B2
F R B F D2 B2 F2
F R B' U2 F' U2 F
F2 R B2 R2 F' B R
F2 R B2 R2 B F' R
F R B2 R2 F' B R2
F R B2 R2 B F' R2
F R B2 U2 F' B U2
B R B2 F' L' U2 L
F R B2 U2 B F' U2
B' R' L2 B L2 F R
F R' L2 F L2 B R2
F R' L2 F B L2 R2
F R' L2 F B R2 L2
F R' L2 B R2 F L2
F R' L2 B F L2 R2
F R' L2 B F R2 L2
U R' U B' U2 R' B2
F' R' U2 B' L' U2 B2
F R' U2 B' U2 R2 B2
F R' U2 B' U2 B2 R2
F' R' D B D2 F2 R
F' R' D' B D2 F2 R
F' R' D2 B D2 F2 R
F2 R' D2 B R' D2 F2
F2 R' D2 B D2 R' F2
F2 R' D2 B D2 F2 R'
B R' D2 F B R F
B R' D2 F2 D2 B R'
B R' D2 B F R F
R' U2 L2 U2 F B R
R' U2 L2 U2 B F R
F R' D2 B D2 R2 F2
F R' D2 B D2 F2 R2
B2 R' F B R' F' R2
B' R' F' L' U2 L B
F2 R' F B D2 F2 R
L U2 L' B' R' F' B
L U2 L' B' R' B F'
B R' F D2 B R F2
B R' F B R2 F' R'
F R' F B R2 D2 F2
F R' F B2 R2 F' B'
F R' F B2 R2 B' F'
F2 R' F' B R D2 F2
F2 R' F' B D2 R F2
B R' F' D2 F2 B R
B R' F' D2 B F2 R
B2 R' F2 R' F' R B
F R' F' B R2 D2 F2
F' R' F2 B R D2 F2
F R' F' B2 R2 F' B'
F R' F' B2 R2 B' F'
F' R' F2 B D2 R F2
B2 R' F2 D2 B R' F'
B2 R' F2 B R' F' R
B' R' B L2 F L2 R
B' R' B L2 F R L2
F' R' B R D2 F2 R
F' R' B R' D2 F2 R
F' R' B R2 D2 F2 R
B R' F2 D2 F2 B R'
B R' F2 D2 B R' F2
B R' F2 D2 B F2 R'
B R' F2 B R2 F' R
B2 R' B R' F R F2
F' R' B U2 L' B2 U2
F' R' B U2 B2 L' U2
B2 R' B R2 F R F'
B' R' B U2 B' U2 R'
F R' F2 B R2 D2 F2
F' R' B D2 R F2 R
F' R' B D2 R' F2 R
F' R' B D2 R2 F2 R
F' R' B D2 F2 R D
F' R' B D2 F2 R D'
F' R' B D2 F2 R D2
F' R' B D2 F2 D R
F' R' B D2 F2 D' R
F' R' B D2 F2 D2 R
F R' F2 B2 R2 F' B'
F R' F2 B2 R2 B' F'
B R' B R F R F'
F' R' B F2 R D2 F2
F' R' B F2 D2 R F2
B R' B R2 F R F2
