B2 L U' R' F B'
B2 L U' R' B' F
B2 L U' F R' B'
L U' B2 U' F B
L U' B2 U' B F
L U2 D F B' L2
L U2 D B' F L2
L U2 F D B' L2
L D U2 F B' L2
L D U2 B' F L2
L D' R2 U2 F B'
L D' R2 U2 B' F
B2 L R U' R2 F B'
B2 L R U' R2 B' F
B2 L R U' F R2 B'
B2 L R U' F B' R2
B2 L R U' B' R2 F
B2 L R U' B' F R2
B2 L R2 U' R F B'
B2 L R2 U' R B' F
B2 L R2 U' B' R F
R' L U' B2 U' F B
R' L U' B2 U' B F
R2 L U' B2 U' F B
R2 L U' B2 U' B F
L R U' B2 U' F B
L R U' B2 U' B F
R L U' B2 U' F B
R L U' B2 U' B F
R' L U2 D F B' L2
R' L U2 D B' F L2
R2 L U2 D F B' L2
L R U2 D F B' L2
R2 L U2 D B' F L2
L R U2 D B' F L2
R' L U2 F D B' L2
R2 L U2 F D B' L2
L R U2 F D B' L2
R L U2 D F B' L2
R L U2 D B' F L2
R L U2 F D B' L2
R' L D U2 F B' L2
R' L D U2 B' F L2
R2 L D U2 F B' L2
R2 L D U2 B' F L2
L R D U2 F B' L2
L R D U2 B' F L2
B2 L U' R F R2 B'
B2 L U' R F B' R2
B2 L U' R B' R2 F
B2 L U' R B' F R2
R L D U2 F B' L2
R L D U2 B' F L2
B2 L U' R' D F B'
B2 L U' R' D B' F
B2 L U' R' D' F B'
B2 L U' R' D' B' F
B2 L U' R' D2 F B'
B2 L U' R' D2 B' F
B2 L U' R' F D B'
B2 L U' R' F D' B'
B2 L U' R' F D2 B'
B2 L U' R' F B' D
B2 L U' R' F B' D'
B2 L U' R' F B' D2
B2 L U' R' B' D F
B2 L U' R' B' D' F
B2 L U' R' B' D2 F
B2 L U' R' B' F D
B2 L U' R' B' F D'
B2 L U' R' B' F D2
B2 L U' R2 B' R F
B2 L U' D R' F B'
B2 L U' D R' B' F
B2 L U' D F R' B'
B2 L U' D' R' F B'
B2 L U' D' R' B' F
B2 L U' D' F R' B'
B2 L U' D2 R' F B'
B2 L U' D2 R' B' F
B2 L U' D2 F R' B'
B2 L U' F R B' R2
B2 L U' F R' D B'
B2 L U' F R' D' B'
B2 L U' F R' D2 B'
B2 L U' F R' B' D
B2 L U' F R' B' D'
B2 L U' F R' B' D2
B2 L U' F R2 B' R
B2 L U' F D R' B'
B2 L U' F D' R' B'
B2 L U' F D2 R' B'
B2 L U' F' R' F2 B'
B2 L U' F' R' B' F2
R' L D' R2 U2 F B'
R' L D' R2 U2 B' F
R2 L D' R2 U2 F B'
F' L U' B2 U' F B
R2 L D' R2 U2 B' F
F' L U' B2 U' B F
L R D' R2 U2 F B'
L R D' R2 U2 B' F
F2 L U' B2 U' F B
F2 L U' B2 U' B F
R L D' R2 U2 F B'
R L D' R2 U2 B' F
F L U' B2 U' F B
F L U' B2 U' B F
F' L U2 D F B' L2
F' L U2 D B' F L2
F2 L U2 D F B' L2
F2 L U2 D B' F L2
F' L U2 F D B' L2
F L U2 D F B' L2
D L U2 D' F L B'
F L U2 D B' F L2
F2 L U2 F D B' L2
D L U2 F L D' B2
F L U2 F D B' L2
F' L D U2 F B' L2
B2 L D U' R' F B'
B2 L D U' R' B' F
F' L D U2 B' F L2
B2 L D U' F R' B'
F2 L D U2 F B' L2
F2 L D U2 B' F L2
F L D U2 F B' L2
F L D U2 B' F L2
F' L D' R2 U2 F B'
F' L D' R2 U2 B' F
F2 L D' R2 U2 F B'
F2 L D' R2 U2 B' F
F L D' R2 U2 F B'
F L D' R2 U2 B' F
B2 L D' U' R' F B'
B2 L D' U' R' B' F
B2 L D' U' F R' B'
D L D' U2 F L B'
B2 L D2 U' R' F B'
B2 L D2 U' R' B' F
B2 L D2 U' F R' B'
B2 L F' U' R' F2 B'
B2 L F' U' R' B' F2
B2 L F' U' F2 R' B'
B2 L F2 U' F' R' B'
B L B U' R' F B2
B L B U' R' B2 F
B L B U' F R' B2
L R' U' B2 U' F B
L R' U' B2 U' B F
L R' U2 D F B' L2
L R' U2 D B' F L2
L R' U2 F D B' L2
L R' D U2 F B' L2
L R' D U2 B' F L2
L R' D' R2 U2 F B'
L R' D' R2 U2 B' F
L R2 U' B2 U' F B
L R2 U' B2 U' B F
L R2 U2 D F B' L2
L R2 U2 D B' F L2
L R2 U2 F D B' L2
L R2 D U2 F B' L2
L R2 D U2 B' F L2
L R2 D' R2 U2 F B'
L R2 D' R2 U2 B' F
B2 R L U' R2 F B'
B2 R L U' R2 B' F
B2 R L U' F R2 B'
B2 R L U' F B' R2
B2 R L U' B' R2 F
B2 R L U' B' F R2
L U D2 F2 U F' B'
L U D2 F2 U B' F'
L U' R B2 U' F B
L U' R B2 U' B F
L U' R' B2 U' F B
L U' R' B2 U' B F
L U' R2 B2 U' F B
L U' R2 B2 U' B F
L U' B2 U' D F B
L U' B2 U' D B F
L U' B2 U' D' F B
L U' B2 U' D' B F
L U' B2 U' D2 F B
L U' B2 U' D2 B F
L U' B2 U' F D B
L U' B2 U' F D' B
L U' B2 U' F D2 B
L U' B2 U' F B D
L U' B2 U' F B D'
L U' B2 U' F B D2
L U' B2 U' B D F
L U' B2 U' B D' F
L U' B2 U' B D2 F
L U' B2 U' B F D
L U' B2 U' B F D'
L U' B2 U' B F D2
L U' B2 D U' F B
L U' B2 D U' B F
L U' B2 D' U' F B
L U' B2 D' U' B F
L U' B2 D2 U' F B
L U' B2 D2 U' B F
L U2 L2 D L2 F B'
L U2 L2 D L2 B' F
L U2 D F B L2 B2
L U2 D F B' L2 D
L U2 D F B' L2 D'
L U2 D F B' L2 D2
L U2 D F B2 L2 B
L U2 D F' B' L2 F2
L U2 D F2 B' L2 F'
L U2 D B F L2 B2
L U2 D B' F L2 D
L U2 D B' F L2 D'
L U2 D B' F L2 D2
L U2 D B' F' L2 F2
L U2 D B' F2 L2 F'
L U2 D B2 F L2 B
B2 R2 L U' R F B'
B2 R2 L U' R B' F
B2 R2 L U' B' R F
L U2 D' F D2 B' L2
L U2 D' F B' D2 L2
L U2 D' B' D2 F L2
L U2 D' B' F D2 L2
L U2 D2 B' D' F L2
L U2 F L2 D L2 B'
L U2 F U B2 U' B
L U2 F D B L2 B2
L U2 F D B' L2 D
L U2 F D B' L2 D'
L U2 F D B' L2 D2
L U2 F D B2 L2 B
L U2 F D' B' D2 L2
L U2 F D2 B' D' L2
L U2 F B' U B' U'
L U2 F2 D F' B' L2
L U2 F2 D B' L2 F'
L U2 F2 D B' F' L2
D' R2 D L U2 F B'
D' R2 D L U2 B' F
L U2 B' U B' U' F
L U2 B' F U B' U'
L' D L2 D R2 F B'
L' D L2 D R2 B' F
L' D L2 D F R2 B'
L' D L2 D F B' R2
L' D L2 D B' R2 F
L' D L2 D B' F R2
L' D L2 B' D R2 F
L' D L2 B' D F R2
L D R U2 F B' L2
L D R U2 B' F L2
L D R' U2 F B' L2
L D R' U2 B' F L2
L D R2 U2 F B' L2
L D R2 U2 B' F L2
L D U2 F B L2 B2
L D U2 F B' L2 D
L D U2 F B' L2 D'
L D U2 F B' L2 D2
L D U2 F B2 L2 B
L D U2 F' B' L2 F2
L D U2 F2 B' L2 F'
L D U2 B F L2 B2
L D U2 B' F L2 D
L D U2 B' F L2 D'
L D U2 B' F L2 D2
L D U2 B' F' L2 F2
L D U2 B' F2 L2 F'
L D U2 B2 F L2 B
L D F B' L2 D2 R2
L D F' U2 F2 B' L2
L D F' U2 B' L2 F2
L D F' U2 B' F2 L2
L D F2 U2 F' B' L2
L D F2 U2 B' L2 F'
L D F2 U2 B' F' L2
L D B U2 F L2 B2
L D B U2 F B2 L2
L D B U2 B2 F L2
L D B' F L2 D2 R2
L D B2 U2 F L2 B
L D B2 U2 F B L2
L D B2 U2 B F L2
B U B L U' R' B'
L D' R2 U2 D F B'
L D' R2 U2 D B' F
L D' R2 U2 D' F B'
L D' R2 U2 D' B' F
L D' R2 U2 D2 F B'
L D' R2 U2 D2 B' F
L D' R2 U2 F D B'
L D' R2 U2 F D' B'
L D' R2 U2 F D2 B'
L D' R2 U2 F B' D
L D' R2 U2 F B' D'
L D' R2 U2 F B' D2
L D' R2 U2 B' D F
L D' R2 U2 B' D' F
L D' R2 U2 B' D2 F
L D' R2 U2 B' F D
L D' R2 U2 B' F D'
L D' R2 U2 B' F D2
L D' R2 D U2 F B'
L D' R2 D U2 B' F
L D' R2 D' U2 F B'
L D' R2 D' U2 B' F
L D' R2 D2 U2 F B'
L D' R2 D2 U2 B' F
L D' R2 F' U2 F2 B'
L D' R2 F' U2 B' F2
L D' R2 F2 U2 F' B'
L D' R2 F2 U2 B' F'
L D' R2 B U2 F B2
L D' R2 B U2 B2 F
L D' R2 B2 U2 F B
L D' R2 B2 U2 B F
L D' U2 F D2 B' L2
L D' U2 F B' D2 L2
L D' U2 B' D2 F L2
L D' U2 B' F D2 L2
L D' F' R2 U2 F2 B'
L D' F' R2 U2 B' F2
L D' F2 R2 B U2 B2
L D' B R2 U2 F B2
L D' B R2 U2 B2 F
L D' B2 R2 F' U2 F2
L' D2 R2 D' L2 F B'
L' D2 R2 D' L2 B' F
L D2 U F2 U F' B'
L D2 U F2 U B' F'
L D2 U2 B' D' F L2
L' F L2 U' B2 U' F
L' F L2 U2 D F L2
L' F L2 U2 F D L2
L' F L2 D U2 F L2
L' F L2 D' R2 U2 F
L F D B' L2 D2 R2
L' F B' L2 U F U
L F' U' B2 U' F2 B
L F' U' B2 U' B F2
L F' U2 F2 D B' L2
B2 D2 L U' R' F B
B2 D2 L U' R' B F
B2 D2 L U' F R' B
L F2 U' B2 U' F' B
L F2 U' B2 U' B F'
L F2 U2 D F' B' L2
L F2 U2 D B' L2 F'
L F2 U2 D B' F' L2
L F2 U2 F' D B' L2
L F2 D U2 F' B' L2
L F2 D U2 B' L2 F'
L F2 D U2 B' F' L2
L F2 D' R2 B U2 B2
U B L B U' R' B2
B2 F L U' R' F B'
B2 F L U' R' B' F
B2 F L U' F R' B'
L B U' B U' F B
L B U' B U' B F
L' B' L2 U F U B'
B2 F' L U' R' F B'
B2 F' L U' R' B' F
B2 F' L U' F R' B'
L' B' F L2 U F U
U' B2 L U' R' F' B'
U' B2 L U' R' B' F'
R' B2 L U' R' F B'
R' B2 L U' R' B' F
R' B2 L U' F R' B'
R2 B2 L U' R' F B'
R2 B2 L U' R' B' F
R2 B2 L U' F R' B'
F' B2 L U' R' F B'
F' B2 L U' R' B' F
R B2 L U' R' F B'
R B2 L U' R' B' F
F' B2 L U' F R' B'
R B2 L U' F R' B'
B2 F2 L U' R' F B'
B2 F2 L U' R' B' F
B2 F2 L U' F R' B'
F2 B2 L U' R' F B'
F2 B2 L U' R' B' F
F2 B2 L U' F R' B'
F B2 L U' R' F B'
F B2 L U' R' B' F
F B2 L U' F R' B'
L' B2 U L2 B U2 B2
L' B2 U F L2 B U2
L' B2 U F B L2 U2
L' B2 U B L2 U2 B'
L' B2 U B F L2 U2
U' B2 U' D2 R' F' B
U' B2 U' D2 R' B F'
U' B2 D2 U' R' F' B
U' B2 D2 U' R' B F'
