B' L R' F2 D B2
B' R U' L R2 F2
B' R U' L F2 R2
B' R U' R2 L F2
B' R U' R2 L F2
B' R U' R2 F2 L
B' R U' F2 L R2
B' R U' F2 R2 L
B' R' L F2 D B2
B' R' F2 L D B2
B' R' F2 D L B2
F2 U' L' B' U L
F2 B' L R' D' B2
F2 B' L D' R' B2
F2 B' R' L D' B2
R B' U' L R' F2
R B' U' L F2 R'
R B' U' R' L F2
R B' U' R' F2 L
R B' U' F2 L R'
R B' U' F2 R' L
B' F2 L R' D' B2
B' F2 L D' R' B2
B' F2 R' L D' B2
B' L R F2 R2 D B2
B' L R' U R2 U' F2
B' L R' D B2 D' F2
B L R' U' R2 U' F2
B L R' U2 F2 D B2
B' L R' F D F B2
B' L R' F D B2 F
B' L R' F' D F' B2
B' L R' F' D B2 F'
B' L R' F2 U R2 U'
B' L R' F2 D B2 D
B' L R' F2 D B2 D'
B' L R' F2 D B2 D2
B' L R' F2 B D B2
B' L R' F2 B' D B2
B' L R' F2 B2 D B2
B' L R' B F2 D B2
B' L R' B' F2 D B2
B' L R' B2 F2 D B2
B' L U R U' R2 F2
B' L U R U' F2 R2
B' L D' R' D F2 B2
B' L D' R' D B2 F2
B' L F D R' F B
B' L F D R' B F
B' L F D F R' B
L' R B' U' L R' F2
L' R B' U' L F2 R'
L' R B' U' R' L F2
L' R B' U' R' F2 L
L' R B' U' F2 L R'
L' R B' U' F2 R' L
L2 R B' U' L R' F2
L R B' U' L R' F2
L2 R B' U' L F2 R'
L R B' U' L F2 R'
L R B' U' R' L F2
L2 R B' U' R' L F2
L2 R B' U' R' F2 L
L R B' U' R' F2 L
L R B' U' F2 L R'
L R B' U' F2 R' L
L2 R B' U' F2 L R'
L2 R B' U' F2 R' L
R L B' U' L R' F2
R L B' U' L F2 R'
R L B' U' R' L F2
R L B' U' R' F2 L
R L B' U' F2 L R'
R L B' U' F2 R' L
B' L F2 R' U' L' U
B' L F2 U' L' U R'
F2 L B D' B2 L R'
